"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
8.8148269780098e-247,-4.97415545218983,0.034,0.571,1.97593161539068e-242,"MYC"
6.64608527494431e-245,3.17321692337128,0.474,0.069,1.48978647523152e-240,"OASL"
3.51762500408605e-244,0.604190915573092,0.934,0.681,7.88510820915929e-240,"CRIP1"
1.04456488380707e-242,4.22521546852479,0.528,0.036,2.34149664354193e-238,"HLA-DRB5"
1.97413116057508e-242,3.56852991333883,0.505,0.095,4.4252124095451e-238,"LGALS1"
1.96680623890462e-241,3.26631202545305,0.491,0.07,4.4087928651286e-237,"LAG3"
3.48903316294694e-241,1.34562263015756,0.899,0.853,7.82101673806186e-237,"ACTG1"
1.99468379336002e-240,-0.682257251392452,0.997,1,4.47128319119581e-236,"RPL35A"
8.45458902719553e-239,0.987815059038095,0.883,0.803,1.89518067633615e-234,"PSMB9"
1.09981333250409e-237,1.93713379798661,0.632,0.329,2.46534156614117e-233,"CTSC"
7.31231584614176e-232,2.36072334122524,0.642,0.24,1.63912872007114e-227,"SH2D2A"
3.78580678108789e-228,1.21850199465907,0.824,0.711,8.48626448048661e-224,"LCP1"
5.29749857499078e-228,-4.73126471987262,0.018,0.454,1.18748728056993e-223,"AQP3"
4.20899245523757e-225,1.67495174166325,0.704,0.461,9.43487748766054e-221,"RABGAP1L"
7.08220894408281e-222,-1.41013399691303,0.669,0.957,1.5875479569056e-217,"LDHB"
2.16225198700162e-221,1.64370052142846,0.778,0.537,4.84690405406284e-217,"CD81"
4.94431466417138e-221,-6.15702821327919,0.005,0.429,1.10831757512066e-216,"MAL"
5.10073625460021e-221,-0.946302461118478,0.993,0.998,1.14338103883118e-216,"RPL12"
1.57135675341922e-219,-4.91576920707116,0.044,0.622,3.52235329846453e-215,"PASK"
6.41952641218406e-218,-0.720403710518818,0.995,1,1.43900104055518e-213,"RPS14"
5.63799359475541e-216,-1.00648451038572,0.926,0.993,1.26381264420037e-211,"RPL22"
5.7839091625818e-214,-3.2128016712714,0.061,0.576,1.29652107788434e-209,"LDLRAP1"
3.46583998049919e-213,-1.27941860316308,0.818,0.985,7.76902690028699e-209,"EEF1G"
2.39754397072532e-211,2.08761975961178,0.701,0.326,5.37433456477788e-207,"LYST"
1.30372305419127e-210,-0.852747330903039,0.969,0.998,2.92242559827516e-206,"RPL5"
8.66014516746459e-210,-0.595353737447953,0.999,1,1.94125814073886e-205,"RPS27A"
1.57020775599852e-209,2.91202971127877,0.561,0.122,3.51977770584628e-205,"C1orf21"
5.85337661044094e-209,2.68005930508834,0.631,0.198,1.31209290099644e-204,"CLIC3"
1.07902039588756e-204,1.46743777262141,0.87,0.708,2.41873211942155e-200,"CD3G"
1.74741565698508e-204,-6.7203778293381,0.009,0.553,3.91700693669776e-200,"IGFBP2"
1.76701066131447e-204,3.74246535542944,0.514,0.049,3.96093109840251e-200,"TGFBR3"
2.84378960464231e-204,-1.33735989277936,0.832,0.984,6.37463877776619e-200,"RPL10A"
3.20764095070947e-204,3.66438342406896,0.349,0.034,7.19024795511035e-200,"HLA-DRA"
4.55464806026594e-204,1.17819351635405,0.858,0.759,1.02096990918921e-199,"FYN"
1.43385863556297e-203,2.0848664751195,0.469,0.199,3.21413751747795e-199,"MXD4"
1.66429407541508e-202,-5.20279616695388,0.012,0.46,3.73068159945043e-198,"RETREG1"
3.98175947020527e-201,-2.75833440679066,0.186,0.833,8.92551202841214e-197,"TMEM123"
1.60877101222665e-197,2.66247167776493,0.51,0.142,3.60622110100725e-193,"ABI3"
7.91596744744989e-197,1.83944278879665,0.681,0.257,1.77444326302037e-192,"AHNAK"
1.11356850024673e-196,4.09461681293137,0.509,0.04,2.49617515015306e-192,"TBX21"
1.47028661410296e-196,-5.27614415056205,0.02,0.529,3.29579447417319e-192,"RCAN3"
1.66197896035882e-196,1.38490043688152,0.766,0.6,3.72549203754033e-192,"ABHD17A"
