"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.25466265630454e-158,-4.2363998648024,0.029,0.474,5.05405181037225e-154,"RCAN3"
7.89943246296762e-157,1.66628775338378,0.74,0.357,1.77073678089882e-152,"S100A4"
4.91404388901772e-156,-0.579649779149698,1,1,1.10153207816221e-151,"RPS15A"
4.30128435548944e-155,-1.03364521827195,0.929,0.986,9.64175901126513e-151,"RPSA"
2.36407024752859e-151,1.06553143784816,0.958,0.806,5.29929986686009e-147,"CYBA"
7.30912436428042e-151,1.15251133821718,0.932,0.848,1.6384133174971e-146,"S100A10"
4.06823094812212e-149,1.53294570101854,0.721,0.41,9.11934649331055e-145,"CTSW"
4.21938804437975e-149,-0.898573211894458,0.946,0.989,9.45818024028166e-145,"RPS16"
4.35773067320389e-149,1.26975218928232,0.88,0.607,9.76828907705383e-145,"CD8A"
1.85686730894344e-147,-0.692692886391778,0.993,0.999,4.16235375972763e-143,"RPS9"
3.10143129228104e-147,1.87501306046974,0.522,0.143,6.95216838477719e-143,"HLA-DRB1"
1.04746881992058e-146,1.97320843094381,0.588,0.195,2.34800610673398e-142,"ABI3"
5.26226110790153e-145,1.24156865253148,0.77,0.575,1.17958844994721e-140,"YWHAQ"
1.4312629461421e-142,-0.568027806778863,0.999,1,3.20831902007212e-138,"RPS27A"
2.8814526969603e-142,2.59565278055917,0.465,0.09,6.45906436550621e-138,"PLEK"
4.44310929893069e-140,0.921397184080058,0.911,0.833,9.95967380448303e-136,"LDHA"
5.50039077157978e-140,-0.737517144541918,0.931,0.983,1.23296759535732e-135,"SARAF"
8.36540944464071e-140,1.75205567444102,0.62,0.27,1.87519018111066e-135,"SAMD3"
1.41644516036752e-138,0.821893036429356,0.996,0.974,3.17510347147982e-134,"SH3BGRL3"
2.58381232487437e-138,0.862684712413996,0.935,0.858,5.79187370743839e-134,"ARPC2"
2.80295137394842e-138,-2.45590496101748,0.193,0.695,6.28309579984278e-134,"BACH2"
8.36764837042827e-135,1.98937299095194,0.602,0.194,1.8756920587152e-130,"PYHIN1"
4.6580174499539e-134,-2.22225658456332,0.083,0.465,1.04414119158167e-129,"CD27"
1.01455976074233e-133,-5.78412342502012,0.004,0.272,2.27423715968e-129,"ACTN1"
6.71784234195467e-133,-0.523730270284231,0.999,1,1.50587153937256e-128,"RPS15"
2.41389560576994e-131,-0.572659372171739,0.998,1,5.4109883898939e-127,"RPS26"
4.48725990141798e-131,2.44636120937699,0.437,0.089,1.00586417950185e-126,"S1PR5"
5.93051108094951e-131,1.06091564280508,0.894,0.709,1.32938336390564e-126,"LSP1"
2.63740204771985e-130,0.574962636394105,1,0.999,5.91200043016883e-126,"HLA-A"
1.32588721686879e-129,2.7878827639953,0.363,0.052,2.97210878533307e-125,"FCGR3A"
1.97237774697932e-129,1.13299746217137,0.848,0.64,4.42128195762884e-125,"ABHD17A"
5.68177301427176e-127,-0.421311658143391,1,1,1.27362623887916e-122,"RPS27"
3.97957383056881e-122,1.42787151192278,0.628,0.343,8.92061269860305e-118,"NFATC2"
6.92054664726261e-122,-2.34231778433348,0.222,0.69,1.55130973645039e-117,"CD55"
8.23538337480511e-122,2.45710960761787,0.412,0.102,1.84604353729631e-117,"SPON2"
1.76882488194116e-120,1.70131839775474,0.51,0.199,3.96499785535931e-116,"CD58"
1.49270804746737e-119,1.67062845989116,0.593,0.299,3.34605435920285e-115,"ITGB1"
8.46066223673659e-118,-0.560303383197817,0.998,1,1.89654204698687e-113,"RPS3"
3.12052097433969e-116,-0.618003587469554,0.997,0.999,6.99495981607985e-112,"RPL14"
4.82745492926306e-116,1.64898419654704,0.53,0.207,1.08212229694361e-111,"SLA2"
4.9893318655433e-116,0.574022559553387,0.988,0.976,1.11840863098019e-111,"UBC"
2.0437347005673e-115,-0.673812011779765,0.979,0.996,4.58123570479166e-111,"RACK1"
4.22362902970098e-115,-2.89471046391552,0.049,0.398,9.46768683297772e-111,"SATB1"
1.21714171578084e-114,1.08901063331051,0.896,0.724,2.72834487009432e-110,"S100A6"
5.34277762514297e-114,1.38998900320843,0.684,0.374,1.19763703245205e-109,"SAMSN1"
2.08872775179886e-113,2.0444975605416,0.489,0.135,4.68209212843232e-109,"GZMA"
8.03225411243527e-113,1.42308046660736,0.695,0.375,1.80051008184349e-108,"SH2D2A"
1.1113881422998e-111,0.931379263019211,0.863,0.665,2.49128765977922e-107,"CD99"
1.39564704335579e-111,-4.96610666890112,0.012,0.235,3.12848241238633e-107,"ID3"
1.66555326354015e-111,1.85195869746657,0.496,0.156,3.73350419555161e-107,"HLA-DPA1"
3.22564568987827e-111,-10.6354653956306,0,0.198,7.23060737843113e-107,"FAAH2"
1.50790571204909e-110,-8.23360599800195,0,0.196,3.38012144412925e-106,"NOG"
1.10411672436719e-109,-2.84764959949461,0.07,0.472,2.4749880493415e-105,"ZEB1"
1.75579808204414e-109,0.804103895239773,0.936,0.828,3.93579698071015e-105,"TGFB1"
2.68827591277166e-109,-0.61922630483573,0.976,0.995,6.02603928606895e-105,"RPL21"
7.02376426648518e-109,-1.12019598228533,0.835,0.959,1.57444699797532e-104,"RPL4"
1.59054129212798e-108,2.2343454714825,0.457,0.119,3.56535736043407e-104,"TBX21"
2.16106287575407e-108,-0.704686805642887,0.998,0.999,4.84423854229033e-104,"RPL3"
2.20448633126244e-108,-10.3212752253479,0,0.186,4.94157656015787e-104,"MAL"
3.26806154554181e-107,2.04938221021777,0.501,0.149,7.32568676048652e-103,"MYO1F"
4.72383682518653e-106,-0.603393878408074,0.97,0.993,1.05889526273381e-101,"RPL24"
8.37664616796486e-106,-0.890372035886058,0.947,0.981,1.877709005011e-101,"RPL36A"
1.55310381647001e-105,1.43244733264039,0.683,0.392,3.48143751499918e-101,"ATP2B4"
1.7795531918884e-105,-0.648526051536373,0.998,0.998,3.98904643493703e-101,"RPS24"
4.38656116094792e-105,1.21499461414989,0.764,0.516,9.83291549838085e-101,"FLNA"
5.78812097036788e-105,0.268129057769815,0.94,0.756,1.29746519671766e-100,"ANXA1"
3.23935830304763e-102,1.72465467450988,0.523,0.227,7.26134557211158e-98,"ITGAL"
1.51477626081056e-101,-1.60084841660498,0.369,0.779,3.39552246623295e-97,"GAS5"
1.75401629861706e-101,2.79807041471849,0.357,0.055,3.93180293498e-97,"PRSS23"
2.0529155476365e-101,1.45268048595677,0.569,0.289,4.60181549158198e-97,"ANXA5"
2.36568639192292e-101,2.13198640479799,0.395,0.097,5.30292261613442e-97,"LAG3"
2.58779918891117e-100,1.62277758636057,0.514,0.213,5.80081066186328e-96,"GGA2"
4.91358150529535e-100,0.670460095457602,0.992,0.983,1.101428430227e-95,"HLA-E"
2.93593577922525e-99,-0.748306652768187,0.986,0.995,6.58119364271133e-95,"RPS29"
3.51898922505171e-99,1.40114766719046,0.627,0.34,7.88816624687591e-95,"APMAP"
9.61737535743339e-99,-6.90636906823036,0.002,0.221,2.15583086012227e-94,"LEF1-AS1"
1.15112157922812e-98,2.23683555576418,0.319,0.076,2.58035413199774e-94,"DTHD1"
1.40121585061877e-98,1.12138757558777,0.825,0.66,3.14096545074704e-94,"PLAAT4"
3.75603638876467e-98,1.16175295602426,0.72,0.484,8.41953116905489e-94,"LCP1"
4.02942666236248e-98,-1.68299856631789,0.334,0.654,9.03236280635174e-94,"APOO"
4.11531774002404e-98,-0.756468945349102,0.942,0.985,9.22489624603789e-94,"RPL27"
5.14748535266468e-98,-0.656243514903309,0.977,0.994,1.15386031665331e-93,"RPL15"
9.43533519352099e-98,-1.15578139513994,0.295,0.702,2.11502473697967e-93,"SPOCK2"
2.30503301043922e-97,-3.62955894395984,0.024,0.296,5.16696199620055e-93,"PLCL1"
4.61758228432305e-97,0.670601040400618,0.936,0.762,1.03507724485386e-92,"SRGN"
4.75104855471942e-97,1.82518529818408,0.368,0.136,1.06499504402591e-92,"CD38"
5.27377007328671e-97,1.38303882440126,0.571,0.291,1.18216829962795e-92,"AUTS2"
4.74643164072244e-95,0.720951861440602,0.813,0.752,1.06396011658434e-90,"GNG2"
4.85338053974875e-95,1.6619765215798,0.529,0.238,1.08793378179008e-90,"CTSC"
6.75483884509427e-95,1.37386188211607,0.542,0.308,1.51416467551633e-90,"NHERF1"
1.23819270967251e-94,1.59080318459424,0.482,0.213,2.77553277800191e-90,"MXRA7"
4.00258918127521e-94,1.0806113728242,0.77,0.58,8.97220390874652e-90,"RUNX3"
6.97519001897528e-93,1.26097752691764,0.626,0.385,1.5635585946535e-88,"ARAP2"
1.00827024074199e-92,1.22454326610799,0.683,0.465,2.26013857164725e-88,"RABGAP1L"
1.14481211017667e-92,1.94070588247812,0.431,0.157,2.56621082617203e-88,"BHLHE40"
