gene,set_membership,padj_unsup,padj_supp,avg_log2FC_unsup,avg_log2FC_supp,sig_unsup,sig_supp
CAPN3,Overlap,1,1,0.189994451444189,-1.70629275628585,FALSE,FALSE
ENSG00000243155,Overlap,1,1,0.189994451444189,-1.23540061257388,FALSE,FALSE
TRIM24,Overlap,1,1,1.20612597405248,0.472969669086045,FALSE,FALSE
CHD1,Overlap,1,1,0.931688786969485,0.133751459723122,FALSE,FALSE
SUCLG1,Unsuppressed_only,1,NA,-0.222104642864659,NA,FALSE,FALSE
ENSG00000273329,Overlap,1,1,2.94257028854195,2.30662043851771,FALSE,FALSE
UBE3C,Unsuppressed_only,1,NA,0.733051260071219,NA,FALSE,FALSE
LRCH1,Overlap,1,1,-0.312745788861628,-0.227746048574267,FALSE,FALSE
TMEM267,Unsuppressed_only,1,NA,-0.869019141572082,NA,FALSE,FALSE
DEDD2,Overlap,1,1,-0.16372996003941,-0.293331052377367,FALSE,FALSE
DGCR2,Overlap,1,1,2.83453646309245,2.69528754003804,FALSE,FALSE
B9D2,Overlap,1,1,1.73376866348509,1.47439497408441,FALSE,FALSE
C1orf112,Overlap,1,1,-0.797915302133669,-0.659774288725412,FALSE,FALSE
DNAJC14,Overlap,1,1,-0.668252385120153,-0.820246963074024,FALSE,FALSE
ZCCHC10,Overlap,1,1,0.206087029026889,0.314469180465863,FALSE,FALSE
ENSG00000289155,Unsuppressed_only,1,NA,2.72885224193628,NA,FALSE,FALSE
THAP7,Overlap,1,1,-0.697053353367015,-1.07693538036668,FALSE,FALSE
SMURF2,Unsuppressed_only,1,NA,0.660506246389464,NA,FALSE,FALSE
ASMTL,Overlap,1,1,-0.116649560919561,0.271999240993389,FALSE,FALSE
LIME1,Overlap,1,1,0.254471382734658,0.320402535440501,FALSE,FALSE
PABPC4,Overlap,1,1,0.839051687021946,0.248035251148016,FALSE,FALSE
MEFV,Overlap,1,1,1.37355235870956,0.816438245615121,FALSE,FALSE
NOC2L,Overlap,1,1,1.02407655863219,0.337879404766442,FALSE,FALSE
TANGO6,Overlap,1,1,-0.219937199690663,-0.697776067035044,FALSE,FALSE
TRAF6,Overlap,1,1,0.507211847096817,-0.839917839513504,FALSE,FALSE
LONRF1,Overlap,1,1,2.25964230593928,1.1958759273131,FALSE,FALSE
SIAH2,Overlap,1,1,0.568049271992913,-0.571534141457168,FALSE,FALSE
SLC35F2,Overlap,1,1,-1.71976335804812,-2.86711658134714,FALSE,FALSE
COP1,Overlap,1,1,1.06978239987303,0.575029355879059,FALSE,FALSE
RP9,Overlap,1,1,0.259414889857003,-0.352284986753435,FALSE,FALSE
EDN1,Overlap,1,1,2.28322794875536,-1.94666307092379,FALSE,FALSE
TMEM265,Overlap,1,1,2.991207994892,2.25727693787648,FALSE,FALSE
BIRC3,Overlap,1,1,1.46121370154024,0.999080335784892,FALSE,FALSE
LRRCC1,Overlap,1,1,-0.775013432367107,-3.12975777312548,FALSE,FALSE
