"Module","CD8_Annotation","Comparison","p_value","p_adj","star"
"Exhaustion","TEM CD8","Suppressed vs Unsuppressed",5.7483926303291e-11,2.68258322748691e-10,"***"
"Exhaustion","TEM CD8","Pre-ART vs Unsuppressed",0.317663453608049,0.392407795633472,""
"Exhaustion","TEM CD8","Suppressed vs Pre-ART",6.22189380455537e-12,2.17766283159438e-11,"***"
"Exhaustion","TEMRA CD8","Suppressed vs Unsuppressed",1.57135623285375e-19,4.3997974519905e-18,"***"
"Exhaustion","TEMRA CD8","Pre-ART vs Unsuppressed",0.235964879172718,0.309703903914193,""
"Exhaustion","TEMRA CD8","Suppressed vs Pre-ART",1.84887281071494e-17,9.70658225625345e-17,"***"
"Exhaustion","CD16+ Effector CD8","Suppressed vs Unsuppressed",0.0384060379619235,0.0537684531466929,""
"Exhaustion","CD16+ Effector CD8","Pre-ART vs Unsuppressed",0.0656096339242581,0.105984793262263,""
"Exhaustion","CD16+ Effector CD8","Suppressed vs Pre-ART",0.00110313024556709,0.00210597592335536,"**"
"Exhaustion","KIR+ innate-like CD8","Suppressed vs Unsuppressed",0.00243244811345891,0.00486489622691781,"**"
"Stemness","TEM CD8","Suppressed vs Unsuppressed",0.33507503763417,0.40791743711986,""
"Stemness","TEM CD8","Pre-ART vs Unsuppressed",0.018721097612086,0.0345956930523953,"*"
"Stemness","TEM CD8","Suppressed vs Pre-ART",0.00586539267677283,0.00947486509324843,"**"
"Stemness","TEMRA CD8","Suppressed vs Unsuppressed",2.53419036252724e-06,8.86966626884535e-06,"***"
"Stemness","TEMRA CD8","Pre-ART vs Unsuppressed",0.000683071271705469,0.00204921381511641,"**"
"Stemness","TEMRA CD8","Suppressed vs Pre-ART",0.0983219914058392,0.129047613720164,""
"Stemness","CD16+ Effector CD8","Suppressed vs Unsuppressed",0.0556426232987958,0.0741901643983944,""
"Stemness","CD16+ Effector CD8","Pre-ART vs Unsuppressed",0.383302094550258,0.447185776975301,""
"Stemness","CD16+ Effector CD8","Suppressed vs Pre-ART",0.59959217786017,0.629571786753178,""
"Stemness","KIR+ innate-like CD8","Suppressed vs Unsuppressed",0.0233324097619623,0.0362948596297191,"*"
"Cytotoxicity","TEM CD8","Suppressed vs Unsuppressed",2.40424494077218e-18,2.24396194472071e-17,"***"
"Cytotoxicity","TEM CD8","Pre-ART vs Unsuppressed",1.27697514351188e-12,6.70411950343735e-12,"***"
"Cytotoxicity","TEM CD8","Suppressed vs Pre-ART",0.051716404175526,0.0775746062632891,""
"Cytotoxicity","TEMRA CD8","Suppressed vs Unsuppressed",0.00180986429169039,0.00422301668061091,"**"
"Cytotoxicity","TEMRA CD8","Pre-ART vs Unsuppressed",9.25958675447991e-89,1.94451321844078e-87,"***"
"Cytotoxicity","TEMRA CD8","Suppressed vs Pre-ART",4.08239034327137e-74,4.28650986043494e-73,"***"
"Cytotoxicity","CD16+ Effector CD8","Suppressed vs Unsuppressed",0.467484729277513,0.545398850823765,""
"Cytotoxicity","CD16+ Effector CD8","Pre-ART vs Unsuppressed",0.000540508342797243,0.00189177919979035,"**"
"Cytotoxicity","CD16+ Effector CD8","Suppressed vs Pre-ART",6.54803232335418e-06,1.52787420878264e-05,"***"
"Cytotoxicity","KIR+ innate-like CD8","Suppressed vs Unsuppressed",2.03203218056471e-05,6.32187789509021e-05,"***"
