"Figure","Panel","File","Cluster","Module","Comparison","Description"
"1","A","Fig1A_Tex_Exhaustion.png","Tex CD8","Exhaustion","3-way HEI","ART reduces exhaustion below pre-ART (0.318->0.147)"
"1","B","Fig1B_Tex_Stemness.png","Tex CD8","Stemness","3-way HEI","Stemness partially rescued by ART (-0.676->-0.471)"
"1","C","Fig1C_TEMRA_Cytotox_PrevsHEU.png","TEMRA/CTL","Cytotoxicity","PreART vs HEU","Massive effector expansion: HEU -0.05 -> PreART 1.98"
"1","D","Fig1D_Tscm_Glycolysis.png","Tscm CD8","Glycolysis","3-way HEI","Largest metabolic rescue: 0.77->-0.09"
"1","E","Fig1E_Tscm_MetRatio.png","Tscm CD8","Met Ratio","3-way HEI","MetRatio normalises: -0.84->-0.01"
"1","F","Fig1F_TexTEMRA_IFNRatio.png","Tex+TEMRA","IFN Ratio","3-way HEI","Sup positive, Uns negative — IFN divergence"
"1","G","Fig1G_CD8_Divergence.png","5 CD8","IFN Ratio","Divergence","All diverge"
"2","A","Fig2A_Naive1_Glycolysis_HEUvsHUU.png","Naive 1 CD4","Glycolysis","HEU vs HUU","The glycolysis bomb: HEU=0.70 vs HUU=-0.01"
"2","B","Fig2B_Naive123_Glyc_HEUvsHUU.png","Naive 1/2/3","Glycolysis","HEU vs HUU","Universal across all naive subsets"
"2","C","Fig2C_Naive1_Glycolysis_3way.png","Naive 1 CD4","Glycolysis","3-way HEI","ART resolves glycolysis in both arms"
"2","D","Fig2D_ISG_Stress_HEUvsHUU.png","ISG+ CD4","Stress","HEU vs HUU","HEU stress=1.47 (10x any other cluster)"
"2","E","Fig2E_ISG_IFNRatio_3way.png","ISG+ CD4","IFN Ratio","3-way HEI","Largest ART rescue: Sup-Uns=+0.880"
"2","F","Fig2F_Naive1v3_Stemness_3way.png","Naive 1 vs 3","Stemness","3-way HEI","Naive 3 (IL4R+) most resilient under viremia"
"2","G","Fig2G_Treg_IFNRatio_3way.png","Treg","IFN Ratio","3-way HEI","Treg IFN flips under ART"
"3","A","Fig3A_CD122_IFNRatio_3way.png","CD122lo vs hi","IFN Ratio","3-way HEI","CD122hi best IFN responders under ART"
"3","B","Fig3B_CD122_IFNMemory_3way.png","CD122lo vs hi","IFN Memory","3-way HEI","IFN Memory scales with CD122"
"3","C","Fig3C_CD122hi_Exhaust_PrevsHEU.png","CD122hi","Exhaustion","PreART vs HEU","Infection drives NK exhaustion"
"3","D","Fig3D_CD56bright_Cytotox_3way.png","CD56bright","Cytotoxicity","3-way HEI","Aberrant activation normalises under ART"
"3","E","Fig3E_NK_Divergence.png","4 NK","IFN Ratio","Divergence","CD122hi largest separation"
"4","A","Fig4A_3lineages_IFNRatio_3way.png","CD8+CD4+NK","IFN Ratio","3-way HEI","Pan-immune IFN flip under ART"
"4","B","Fig4B_3lineages_Stress_3way.png","CD8+CD4+NK","Stress","3-way HEI","Unsuppressed stress worsens from PreART"
"4","C","Fig4C_Monocytes_IFNRatio_3way.png","Classical vs NC Mono","IFN Ratio","3-way HEI","Only NC achieves positive ratio"
"4","D","Fig4D_Grand_IFN_Divergence.png","All 31","IFN Ratio","Divergence","22/31 diverge"
"4","E","Fig4E_Grand_Glyc_Divergence.png","All 31","Glycolysis","Divergence","0/31 diverge"
"5","A","Fig5A_VL_IFN_Ratio.png","Per-sample","IFN_Ratio","VL scatter","VL vs IFN Ratio"
"5","B","Fig5B_VL_Exhaustion.png","Per-sample","Exhaustion","VL scatter","VL vs Exhaustion"
"5","C","Fig5C_VL_Stress.png","Per-sample","Stress","VL scatter","VL vs Stress"
"5","D","Fig5D_VL_Stemness.png","Per-sample","Stemness","VL scatter","VL vs Stemness"
"5","E","Fig5E_TwoAxis_Glycolysis.png","4 key","Glycolysis","3-way","Both arms resolve (ART-intrinsic)"
"5","F","Fig5F_TwoAxis_IFNRatio.png","4 key","IFN Ratio","3-way","Only Sup improves (requires suppression)"
