"CD8_Annotation","Timepoint_Group","cloneSize","n"
"Effector CD8","PreART_Entry","Hyperexpanded (100 < X <= 500)",95
"Effector CD8","PreART_Entry","Large (20 < X <= 100)",94
"Effector CD8","PreART_Entry","Medium (5 < X <= 20)",269
"Effector CD8","PreART_Entry","Small (1 < X <= 5)",310
"Effector CD8","PreART_Entry","Single (0 < X <= 1)",448
"Effector CD8","PostART_Suppressed","Hyperexpanded (100 < X <= 500)",3
"Effector CD8","PostART_Suppressed","Large (20 < X <= 100)",209
"Effector CD8","PostART_Suppressed","Medium (5 < X <= 20)",490
"Effector CD8","PostART_Suppressed","Small (1 < X <= 5)",471
"Effector CD8","PostART_Suppressed","Single (0 < X <= 1)",544
"Effector CD8","PostART_Unsuppressed","Large (20 < X <= 100)",118
"Effector CD8","PostART_Unsuppressed","Medium (5 < X <= 20)",258
"Effector CD8","PostART_Unsuppressed","Small (1 < X <= 5)",320
"Effector CD8","PostART_Unsuppressed","Single (0 < X <= 1)",359
"KIR+ innate-like CD8","PreART_Entry","Medium (5 < X <= 20)",1
"KIR+ innate-like CD8","PreART_Entry","Small (1 < X <= 5)",9
"KIR+ innate-like CD8","PreART_Entry","Single (0 < X <= 1)",25
"KIR+ innate-like CD8","PostART_Suppressed","Hyperexpanded (100 < X <= 500)",101
"KIR+ innate-like CD8","PostART_Suppressed","Large (20 < X <= 100)",65
"KIR+ innate-like CD8","PostART_Suppressed","Medium (5 < X <= 20)",65
"KIR+ innate-like CD8","PostART_Suppressed","Small (1 < X <= 5)",31
"KIR+ innate-like CD8","PostART_Suppressed","Single (0 < X <= 1)",42
"KIR+ innate-like CD8","PostART_Unsuppressed","Large (20 < X <= 100)",1
"KIR+ innate-like CD8","PostART_Unsuppressed","Medium (5 < X <= 20)",19
"KIR+ innate-like CD8","PostART_Unsuppressed","Small (1 < X <= 5)",15
"KIR+ innate-like CD8","PostART_Unsuppressed","Single (0 < X <= 1)",12
"MAIT-like Trm","PreART_Entry","Single (0 < X <= 1)",23
"MAIT-like Trm","PostART_Suppressed","Small (1 < X <= 5)",2
"MAIT-like Trm","PostART_Suppressed","Single (0 < X <= 1)",45
"MAIT-like Trm","PostART_Unsuppressed","Small (1 < X <= 5)",4
"MAIT-like Trm","PostART_Unsuppressed","Single (0 < X <= 1)",20
"Naïve CD8","PreART_Entry","Small (1 < X <= 5)",11
"Naïve CD8","PreART_Entry","Single (0 < X <= 1)",4082
"Naïve CD8","PostART_Suppressed","Single (0 < X <= 1)",1684
"Naïve CD8","PostART_Unsuppressed","Small (1 < X <= 5)",4
"Naïve CD8","PostART_Unsuppressed","Single (0 < X <= 1)",690
"Naïve CD8 (innate-like)","PreART_Entry","Small (1 < X <= 5)",1
"Naïve CD8 (innate-like)","PreART_Entry","Single (0 < X <= 1)",3434
"Naïve CD8 (innate-like)","PostART_Suppressed","Single (0 < X <= 1)",102
"Naïve CD8 (innate-like)","PostART_Unsuppressed","Small (1 < X <= 5)",1
"Naïve CD8 (innate-like)","PostART_Unsuppressed","Single (0 < X <= 1)",178
"Naïve CD8 (post-ART)","PreART_Entry","Medium (5 < X <= 20)",1
"Naïve CD8 (post-ART)","PreART_Entry","Single (0 < X <= 1)",266
