"Module","rho","p_value","p_adj"
"Exhaustion",0.728808793022563,0.000267491183583405,0.00187243828508384
"Stemness",-0.293947829202448,0.208411205765444,0.486292813452702
"Cytotoxicity",0.0606077998355562,0.799629433316648,0.799629433316648
"Stress_IFN",0.195460154469669,0.408888922149891,0.494492187936865
"TypeI_IFN_Memory",0.189399374486113,0.423850446803027,0.494492187936865
"Inflammatory_Chemokines",0.500014348643339,0.0247647635099836,0.0866766722849427
"Terminal_Differentiation",-0.250007174321669,0.287748775935034,0.494492187936865
