"CD8_Annotation","PID","n","pct"
"Naïve CD8","CP002",905,12.917499286326
"Naïve CD8","CP003",1307,18.6554381958321
"Naïve CD8","CP006",663,9.46331715672281
"Naïve CD8","CP011",476,6.79417642021125
"Naïve CD8","CP013",804,11.4758778190123
"Naïve CD8","CP016",529,7.5506708535541
"Naïve CD8","CP017",268,3.82529260633742
"Naïve CD8","CP018",581,8.29289180702255
"Naïve CD8","CP020",541,7.72195261204682
"Naïve CD8","CP022",670,9.56323151584356
"Naïve CD8","CP042",262,3.73965172709106
"Naïve CD8 (innate-like)","CP002",99,2.52165053489557
"Naïve CD8 (innate-like)","CP003",267,6.80081507896077
"Naïve CD8 (innate-like)","CP006",1051,26.7702496179317
"Naïve CD8 (innate-like)","CP011",3,0.076413652572593
"Naïve CD8 (innate-like)","CP013",1477,37.6209882832399
"Naïve CD8 (innate-like)","CP016",44,1.1207335710647
"Naïve CD8 (innate-like)","CP017",2,0.0509424350483953
"Naïve CD8 (innate-like)","CP018",688,17.524197656648
"Naïve CD8 (innate-like)","CP020",37,0.942435048395313
"Naïve CD8 (innate-like)","CP022",225,5.73102394294447
"Naïve CD8 (innate-like)","CP042",33,0.840550178298523
"Naïve CD8 (post-ART)","CP002",16,0.984615384615385
"Naïve CD8 (post-ART)","CP003",417,25.6615384615385
"Naïve CD8 (post-ART)","CP006",119,7.32307692307692
"Naïve CD8 (post-ART)","CP013",507,31.2
"Naïve CD8 (post-ART)","CP016",1,0.0615384615384615
"Naïve CD8 (post-ART)","CP018",253,15.5692307692308
"Naïve CD8 (post-ART)","CP020",300,18.4615384615385
"Naïve CD8 (post-ART)","CP022",7,0.430769230769231
"Naïve CD8 (post-ART)","CP042",5,0.307692307692308
"Transitional Tem CD8","CP002",46,3.36503291880029
"Transitional Tem CD8","CP003",174,12.7286027798098
"Transitional Tem CD8","CP006",352,25.7498171177762
"Transitional Tem CD8","CP011",64,4.68178493050476
"Transitional Tem CD8","CP013",272,19.8975859546452
"Transitional Tem CD8","CP016",15,1.09729334308705
"Transitional Tem CD8","CP017",14,1.02414045354792
"Transitional Tem CD8","CP018",127,9.29041697147037
"Transitional Tem CD8","CP020",288,21.0680321872714
"Transitional Tem CD8","CP022",12,0.877834674469641
"Transitional Tem CD8","CP042",3,0.21945866861741
"Effector CD8","CP002",305,6.44139387539599
"Effector CD8","CP003",877,18.5216473072862
"Effector CD8","CP006",875,18.4794086589229
"Effector CD8","CP011",304,6.42027455121436
"Effector CD8","CP013",429,9.06019007391764
"Effector CD8","CP016",149,3.1467793030623
"Effector CD8","CP017",71,1.49947201689546
