"CD8_Annotation","n","pct"
"Naïve CD8",7006,26.7292358170234
"Naïve CD8 (innate-like)",3926,14.9784441646637
"Naïve CD8 (post-ART)",1625,6.19968715424822
"Transitional Tem CD8",1367,5.21536759375835
"Effector CD8",4735,18.0649345694556
"Terminal TEMRA CD8",3039,11.5943687764679
"KIR+ innate-like CD8",750,2.86139407119148
"MAIT-like Trm",142,0.541757277478921
"TRDV1+ γδ T cell",2884,11.003014001755
"Naïve-like TRDV1+ γδ",465,1.77406432413872
"Vγ9Vδ2 γδ T cell",272,1.03773224981878
