"PID","CD8_Annotation","n","pct"
"CP013","Naïve-like TRDV1+ γδ",135,3.00869177624248
"CP013","Vγ9Vδ2 γδ T cell",18,0.401158903498997
"CP016","Naïve CD8",529,65.1477832512315
"CP016","Naïve CD8 (innate-like)",44,5.41871921182266
"CP016","Naïve CD8 (post-ART)",1,0.123152709359606
"CP016","Transitional Tem CD8",15,1.84729064039409
"CP016","Effector CD8",149,18.3497536945813
"CP016","Terminal TEMRA CD8",11,1.35467980295567
"CP016","KIR+ innate-like CD8",7,0.862068965517241
"CP016","MAIT-like Trm",5,0.61576354679803
"CP016","TRDV1+ γδ T cell",20,2.46305418719212
"CP016","Naïve-like TRDV1+ γδ",10,1.23152709359606
"CP016","Vγ9Vδ2 γδ T cell",21,2.58620689655172
"CP017","Naïve CD8",268,69.250645994832
"CP017","Naïve CD8 (innate-like)",2,0.516795865633075
"CP017","Transitional Tem CD8",14,3.61757105943152
"CP017","Effector CD8",71,18.3462532299742
"CP017","Terminal TEMRA CD8",3,0.775193798449612
"CP017","KIR+ innate-like CD8",3,0.775193798449612
"CP017","TRDV1+ γδ T cell",18,4.65116279069767
"CP017","Naïve-like TRDV1+ γδ",1,0.258397932816538
"CP017","Vγ9Vδ2 γδ T cell",7,1.80878552971576
"CP018","Naïve CD8",581,21.7277486910995
"CP018","Naïve CD8 (innate-like)",688,25.7292445774121
"CP018","Naïve CD8 (post-ART)",253,9.46148092744951
"CP018","Transitional Tem CD8",127,4.74943904263276
"CP018","Effector CD8",284,10.6207928197457
"CP018","Terminal TEMRA CD8",169,6.32011967090501
"CP018","KIR+ innate-like CD8",108,4.03889304412865
"CP018","MAIT-like Trm",11,0.411368735976066
"CP018","TRDV1+ γδ T cell",365,13.6499626028422
"CP018","Naïve-like TRDV1+ γδ",53,1.98204936424832
"CP018","Vγ9Vδ2 γδ T cell",35,1.30890052356021
"CP020","Naïve CD8",541,14.0300829875519
"CP020","Naïve CD8 (innate-like)",37,0.95954356846473
