"","PreART_Entry","PostART_Suppressed","PostART_Unsuppressed"
"Naïve CD8",4252,1890,864
"Naïve CD8 (innate-like)",3606,115,205
"Naïve CD8 (post-ART)",375,814,436
"Transitional Tem CD8",304,804,259
"Effector CD8",1358,2067,1310
"Terminal TEMRA CD8",989,1311,739
"KIR+ innate-like CD8",71,527,152
"MAIT-like Trm",37,73,32
"TRDV1+ γδ T cell",328,1170,1386
"Naïve-like TRDV1+ γδ",167,205,93
"Vγ9Vδ2 γδ T cell",138,52,82
