"CD8_Annotation","Timepoint_Group","n","pct"
"Naïve CD8","PreART_Entry",4252,60.6908364259206
"Naïve CD8","PostART_Suppressed",1890,26.9768769626035
"Naïve CD8","PostART_Unsuppressed",864,12.3322866114759
"Naïve CD8 (innate-like)","PreART_Entry",3606,91.8492103922568
"Naïve CD8 (innate-like)","PostART_Suppressed",115,2.92919001528273
"Naïve CD8 (innate-like)","PostART_Unsuppressed",205,5.22159959246052
"Naïve CD8 (post-ART)","PreART_Entry",375,23.0769230769231
"Naïve CD8 (post-ART)","PostART_Suppressed",814,50.0923076923077
"Naïve CD8 (post-ART)","PostART_Unsuppressed",436,26.8307692307692
"Transitional Tem CD8","PreART_Entry",304,22.2384784198976
"Transitional Tem CD8","PostART_Suppressed",804,58.814923189466
"Transitional Tem CD8","PostART_Unsuppressed",259,18.9465983906364
"Effector CD8","PreART_Entry",1358,28.6800422386484
"Effector CD8","PostART_Suppressed",2067,43.6536430834213
"Effector CD8","PostART_Unsuppressed",1310,27.6663146779303
"Terminal TEMRA CD8","PreART_Entry",989,32.5435998683778
"Terminal TEMRA CD8","PostART_Suppressed",1311,43.1391905231984
"Terminal TEMRA CD8","PostART_Unsuppressed",739,24.3172096084238
"KIR+ innate-like CD8","PreART_Entry",71,9.46666666666667
"KIR+ innate-like CD8","PostART_Suppressed",527,70.2666666666667
"KIR+ innate-like CD8","PostART_Unsuppressed",152,20.2666666666667
"MAIT-like Trm","PreART_Entry",37,26.056338028169
"MAIT-like Trm","PostART_Suppressed",73,51.4084507042254
"MAIT-like Trm","PostART_Unsuppressed",32,22.5352112676056
"TRDV1+ γδ T cell","PreART_Entry",328,11.373092926491
"TRDV1+ γδ T cell","PostART_Suppressed",1170,40.5686546463245
"TRDV1+ γδ T cell","PostART_Unsuppressed",1386,48.0582524271845
"Naïve-like TRDV1+ γδ","PreART_Entry",167,35.9139784946237
"Naïve-like TRDV1+ γδ","PostART_Suppressed",205,44.0860215053763
"Naïve-like TRDV1+ γδ","PostART_Unsuppressed",93,20
"Vγ9Vδ2 γδ T cell","PreART_Entry",138,50.7352941176471
"Vγ9Vδ2 γδ T cell","PostART_Suppressed",52,19.1176470588235
"Vγ9Vδ2 γδ T cell","PostART_Unsuppressed",82,30.1470588235294
