"mnn_snn_res.0.6","Phase","n","proportion"
"0","G1",751,0.897252090800478
"0","G2M",6,0.00716845878136201
"0","S",80,0.0955794504181601
"1","G1",687,0.891050583657588
"1","G2M",2,0.00259403372243839
"1","S",82,0.106355382619974
"10","G1",92,0.686567164179104
"10","G2M",21,0.156716417910448
"10","S",21,0.156716417910448
"11","G1",11,0.392857142857143
"11","G2M",2,0.0714285714285714
"11","S",15,0.535714285714286
"2","G1",388,0.900232018561485
"2","G2M",8,0.0185614849187935
"2","S",35,0.0812064965197216
"3","G1",317,0.798488664987406
"3","G2M",33,0.0831234256926952
"3","S",47,0.118387909319899
"4","G1",358,0.942105263157895
"4","G2M",3,0.00789473684210526
"4","S",19,0.05
"5","G1",48,0.134453781512605
"5","G2M",91,0.254901960784314
"5","S",218,0.610644257703081
"6","G1",316,0.943283582089552
"6","G2M",2,0.00597014925373134
"6","S",17,0.0507462686567164
"7","G2M",238,0.712574850299401
"7","S",96,0.287425149700599
"8","G1",232,0.978902953586498
"8","G2M",1,0.00421940928270042
"8","S",4,0.0168776371308017
"9","G1",128,0.82051282051282
"9","G2M",8,0.0512820512820513
"9","S",20,0.128205128205128
