gene,set_membership,padj_unsup,padj_supp,avg_log2FC_unsup,avg_log2FC_supp,sig_unsup,sig_supp
RPS10,Overlap,0,0,2.84726936494584,2.7584900785775,TRUE,TRUE
MTRNR2L12,Overlap,0,1.6499168269720902e-293,-12.7632778639586,-7.9298543624566,TRUE,TRUE
H3F3B,Overlap,5.45996292996845e-293,0,-13.1537900260479,-2.18570822342787,TRUE,TRUE
TPI1,Overlap,7.65533872819649e-293,0,-3.44592913404361,-2.68528791414346,TRUE,TRUE
MIF,Overlap,1.07150492923543e-293,0,-2.12938032111802,-1.82353644238831,TRUE,TRUE
LINC01578,Overlap,9.93341162108661e-293,0,-12.2553864993874,-2.6983931306155,TRUE,TRUE
H3-3B,Overlap,1.1324459679300598e-292,0,4.14609072153266,3.5820226178361,TRUE,TRUE
GAPDH,Overlap,3.60941458236466e-276,0,-2.71869593360654,-2.40645827777454,TRUE,TRUE
H3-3A,Overlap,1.69526747886382e-269,0,3.65226079103269,3.32900047279565,TRUE,TRUE
H3F3A,Overlap,1.8637360721995002e-262,0,-12.7476841641642,-1.61690326958796,TRUE,TRUE
ENO1,Overlap,1.03256953328906e-261,0,-2.67621700123249,-2.34046775614876,TRUE,TRUE
AL138963.4,Overlap,3.7635710586279e-237,5.818977353602669e-237,-10.7036994926523,-4.77071677257489,TRUE,TRUE
ALDOA,Overlap,1.53919377255149e-227,0,-2.26485287397059,-1.74813638843383,TRUE,TRUE
HIST1H4C,Overlap,1.2761818790878898e-225,1.0690447574351898e-286,-11.8196944926223,-2.11824387660982,TRUE,TRUE
IGFBP2,Overlap,3.3242825712120594e-225,0,-8.95554412462759,-9.43918587587622,TRUE,TRUE
TALAM1,Overlap,2.5161399350898296e-217,0,3.94251078352108,3.17803466699286,TRUE,TRUE
H1FX,Overlap,7.39321610102663e-216,0,-12.1251926249798,-3.45553419332416,TRUE,TRUE
GPI,Overlap,1.2696250194599898e-200,0,-3.43985450943109,-2.96130147364434,TRUE,TRUE
