"Annotation","Timepoint_Group","PS_Exhaustion_Protein","PS_Activation_Protein","PS_Stemness_Protein","PS_Tissue_Residency_Protein","PS_Senescence_Protein","PS_Terminal_Diff_Protein","n_cells"
"Activated B cell","PostART_Suppressed",0.737351876321443,2.09630131918124,0.374636743520683,1.46007600355411,0.03106484125633,0,937
"Activated B cell","PostART_Unsuppressed",0.773555239428414,2.06650163465862,1.06834946203488,0.849475841923921,0.0844214985312588,0.00115779551981406,94
"Activated B cell","PreART_Entry",0.193052794708325,1.70239282248968,0.735009086675092,1.01135625278035,0.0131703080406437,0.000843807803584847,599
"CD4dim Naive T cell","PostART_Suppressed",0.0179247175346272,0.0518063563622429,2.44916683440966,0.0506778779617993,0.0240684936215894,0.000781755741988347,317
"CD4dim Naive T cell","PostART_Unsuppressed",0.0481391439129532,0.0797565501899916,2.13302943478996,0.0474750627315936,0.162870599309493,0.0189152939087385,53
"CD4dim Naive T cell","PreART_Entry",0.0116633360584617,0.142871361908728,3.57065114540307,0.028162974928889,0.0183941292416048,0.000350118815646523,746
"CD56bright NK","PostART_Suppressed",0.0106312786963453,0.0583022801115648,2.26619274632818,0.276066317904098,0.165854822322054,0,179
"CD56bright NK","PostART_Unsuppressed",0.0840385288277315,0.176217128312906,4.00459125817501,0.353262674187265,0.26085214102114,0.00363649279677148,111
"CD56bright NK","PreART_Entry",0.0834816502024826,0.276104131476711,2.12972046954646,0.664148164752192,0.0567883395166291,0.00290315133851809,605
"CD56dim CD122hi NK","PostART_Suppressed",0.024749650447901,0.486453085566896,0.706281501427793,0.212289066814971,0.399458231356043,2.49090190284679e-05,1276
"CD56dim CD122hi NK","PostART_Unsuppressed",0.0654819619937821,0.460126082656382,1.1906539000266,0.0741996910499315,0.50580536486485,0.000326172067184598,1307
"CD56dim CD122hi NK","PreART_Entry",0.0928414488686222,0.836473944184909,0.652229405023513,0.390053316597373,0.143201448834615,0.130928025708763,4122
"CD56dim CD122int NK","PostART_Suppressed",0.0270078938249815,0.319544026345733,0.739760838752327,0.168578437647726,1.04348527872138,0,411
"CD56dim CD122int NK","PostART_Unsuppressed",0.0473711714856414,0.264680648773705,0.814107778502802,0.0478885183634287,1.25182799002969,0,417
"CD56dim CD122int NK","PreART_Entry",0.0529887808659999,0.590736039957315,0.356075603641114,0.210120891180202,0.29733273837873,0.136154647571304,1375
"CD56dim CD122lo NK","PostART_Suppressed",0.0122773369330325,0.0927194846976688,0.417871863443661,0.0608891937463616,0.368161749050498,8.8932538816508e-05,791
"CD56dim CD122lo NK","PostART_Unsuppressed",0.0231618065213643,0.0950925153016081,0.329556906781948,0.0194351510890406,0.7757866045106,0.00594875309349543,418
"CD56dim CD122lo NK","PreART_Entry",0.0213234322688698,0.282678018140486,0.304646827342052,0.0859627922410569,0.246922932536596,0.0249578227150751,1455
"CD8+ MAIT cell","PostART_Suppressed",0.0300244326977866,0.233664794636727,3.47291902275592,2.46164297994937,0.526030006447612,0.000703084317663548,217
"CD8+ MAIT cell","PostART_Unsuppressed",0.0388811958796528,0.193399875927666,2.95105309160698,2.02282486264628,0.972648790715773,0,102
"CD8+ MAIT cell","PreART_Entry",0.0191807202397839,0.300483930965905,3.35409699016125,2.16701523673313,0.484964876486997,0,505
"Classical Monocyte","PostART_Suppressed",0.667832795401296,0.794709486522236,1.05319549009828,0.455096633064233,0.0984288082162377,0,450
"Classical Monocyte","PostART_Unsuppressed",0.763510522716489,0.919694752698864,0.507063083279909,0.816193217940067,0.113905119625832,0,492
"Classical Monocyte","PreART_Entry",0.509169189236076,0.618808619130404,0.76381755882492,0.421382774340661,0.027612403918139,0.00139701608419554,1180
"Cytotoxic gd T cell","PostART_Suppressed",0.0332359926639154,0.115248522520753,1.01654446967161,0.29757329820385,1.94819256703625,0,839
"Cytotoxic gd T cell","PostART_Unsuppressed",0.0554252425946956,0.160837181139848,0.691125359767502,0.0606517054043867,2.28602624871979,0.000733743901311282,1648
"Cytotoxic gd T cell","PreART_Entry",0.0950445438427614,0.511135347141276,0.606931516308587,0.443707586741587,1.0139236923815,0.0507827356499253,358
"Follicular B cell","PostART_Suppressed",0.57868168278499,1.33619825888048,1.52436775866651,0.370726659298614,0.0234120093452232,0,1911
"Follicular B cell","PostART_Unsuppressed",0.813085496065529,1.99515502122441,2.11064354474891,0.408486505979161,0.0373505578091101,0.0017040120362744,1620
"Follicular B cell","PreART_Entry",0.211529452813814,0.946832496853598,3.0155432723977,0.208964480832483,0.0184699915920432,0.000566733793263254,3015
"Intermediate Monocyte","PostART_Suppressed",0.221986905385224,0.624860088528243,0.449012489664706,0.403199865762232,0.0175132960345548,0,108
"Intermediate Monocyte","PostART_Unsuppressed",0.383748711542423,0.690437288716915,0.426498248415679,0.78460504432444,0.0846883060402479,0,588
"Intermediate Monocyte","PreART_Entry",0.440489285314887,0.404199381817396,0.549915716310742,0.714417940716879,0.0434997803302831,0,26
"ISG+ CD4 T cell","PostART_Suppressed",0.0129621930291219,0.474881519507776,4.20395950162115,0.308349201087073,0.0406981185486703,0,1234
"ISG+ CD4 T cell","PostART_Unsuppressed",0.01453262449679,0.200308407671422,3.76714607445052,0.0968347595285321,0.0509844904154031,3.20683807100884e-05,686
"ISG+ CD4 T cell","PreART_Entry",0.0117718072978091,0.657605686850371,3.08843953492118,0.197615114058377,0.0530210408451056,0.00564061493172346,411
"Naive 1 CD4","PostART_Suppressed",0.00799283914739772,0.609374557349511,6.42661235589312,0.31355983987392,0.0144657966032313,0,1897
"Naive 1 CD4","PostART_Unsuppressed",0.0144369860888108,0.432990617278583,6.28702874448415,0.150085047322775,0.0238888868539798,0.000769784934487453,1442
"Naive 1 CD4","PreART_Entry",0.00780524832486126,0.718697536553921,5.74668895564353,0.123102240612988,0.0335855658276992,0.00032713606899099,9575
"Naive 1 CD8","PostART_Suppressed",0.0102381347951004,0.251345575569105,4.3782860508012,0.618644134626348,0.0422447972922819,0.000196229308920276,1410
