"Comparison","Module","Cluster","n_g1","n_g2","mean_g1","mean_g2","cohens_d","p_value","p_adj","sig"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Th2/Th17 EM CD4",1174,1570,0.0396,-0.0041,0.143,9.23659616422817e-05,0.000203595992727605,"***"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","CD56dim CD122hi NK",1276,4122,0.0321,-0.0083,0.127,0.0571840992143826,0.0835955471126667,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Classical Monocyte",450,1180,0.2139,0.2215,-0.018,1.71073355629075e-07,4.71139954123291e-07,"***"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Naive 1 CD4",1897,9575,-0.0513,-0.0816,0.129,1.79741146770395e-08,5.28416917376523e-08,"***"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Naive 2 CD4",2780,5781,-0.0177,-0.0607,0.165,1.30705801349905e-13,5.01073760054996e-13,"***"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","CD8+ MAIT cell",217,505,-0.0479,-0.0103,-0.157,0.0254149138145889,0.0398782799605469,"*"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Transitional Memory CD4",410,3224,-0.0545,-0.0447,-0.043,0.39208666805662,0.458934859141994,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Treg",331,949,0.0097,0.0458,-0.124,0.103901089264527,0.142115249282981,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Tscm CD8",6,312,-0.1471,-0.1199,-0.132,0.678396446595645,0.730862358832359,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","pDC",75,75,0.133,0.0684,0.187,0.660102855639257,0.71481427716087,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Activated B cell",937,599,0.0171,0.0275,-0.058,0.449783624203782,0.516131017046103,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Naive 2 CD8",1112,2765,-0.0193,-0.0841,0.262,2.20939831060709e-13,8.3103898778879e-13,"***"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","TEMRA/CTL CD8",2871,1881,0.0558,0.0356,0.06,0.304328171770123,0.367896215722106,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Follicular B cell",1911,3015,-0.0824,-0.0583,-0.11,0.000107019652985146,0.000234172683609506,"***"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","ISG+ CD4 T cell",1234,411,0.3011,0.5769,-0.364,1.13638097033917e-10,3.78162334018425e-10,"***"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Transitional B cell",684,1895,-0.0538,0.0058,-0.232,2.1948911451956e-10,7.19419860997079e-10,"***"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","CD56bright NK",179,605,-0.0229,-0.0285,0.021,0.935021380881772,0.949686828568345,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Vd1 gd T cell",992,752,-0.0416,-0.0414,-0.001,0.292640875483922,0.355922607948973,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Tex CD8",170,429,0.0309,0.0417,-0.041,0.362054926287307,0.429022553602565,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Non-classical Monocyte",553,520,0.1211,0.2815,-0.365,1.66819170360854e-18,8.14050371048079e-18,"***"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Resting Naive B cell",1273,1665,-0.062,-0.0574,-0.02,0.384662779674289,0.452011780333299,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","CD56dim CD122int NK",411,1375,0.02,-0.0278,0.16,0.707022758525404,0.756937680709057,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Cytotoxic gd T cell",839,358,0.0719,0.0282,0.112,0.636164864100187,0.692212086459604,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","CD56dim CD122lo NK",791,1455,0.1025,-0.0072,0.311,4.39895826494134e-10,1.42238920415647e-09,"***"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","CD4dim Naive T cell",317,746,0.0999,-0.0648,0.484,6.5282640898632e-07,1.72265647128989e-06,"***"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Vg9Vd2 gd T cell",718,671,0.0138,0.0787,-0.187,3.24100271633207e-05,7.44529483061518e-05,"***"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","Intermediate Monocyte",108,26,0.0149,0.1846,-0.371,0.0356028695874889,0.0538538355628935,"ns"
"Suppressed_vs_PreART","MS_Stress_IFN_Acute","TNF+ B cell",72,10,1.1372,0.8513,0.324,0.32469770743157,0.38976738827958,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","Naive 1 CD8",1410,2957,-0.2905,-0.2833,-0.019,0.0365065844374258,0.0551164311985331,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","Naive Intermediate CD8",185,1823,-0.3796,-0.272,-0.255,0.0314120503257792,0.0481222970463983,"*"
"Suppressed_vs_PreART","MS_IFN_Signalling","Naive 3 CD4",1358,3563,-0.2775,-0.2735,-0.012,0.892161368157522,0.918221064478274,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","Th2/Th17 EM CD4",1174,1570,-0.3159,-0.275,-0.119,0.0117405048167079,0.0196029613524962,"*"
"Suppressed_vs_PreART","MS_IFN_Signalling","CD56dim CD122hi NK",1276,4122,-0.031,-0.047,0.039,0.0247276820757043,0.0388763295625902,"*"
"Suppressed_vs_PreART","MS_IFN_Signalling","Classical Monocyte",450,1180,-0.0963,-0.1194,0.069,0.336645415745718,0.403502959543142,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","Naive 1 CD4",1897,9575,-0.2913,-0.2792,-0.035,0.799373797351126,0.836010309233216,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","Naive 2 CD4",2780,5781,-0.2564,-0.2838,0.079,5.47278376291152e-05,0.000123588971686484,"***"
"Suppressed_vs_PreART","MS_IFN_Signalling","CD8+ MAIT cell",217,505,-0.3094,-0.29,-0.054,0.3125377337313,0.37668028673048,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","Transitional Memory CD4",410,3224,-0.2765,-0.1839,-0.235,0.000346030301634873,0.00070862273736509,"***"
"Suppressed_vs_PreART","MS_IFN_Signalling","Treg",331,949,-0.2447,-0.2111,-0.081,0.636706197271203,0.692486631258195,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","Tscm CD8",6,312,-0.5068,-0.409,-0.28,0.941038229220136,0.954584080106455,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","pDC",75,75,0.1725,-0.0027,0.508,0.00157179842566748,0.0029677139699758,"**"
"Suppressed_vs_PreART","MS_IFN_Signalling","Activated B cell",937,599,-0.0789,-0.2638,0.469,1.25098839407654e-22,7.32852858730414e-22,"***"
"Suppressed_vs_PreART","MS_IFN_Signalling","Naive 2 CD8",1112,2765,-0.2718,-0.2689,-0.008,0.0360471191066673,0.0544570601384457,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","TEMRA/CTL CD8",2871,1881,-0.1229,-0.2148,0.257,5.03955866352054e-16,2.17172348161785e-15,"***"
"Suppressed_vs_PreART","MS_IFN_Signalling","Follicular B cell",1911,3015,-0.1794,0,-0.409,3.28464386754401e-49,4.34807000366599e-48,"***"
"Suppressed_vs_PreART","MS_IFN_Signalling","ISG+ CD4 T cell",1234,411,-0.131,-0.0768,-0.133,0.350410207328711,0.418118952569517,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","Transitional B cell",684,1895,-0.168,0.0698,-0.472,4.36926882582518e-23,2.61719202666929e-22,"***"
"Suppressed_vs_PreART","MS_IFN_Signalling","CD56bright NK",179,605,-0.1392,-0.2015,0.183,0.0146931903854413,0.023965203651135,"*"
"Suppressed_vs_PreART","MS_IFN_Signalling","Vd1 gd T cell",992,752,-0.3295,-0.2262,-0.274,2.25784314404604e-06,5.71255773298237e-06,"***"
"Suppressed_vs_PreART","MS_IFN_Signalling","Tex CD8",170,429,-0.3134,-0.2283,-0.247,0.00397076861150454,0.0070721191738133,"**"
"Suppressed_vs_PreART","MS_IFN_Signalling","Non-classical Monocyte",553,520,0.0609,0.0611,-0.001,0.917498673931906,0.936653950890859,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","Resting Naive B cell",1273,1665,-0.1313,0.044,-0.405,1.82601113803929e-25,1.21531185742837e-24,"***"
"Suppressed_vs_PreART","MS_IFN_Signalling","CD56dim CD122int NK",411,1375,-0.0801,-0.0827,0.007,0.267600392526771,0.328974110053434,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","Cytotoxic gd T cell",839,358,-0.1525,-0.1224,-0.084,0.190381718667745,0.244394096248007,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","CD56dim CD122lo NK",791,1455,-0.0054,-0.0547,0.124,0.0122046100174164,0.0203071150012011,"*"
"Suppressed_vs_PreART","MS_IFN_Signalling","CD4dim Naive T cell",317,746,-0.2027,-0.1873,-0.039,0.894801189563875,0.920406726115058,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","Vg9Vd2 gd T cell",718,671,-0.2806,-0.2016,-0.235,1.85163908986854e-05,4.34102471558221e-05,"***"
"Suppressed_vs_PreART","MS_IFN_Signalling","Intermediate Monocyte",108,26,-0.1304,-0.0523,-0.21,0.357622444939018,0.425453514435893,"ns"
"Suppressed_vs_PreART","MS_IFN_Signalling","TNF+ B cell",72,10,-0.1801,-0.0467,-0.417,0.407118811666128,0.474674779928002,"ns"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Naive 1 CD8",1410,2957,0.0649,-0.0935,0.436,1.75534373741581e-37,1.74514671985405e-36,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Naive Intermediate CD8",185,1823,-0.0668,-0.0659,-0.003,0.104345779028471,0.142619786966467,"ns"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Naive 3 CD4",1358,3563,0.1485,0.1735,-0.061,0.000234878281695342,0.000494524044764533,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Th2/Th17 EM CD4",1174,1570,0.1639,0.1924,-0.065,0.00349021808452671,0.00628291700264914,"**"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","CD56dim CD122hi NK",1276,4122,-0.1253,-0.229,0.375,3.02197056023847e-11,1.04181891544336e-10,"***"
"Suppressed_vs_PreART","MS_IFN_Negative_Reg","Classical Monocyte",450,1180,-0.0033,-0.1525,0.461,3.29804420041466e-14,1.29968978687394e-13,"***"
