"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Cytotoxic gd T cell","Follicular B cell","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD4","Naive 1 CD8","Naive 2 CD4","Naive 2 CD8","Naive 3 CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"MCL1",1.47977426442921,1.71491590975288,2.31525286465472,2.64494892082379,2.56493928262748,2.69002650904952,2.27443651452855,2.87589882405443,3.65735791881075,1.71091400122249,3.21194563598915,2.62157190971291,1.68924744783474,1.75047024433893,1.76648363052983,1.67594837481693,1.7841053479315,1.26049727310574,2.71699228050193,2.07150516215063,1.42109633584893,3.11845321228181,2.79365978987632,2.73093810443347,3.82726841359921,1.63973063577323,1.71136829469942,2.10400591645421,1.41556338509136,3.73319223329774,4.47264926461052
"FASLG",0.0082300001275483,0.0117018541728427,0.99246554855201,1.34866635228023,1.11880552108381,1.29227210038007,0.244702431092704,0.0197923397554776,1.03979755007799,0.000878710945460864,0.00491330956601719,0.00726083621101091,0.00180799166689892,0.000960000820503974,0.0049166541700174,0.0115990107132938,0.00231574020911817,0.000405741469001595,0.00456821351073493,0,0.00336524335367306,0.86632802721991,0.598120837711797,0.065962174258963,0,0.00115591855214897,0.000945340693285247,0.00713152283058171,0.002134560855468,0.0285230456724823,1.07213015230836
"CASP8",0.378874730650128,1.21184567748532,1.37309228924898,1.33553102837097,1.38746807340468,1.43600256179117,1.23544961020924,0.381174987480236,1.38523691884553,0.808829816028831,0.327402739753984,1.56841854607334,1.06241607652525,1.18189909652327,1.22235872948221,1.23164208340519,1.28738754632322,0.895473102730176,0.555692059979277,1.21640234577506,0.757335094023045,1.55496337634237,1.44426049133926,1.40518339733305,0.537514945155224,0.663262192877413,0.962123998281518,1.96651433328578,1.06065367428386,1.1758322402526,1.40569457926826
"CASP3",0.296808767383926,0.461988341637727,0.521196816539311,0.525105387588504,0.527801608959886,0.583157545142785,0.351750713272166,0.242059097035944,0.557121317923111,0.250186251366428,0.284884635985289,0.508911271360771,0.416231895943848,0.284015273592188,0.399912278102716,0.310445823226501,0.425375910507851,0.238667337891944,0.303755174097808,0.573898601777021,0.285747471887154,0.576874673944799,0.903396208182806,0.391580936789168,0.54403589818963,0.301218717975348,0.423377847900497,0.982306077383599,0.256780026159658,0.462159117810552,0.520491448405775
"BAK1",0.160360005685228,0.200255532782679,0.261028185501579,0.289370645239026,0.301298993653454,0.327211600292438,0.27944404416529,0.148789051758801,0.327531459674209,0.190010780432871,0.0783169218581445,0.257075642045635,0.178685203363255,0.202174689214351,0.183026953124046,0.205647359438036,0.191752720696833,0.159506525530858,0.184130063890848,0.257033000497961,0.183678518164629,0.358308652649885,0.461649198652729,0.316811018348558,0.366049851816761,0.230871379931643,0.197244021052327,0.302630999695685,0.202770324135773,0.263996990961643,0.4285750378781
"FAS",0.426881130225479,0.250777844939608,0.182396141565842,0.255291199051104,0.260978046462885,0.26523978645808,0.38571662965721,0.130418354792946,0.357483672833837,0.213191118323951,0.122040833282085,0.553250826464705,0.186190695257066,0.211152725916528,0.208413112680823,0.183317824529843,0.216427574439393,0.135811918007889,0.216661347891412,0.462580081444733,0.228957815115987,0.423410923462459,0.487227463730905,0.511609361203988,0.075402228646989,0.226092067642415,0.214543203805026,0.72350272597255,0.273543952372929,0.313975599493488,0.457924107943263
"BCL2A1",12.1889977505247,0.21456829675726,0.263281371190818,0.20558863701012,0.096523262411632,0.139317624279504,0.113941045589824,4.01789453433877,0.193324605933044,1.0754644654105,5.19606194357025,0.261529297628276,0.0777159593427705,0.0866878119486224,0.0976864249564542,0.095081275365385,0.0842511062532791,0.0615036399947352,8.1146693288294,3.18997567091059,1.01943879834041,0.130823225136999,0.160565590429057,0.191626956512887,4.41466153177365,1.63820863074879,0.0743641743094316,0.217932006782462,0.0797510578093992,0.11608884810381,0.202513566503603
"BCL2",4.24733066574018,0.736264334334814,0.276368946967251,0.226782266836212,0.19967414358499,0.206968268195808,0.444727492540406,0.36379873113662,0.322423901700263,2.48344274303736,0.413477531583918,0.995440507968391,0.306405818669275,0.576782378012872,0.538315973572305,0.517171136961384,0.453756901842097,0.280657238006366,0.366656297395834,0.461321945123586,3.34284952335222,0.191487260030255,0.279662704409608,0.507130885107935,2.41806604258454,1.78351593728139,0.243224065646243,3.71464551642376,0.469307803445243,0.605614105975207,0.156497141140269
"BBC3",0.0954801836167434,0.412544712910021,0.42723440833212,0.632859657478535,0.701215750733188,0.725531823239863,0.220527002302829,0.282368049324554,0.51624402400016,0.101552413918504,0.136493404859946,0.461163387975158,0.387100728556808,0.340654976964118,0.361928513572661,0.363679538854606,0.39868087302287,0.317342677141967,0.380121238786309,0.126030568871618,0.0770967155039587,0.562723579300723,0.438550490748808,0.245630474649902,0.381655283924374,0.0481175998308554,0.326646845716661,0.311149187235037,0.503853334983717,0.381570153314938,0.27038677865286
"BAX",1.29491113251478,1.85527608894275,1.62188518696959,1.96163180231789,1.90080020663352,2.03717097515212,1.64242774295095,1.51655504314617,1.28945003109811,1.25917381374273,1.21085497028258,0.632641941126036,1.48622133401346,1.69011271500355,1.41106793897641,1.82244864437856,1.32582708217816,2.23410104118374,1.62557781313295,1.38661037461372,1.35168540969944,1.40901390638872,1.53752939147435,1.35975291383543,0.287756740376367,1.37067965949997,1.50896292176664,1.66806272454568,2.52415704667466,1.56673205148993,1.19688575402886
"BCL2L1",0.614718596410356,0.143291838473851,0.283622196651447,0.384791691125443,0.394408641114426,0.428074586068263,0.247715396915964,0.231670981048618,0.349689868425479,0.169783990018101,0.218331243987392,0.153309637567584,0.116775462279497,0.139253953087209,0.147103023259604,0.150394918311948,0.120620782387902,0.0970456269297553,0.270336084216821,0.366067920546974,0.176365676504914,0.347037425815746,0.257645922226853,0.16482900620084,0.218853371250934,0.301379392230177,0.10900071409089,0.281212506877012,0.124057816455985,0.204398270373484,0.25868164074903
"BID",1.25900813889951,0.354468844945914,0.684480878826252,0.481718185627799,0.469100021598582,0.409901530204098,0.380298737165267,2.35101951305543,0.442254854407985,0.443560339426567,4.71687683874093,0.260841019384326,0.288419866214512,0.305912713156531,0.277634196769513,0.31891985022929,0.261748883042848,0.302850585969903,3.76958738068122,2.33882882506084,0.428304496482702,0.367709083938506,0.332927742742425,0.293230384386141,0.350790113029396,0.480533786739494,0.280535483299318,0.308287960127695,0.274463873602273,0.347058941762433,0.463059019935669
