"Annotation","Condition","PS_Exhaustion_Protein","PS_Activation_Protein","PS_Stemness_Protein","PS_Tissue_Residency_Protein","PS_Senescence_Protein","PS_Terminal_Diff_Protein","n_cells"
"Activated B cell","HEI",0.539418113282055,1.94982747877426,0.547073571183152,1.2599658526911,0.0275658844389357,0.00037685500196923,1630
"Activated B cell","HEU",0.727375252433441,3.59996983935683,0.264060708985491,2.77574879640186,0.0408711795928259,0,102
"Activated B cell","HUU",0.115717079874304,1.12482227869106,0.585985402900088,0.554423520097499,0.0399217871299751,0.000286950227984276,146
"CD4dim Naive T cell","HEI",0.0151741566178098,0.114006942751623,3.18381917654339,0.0354754882935628,0.0268672711968496,0.00135440482423454,1116
"CD4dim Naive T cell","HEU",0.0945318193489316,0.480438195762006,2.33892358948281,0.114516628093686,0.264104598285409,0,70
"CD4dim Naive T cell","HUU",0.00224460569635031,0.0424969496900035,3.95165132417109,0.00759750621868825,0.00502724621944442,0,225
"CD56bright NK","HEI",0.0689806412950011,0.220155540699567,2.38954079924668,0.547975047390722,0.103910107549223,0.00241347179915651,895
"CD56bright NK","HEU",0.149099727937074,0.363030549168532,0.74378513826259,1.02875709699826,0.126879237264232,0.000511693418137376,270
"CD56bright NK","HUU",0.0140657248432684,0.0937486024109327,1.13392611015604,0.83441512683244,0.0194584382938836,0,87
"CD56dim CD122hi NK","HEI",0.0745500269252581,0.696501793459425,0.7674704624405,0.294654678071966,0.262650661772551,0.0805583016810754,6705
"CD56dim CD122hi NK","HEU",0.29640323094708,1.67463458011946,0.274569363590521,1.37465454032703,0.563382243979501,0.145379403606176,1777
"CD56dim CD122hi NK","HUU",0.0157049358397839,0.346256044118217,0.277642538970442,0.0900093610161477,0.0633801152647001,0.00273975538815016,530
"CD56dim CD122int NK","HEI",0.0470783461472218,0.478423277488896,0.514357060085977,0.171662040582634,0.61721163716188,0.084980771861345,2203
"CD56dim CD122int NK","HEU",0.207774031329529,1.35035294618549,0.0735117791024132,0.908723028913478,0.430907140443331,0.298459198503982,284
"CD56dim CD122int NK","HUU",0.00834262958029522,0.237243025918841,0.165156777107554,0.116391399309637,0.0716348738986933,0.00830137821096607,150
"CD56dim CD122lo NK","HEI",0.0189259018735602,0.19684170427415,0.34217438618674,0.0680792447895378,0.365903757892313,0.0145910497303751,2664
"CD56dim CD122lo NK","HEU",0.116080452142191,0.594376598082792,0.0988815398620067,0.540359892789934,0.277255095918127,0.102598060912145,139
"CD56dim CD122lo NK","HUU",0.00330701113204103,0.11166203451335,0.0912428072947805,0.04994811773315,0.0455546474788817,0.00492314188224602,345
"CD8+ MAIT cell","HEI",0.0244750577624213,0.269631593347784,3.33549735839002,2.22675650144316,0.556147998395721,0.000185156913753629,824
"CD8+ MAIT cell","HEU",0.0571218395734609,0.809110150354265,3.42391055877358,2.4060335936706,1.04294258681441,0,196
"CD8+ MAIT cell","HUU",0.0152757926975499,0.0470880077763389,3.32261441791825,2.44703837173784,0.279602607449764,0,64
"Classical Monocyte","HEI",0.60178679472463,0.725873354305713,0.765653971221181,0.520071735074174,0.0626375679437419,0.000776851545405627,2122
"Classical Monocyte","HEU",0.893095135587101,1.11927448321781,0.717306403990709,0.931723860472771,0.0382104595500768,0.0178396021797521,745
"Classical Monocyte","HUU",0.25728137244463,0.227911744829596,0.268204539373057,0.180702433264602,0.0121563514284684,0,177
"Cytotoxic gd T cell","HEI",0.0538670454610868,0.191472632404203,0.776498026639648,0.178722433656572,2.02632319982643,0.00681526513604016,2845
"Cytotoxic gd T cell","HEU",0.270950995889995,1.17303952512689,0.346048854567999,1.23187153687941,2.08572726608734,0.0781994184414617,110
"Cytotoxic gd T cell","HUU",0.0095234480854081,0.171702335839362,0.310300657807964,0.356634145076885,0.566062194118678,0,34
"Follicular B cell","HEI",0.467586388582634,1.31993980829785,2.35627441117996,0.305565947955366,0.024585285389473,0.000682737837679995,6546
"Follicular B cell","HEU",0.76925228112147,1.98264551013071,1.42794761481056,0.440944160431667,0.0224027308739547,0.0230896677040529,506
"Follicular B cell","HUU",0.114343082581455,0.601994160097903,2.39108717106656,0.0770441799777919,0.0192791104744176,0,563
"Intermediate Monocyte","HEI",0.36159494402595,0.670320220573198,0.434310426005938,0.725025232719848,0.0731567232852978,0,722
"Intermediate Monocyte","HEU",0.286889541451017,0.956089316187534,0.730419072024164,0.988654673793771,0.0157780109518957,0,22
"Intermediate Monocyte","HUU",0.0953792066644447,0.291945696416928,1.11281201976667,0.054203580929033,0,0,8
"ISG+ CD4 T cell","HEI",0.0132144742179897,0.426293994007162,3.87872024063756,0.226577164760195,0.0458981066071918,0.00100398612016536,2331
"ISG+ CD4 T cell","HEU",0.0522728647162315,1.12506275237106,2.69969870890836,0.412457825538956,0.0209016266654365,0,107
"ISG+ CD4 T cell","HUU",0,0.0010843007287994,1.56302163844802,0.0305587030465444,0,0,3
"Naive 1 CD4","HEI",0.00857331597593505,0.670736016564312,5.90690148977561,0.154092427470159,0.0296942220690714,0.000328508420018556,12914
"Naive 1 CD4","HEU",0.0194157375214746,1.47510627455434,5.10596929483953,0.199768967355117,0.0597810503926323,0.000874641341881812,3422
"Naive 1 CD4","HUU",0.00289571616523697,0.517265626746526,6.25465671954249,0.116820563831512,0.0187303305407836,0,1248
"Naive 1 CD8","HEI",0.00842788805786775,0.234486399826413,5.07562185868716,0.331737212471242,0.0291296790326226,5.26414241966494e-05,5256
"Naive 1 CD8","HEU",0.0186384364557625,0.806497429638519,4.36403609991372,0.433830135850657,0.05724394484644,0,1048
"Naive 1 CD8","HUU",0.00183872392878582,0.14675646007814,5.49782556417386,0.234564442111209,0.00766938484778137,0,422
"Naive 2 CD4","HEI",0.00680589980197745,0.193268753147819,5.15858960167946,0.0480562165573687,0.0147076021351663,5.7047978866434e-05,9907
"Naive 2 CD4","HEU",0.0123202731120328,0.934338665734126,3.93252249280877,0.0780815384762358,0.0281244770922066,0.00069674529808761,608
"Naive 2 CD4","HUU",0.0020335894327959,0.137672191861985,5.48237356632793,0.0294342141213232,0.00744151491033336,0,1043
"Naive 2 CD8","HEI",0.00696305900885349,0.108064715147298,4.37903265654423,0.0758091523828337,0.0292978351003166,0.000483798292809737,4593
"Naive 2 CD8","HEU",0.0192532428269289,0.570864120462686,3.53994123346722,0.166460612415798,0.0315756444185491,0.00206625385415263,575
"Naive 2 CD8","HUU",0.00345728520103626,0.059892882608569,4.96538966277776,0.0610362447141743,0.0068478026054943,0,656
"Naive 3 CD4","HEI",0.00584453941984639,0.296263346766583,5.67184712660411,0.0454426441285912,0.012363725684386,0,6153
"Naive 3 CD4","HEU",0.015173063818639,1.10033231390276,4.01024856639496,0.0407985221879444,0.0203495421879961,0.000125449220631218,1010
"Naive 3 CD4","HUU",0.00217725759435227,0.270837978060374,5.61451262803034,0.0398488690137177,0.00553399732042592,0,627
"Naive Intermediate CD8","HEI",0.00934104383226766,0.571325957849371,5.96536618072177,0.406586739203396,0.0375211889769516,0,2027
"Naive Intermediate CD8","HEU",0.0262768522100139,1.07363002668086,4.99023784421581,0.629544159220311,0.0724464496304934,0.00163228718600286,1813
"Naive Intermediate CD8","HUU",0.00436834066798339,0.30282601652409,6.24488098332062,0.437179889578717,0.024356574221926,0,343
"Non-classical Monocyte","HEI",0.198883297466094,0.521222214185036,0.129777776406512,0.107231621325228,0.0320623411295461,0.00743549820526914,1666
"Non-classical Monocyte","HEU",0.724560927555376,1.24458788955289,0.232081419344361,0.569848035029442,0.0388156212644893,0.434831436722475,293
"Non-classical Monocyte","HUU",0.0912991354587635,0.25752527882834,0.0102511946872404,0.0114357561428059,0.030850436280236,0.00747879229875689,82
"pDC","HEI",0.516983883872882,1.29374725181192,3.86469712502111,0.281080572385871,0.058026087867002,0.00322363369569299,215
"pDC","HEU",0.899196489672878,2.43546179572353,2.70072036916311,0.723641994388799,0.0349236117628084,0,53
"pDC","HUU",0.534826468389069,1.20400618504152,2.95979278931657,0.374013165146336,0,0,11
"Resting Naive B cell","HEI",0.389697132720951,1.01034815826004,2.28476615701924,0.160933146233884,0.0186557832235906,0.00010288421026028,3557
"Resting Naive B cell","HEU",1.18824989701136,1.90554691698616,0.863893193529485,0.320869718872985,0.0376816966598943,0,124
"Resting Naive B cell","HUU",0.134477277049693,0.500629490541415,2.01032837585306,0.0310222398282272,0.0335692485933889,0,286
"TEMRA/CTL CD8","HEI",0.0452182888361367,0.153215084753795,0.881354725367088,0.134365738884756,2.45114221701736,0.00575485894345077,7182
"TEMRA/CTL CD8","HEU",0.192246769681314,0.729251596710235,1.69766949755701,0.649730848693118,2.29577573745569,0.0426901201629918,66
"TEMRA/CTL CD8","HUU",0.008481547106055,0.16791241890927,1.94364058645981,0.159686658306304,0.93190019077904,0,27
"Tex CD8","HEI",0.218714827065587,0.937933606721843,1.44187916918765,0.68144912754824,0.894759805970134,0.000938843522687541,1006
"Tex CD8","HEU",0.161589292804997,1.48247158485075,4.41068130185938,0.494940367313348,0.0357221643171155,0,56
"Tex CD8","HUU",0.0234693101297364,0.631501196029983,4.17302375958767,0.876786679779117,0.200506329927008,0,12
"Th2/Th17 EM CD4","HEI",0.0584116680292729,0.79640141014343,3.92517480129728,0.199172883391395,0.0941784854072036,0.000506207667175267,3500
"Th2/Th17 EM CD4","HEU",0.167055118362046,1.91216900664542,4.10226609220122,0.26736067235459,0.203814690919013,0.000153665206576262,664
"Th2/Th17 EM CD4","HUU",0.0240271274473532,0.588765856327673,4.39530114101513,0.11159305526034,0.0280647060621379,0,286
