"Annotation","Exposure_ART","IFN_Memory","Stress","IFN_Ratio","OXPHOS","Glycolysis","Metabolic_Ratio","n"
"Activated B cell","HEU",-0.114095341861528,0.000282341752920426,-0.114377683614448,0.192071007433053,0.601856914537318,-0.409785907104264,102
"Activated B cell","HUU",-0.142810411833163,0.00252178347066806,-0.145332195303832,0.165568924205977,0.147005074405664,0.0185638498003138,146
"Activated B cell","PostART_Suppressed",0.191677394502861,0.0171110838851026,0.174566310617758,0.0131465150042675,0.0159670892819569,-0.00282057427768948,937
"Activated B cell","PostART_Unsuppressed",-0.0820975392205481,0.0267955176240731,-0.108893056844621,-0.0434526002125368,0.0410479950503355,-0.0845005952628723,94
"Activated B cell","PreART_Entry",-0.0711222917920187,0.0275288386141629,-0.0986511304061817,0.183816793852498,0.321566365669832,-0.137749571817334,599
"CD4dim Naive T cell","HEU",-0.0734021930527212,-0.0683398838230659,-0.00506230922965524,-0.110721682910087,0.592258913933974,-0.702980596844062,70
"CD4dim Naive T cell","HUU",-0.108525831271155,-0.124316508898027,0.0157906776268714,-0.0969583641052823,-0.0710601234883058,-0.0258982406169765,225
"CD4dim Naive T cell","PostART_Suppressed",0.00644207474776314,0.0999369969801054,-0.0934949222323422,-0.101258301132483,-0.0911049660561422,-0.0101533350763409,317
"CD4dim Naive T cell","PostART_Unsuppressed",0.0407460446460763,0.390243224085194,-0.349497179439117,-0.146565695599239,-0.0584339479634474,-0.088131747635792,53
"CD4dim Naive T cell","PreART_Entry",-0.0312129911121696,-0.0648115126689521,0.0335985215567825,-0.0847695503786308,0.430752415474553,-0.515521965853184,746
"CD56bright NK","HEU",-0.079228389308026,-0.0554551153831594,-0.0237732739248665,-0.0383535060404776,0.54270175321666,-0.581055259257138,270
"CD56bright NK","HUU",-0.0847990263554782,-0.122666040972735,0.0378670146172565,-0.101103085666369,-0.0725552079435568,-0.0285478777228118,87
"CD56bright NK","PostART_Suppressed",-0.0053927331400305,-0.0229353749458577,0.0175426418058272,-0.0561001557718383,0.0310973422540837,-0.087197498025922,179
"CD56bright NK","PostART_Unsuppressed",0.0123019982509389,0.0151700999428685,-0.0028681016919296,-0.0813449326925328,0.0389272521379946,-0.120272184830527,111
"CD56bright NK","PreART_Entry",-0.052460810297965,-0.0284956798510777,-0.0239651304468873,-0.0518192050726941,0.228042137989636,-0.27986134306233,605
"CD56dim CD122hi NK","HEU",-0.0822388368730183,-0.0677317757401764,-0.0145070611328419,-0.121604322191814,0.540695051671794,-0.662299373863608,1777
"CD56dim CD122hi NK","HUU",-0.0726627979012155,-0.122520816811205,0.04985801890999,-0.172290029176024,-0.0730006892630723,-0.0992893399129518,530
"CD56dim CD122hi NK","PostART_Suppressed",0.261911537798953,0.032123356121707,0.229788181677246,-0.109599478045771,0.0411079292465397,-0.150707407292311,1276
"CD56dim CD122hi NK","PostART_Unsuppressed",0.118354903725175,0.229816096606785,-0.11146119288161,-0.141170160833419,0.0225892801940252,-0.163759441027445,1307
"CD56dim CD122hi NK","PreART_Entry",-0.0064631721312681,-0.00827717148944725,0.00181399935817915,-0.114500745501371,0.345845339783981,-0.460346085285352,4122
"CD56dim CD122int NK","HEU",-0.117086243580763,-0.0905718852640145,-0.0265143583167483,-0.134473611937038,0.512539354485122,-0.64701296642216,284
"CD56dim CD122int NK","HUU",-0.0707203337270604,-0.125036838503187,0.054316504776127,-0.191778018365542,-0.0915943993488325,-0.10018361901671,150
"CD56dim CD122int NK","PostART_Suppressed",0.218694591840094,0.0200058431021261,0.198688748737967,-0.0882646038939504,0.0394292201956797,-0.12769382408963,411
"CD56dim CD122int NK","PostART_Unsuppressed",0.0891949524800079,0.158808959561516,-0.0696140070815084,-0.152594821507098,0.0135899902276111,-0.166184811734709,417
"CD56dim CD122int NK","PreART_Entry",-0.0156843470164043,-0.02784011969706,0.0121557726806557,-0.110202573392676,0.249703748389539,-0.359906321782214,1375
"CD56dim CD122lo NK","HEU",-0.088746780013187,0.00233966766999705,-0.0910864476831841,-0.099905455115646,0.489777620574362,-0.589683075690009,139
