"Module","Cluster","spearman_rho","p_value","n","p_adj"
"MS_IFN_Memory","Naive 1 CD4",-0.082,1.52117930759519e-20,12914,6.55906346608247e-20
"MS_IFN_Memory","Naive 2 CD8",-0.125,1.42950754663258e-17,4593,5.40785402075156e-17
"MS_IFN_Memory","TEMRA/CTL CD8",-0.086,3.87055115186226e-13,7182,1.22211890700533e-12
"MS_IFN_Memory","Follicular B cell",0.113,6.60673226005926e-20,6546,2.77413574479975e-19
"MS_IFN_Memory","Naive 1 CD8",-0.107,5.62408082489184e-15,5256,1.91123424642511e-14
"MS_IFN_Memory","Th2/Th17 EM CD4",-0.049,0.00410243233546771,3500,0.00638864220008757
"MS_IFN_Memory","Transitional Memory CD4",-0.2,2.5005004086884e-35,3789,1.69949265065093e-34
"MS_IFN_Memory","Transitional B cell",-0.08,7.10238163237862e-06,3127,1.41694280327554e-05
"MS_IFN_Memory","Naive 2 CD4",-0.046,3.91244953631892e-06,9907,7.84446132031944e-06
"MS_IFN_Memory","CD56dim CD122hi NK",-0.178,4.57337255113531e-49,6705,4.47298144635429e-48
"MS_IFN_Memory","Activated B cell",-0.337,1.04934165617369e-44,1630,8.95289370480107e-44
"MS_IFN_Memory","Naive Intermediate CD8",-0.152,6.5932807032819e-12,2027,1.9158735956638e-11
"MS_IFN_Memory","Resting Naive B cell",0.101,1.46991052410149e-09,3557,3.68396325102937e-09
"MS_IFN_Memory","Vd1 gd T cell",-0.064,0.00236706274064107,2266,0.00377412389263248
"MS_IFN_Memory","Non-classical Monocyte",-0.103,2.60398190831834e-05,1666,4.90233213725659e-05
"MS_IFN_Memory","CD56bright NK",0.075,0.0246751608654427,895,0.0350256265736019
"MS_IFN_Memory","Naive 3 CD4",-0.091,1.05830818912317e-12,6153,3.28977971967746e-12
"MS_IFN_Memory","Vg9Vd2 gd T cell",0.062,0.00879236298469646,1782,0.0131557371524749
"MS_IFN_Memory","Treg",-0.146,1.15568132910397e-08,1508,2.76673559982502e-08
"MS_IFN_Memory","CD4dim Naive T cell",-0.067,0.0245370396809057,1116,0.0348913223831319
"MS_IFN_Memory","CD56dim CD122int NK",-0.176,8.04834485147992e-17,2203,2.94738473556479e-16
"MS_IFN_Memory","Tscm CD8",-0.094,0.0758699609197127,354,0.100741239499354
"MS_IFN_Memory","Classical Monocyte",0.146,1.47697881929756e-11,2122,4.14173780796028e-11
"MS_IFN_Memory","CD8+ MAIT cell",-0.004,0.902162101726763,824,0.919357059192965
"MS_IFN_Memory","CD56dim CD122lo NK",-0.15,7.01015104506405e-15,2664,2.37221145069256e-14
"MS_IFN_Memory","Tex CD8",0.081,0.0102321595023531,1006,0.0151405754997919
"MS_IFN_Memory","Cytotoxic gd T cell",0.013,0.503354924443329,2845,0.561461264817176
"MS_IFN_Memory","ISG+ CD4 T cell",-0.178,4.91005633702229e-18,2331,1.92090984502043e-17
"MS_IFN_Memory","pDC",-0.107,0.118268213846653,215,0.151519341062325
"MS_IFN_Memory","Intermediate Monocyte",0.13,0.000476835050655311,722,0.000820647447694334
"MS_IFN_Memory","TNF+ B cell",-0.116,0.175035541654825,139,0.214974738755237
"MS_Stress_IFN_Acute","Naive 1 CD4",-0.05,1.07628034423768e-08,12914,2.59993022915246e-08
"MS_Stress_IFN_Acute","Naive 2 CD8",-0.085,6.60976267219455e-09,4593,1.61616758021342e-08
