"Annotation","Condition","MS_IFN_Memory","MS_Stress_IFN_Acute","MS_IFN_Signalling","MS_IFN_Negative_Reg","MS_Exhaustion","MS_Stemness_Naive","MS_Cytotoxicity","MS_Inflammatory_Chemokines","MS_Terminal_Differentiation","MS_Activation","MS_Inflammatory_Cytokines","MS_Glycolysis_Hypoxia","MS_OXPHOS","MS_Fatty_Acid_Oxidation","MS_Proliferation","MS_Apoptosis_Survival","MS_Senescence","MS_Tissue_Residency","PS_Exhaustion_Protein","PS_Activation_Protein","PS_Stemness_Protein","PS_Tissue_Residency_Protein","PS_Senescence_Protein","PS_Terminal_Diff_Protein","IFN_Ratio","Metabolic_Ratio","n_cells"
"Activated B cell","HEI",0.0793142927478711,0.0214979377833666,-0.165673427858501,-0.14774010468445,-0.112729909671799,-0.426432271009342,-0.781321981395839,-0.23956267897743,-0.207675559821529,0.675447336281605,-0.000138522910761048,0.129716519771874,0.0726012267832311,0.0403970917842264,0.0237714297451084,0.127988507644164,0.107508246947352,-0.0762115430186171,0.539418113282055,1.94982747877426,0.547073571183152,1.2599658526911,0.0275658844389357,0.00037685500196923,0.0578163549645045,-0.057115292988643,1630
"Activated B cell","HEU",-0.114095341861528,0.000282341752920426,-0.368932942962878,-0.224530181260379,-0.101685639788,-0.575996815480738,-0.791346565593772,-0.0421771240205058,-0.295511605461522,0.28818658787739,-0.0176959042471362,0.601856914537318,0.192071007433053,0.0768677674559759,0.0212432897004098,0.0265568639399702,0.0252322138129677,-0.153884344226314,0.727375252433441,3.59996983935683,0.264060708985491,2.77574879640186,0.0408711795928259,0,-0.114377683614448,-0.409785907104264,102
"Activated B cell","HUU",-0.142810411833163,0.00252178347066806,-0.423104297459085,-0.339960862252012,-0.128272631958882,-0.468196625485703,-0.817502484105485,-0.154344701295489,-0.319174294133424,0.316580275863424,-0.0431908958471392,0.147005074405664,0.165568924205977,0.12233103719706,0.0159449808482206,-0.00339574122971736,-0.0230173095824725,-0.267613864406984,0.115717079874304,1.12482227869106,0.585985402900088,0.554423520097499,0.0399217871299751,0.000286950227984276,-0.145332195303832,0.0185638498003138,146
"CD4dim Naive T cell","HEI",-0.0170996535021465,0.0035963534661025,-0.193851868620248,0.124014558891504,-0.0290442284915756,0.37012173014422,-0.638253752008075,-0.277645220763883,-0.263004852592914,-0.359637917618055,-0.0122842934184229,0.259286763854979,-0.0923879461543149,-0.0224817717577106,0.00348928016269242,-0.10893938447666,-0.101988076875833,-0.165951319299452,0.0151741566178098,0.114006942751623,3.18381917654339,0.0354754882935628,0.0268672711968496,0.00135440482423454,-0.020696006968249,-0.351674710009294,1116
"CD4dim Naive T cell","HEU",-0.0734021930527212,-0.0683398838230659,-0.314331369803183,0.252424152813579,-0.0339860112249027,0.298565456842604,-0.64514288885471,-0.278299138414747,-0.272128234975546,-0.376820385406945,-0.0146650371173043,0.592258913933974,-0.110721682910087,0.0337708397897167,-0.00508021287503678,-0.0839096898499418,-0.107040018460982,-0.122022102935117,0.0945318193489316,0.480438195762006,2.33892358948281,0.114516628093686,0.264104598285409,0,-0.00506230922965524,-0.702980596844062,70
"CD4dim Naive T cell","HUU",-0.108525831271155,-0.124316508898027,-0.378647383676403,0.00118061973117352,-0.0578182313832757,0.458564688157715,-0.712443598315713,-0.341618542309613,-0.319326523569931,-0.519585771009056,-0.033908180153608,-0.0710601234883058,-0.0969583641052823,0.00946109482174158,0.0109194689625669,-0.122043273354587,-0.0827034567454584,-0.253042516569476,0.00224460569635031,0.0424969496900035,3.95165132417109,0.00759750621868825,0.00502724621944442,0,0.0157906776268714,-0.0258982406169765,225
"CD56bright NK","HEI",-0.0350151593927152,-0.0219680864039689,-0.18001359337052,-0.1448342937007,0.0766076708139081,-0.401297937002406,1.48275371340447,0.438702079010173,0.0754114766031521,-0.202321202298983,-0.00541875698474437,0.165198706965953,-0.0563372452301789,0.00521123023461282,0.0219931048715473,-0.085808643023729,-0.121812651573487,0.00659706900564502,0.0689806412950011,0.220155540699567,2.38954079924668,0.547975047390722,0.103910107549223,0.00241347179915651,-0.0130470729887463,-0.221535952196132,895
"CD56bright NK","HEU",-0.079228389308026,-0.0554551153831594,-0.364268498025018,-0.158403800779027,0.0170381940698813,-0.51400950340789,1.2948490018924,0.853621156062712,0.0213422037447079,-0.330412516833559,-0.0125046864863181,0.54270175321666,-0.0383535060404776,0.033491377067635,0.0270285867017661,-0.0717382420017228,-0.128863177266987,-0.00484328767399741,0.149099727937074,0.363030549168532,0.74378513826259,1.02875709699826,0.126879237264232,0.000511693418137376,-0.0237732739248665,-0.581055259257138,270
"CD56bright NK","HUU",-0.0847990263554782,-0.122666040972735,-0.331523209877731,-0.293327363599,0.0735309049432542,-0.461235998238237,1.16492716012682,0.620892446987452,0.0981561932012258,-0.314721068771405,-0.0410095368782215,-0.0725552079435568,-0.101103085666369,0.0353409057786234,-0.011434201345073,-0.105588796058294,-0.141315962569889,0.0524489145692707,0.0140657248432684,0.0937486024109327,1.13392611015604,0.83441512683244,0.0194584382938836,0,0.0378670146172565,-0.0285478777228118,87
"CD56dim CD122hi NK","HEI",0.0689407585197883,0.0458226010137009,-0.0340827365678614,-0.199993024280876,0.166419921691739,-0.731802114043653,1.84805344236557,0.615411893048108,0.375805646356014,-0.19376415445027,-0.0120528761640314,0.224840029458874,-0.11876665281914,0.00846885068691492,0.00276496361677304,-0.0672502538383204,-0.0877339812509006,0.0250842617767936,0.0745500269252581,0.696501793459425,0.7674704624405,0.294654678071966,0.262650661772551,0.0805583016810754,0.0231181575060874,-0.343606682278014,6705
