"Module","Cluster","n_cells","spearman_rho","p_value","mean_RNA","mean_Protein","p_adj","concordant"
"Exhaustion","Naive 1 CD8",6726,-0.026,0.0316576877086569,-0.0722,0.0096,0.0467327770937317,"Weak"
"Exhaustion","Naive Intermediate CD8",4183,0.026,0.0937070004331393,-0.065,0.0163,0.121038208892805,"Weak"
"Exhaustion","Naive 3 CD4",7790,0.006,0.608327511829786,-0.0633,0.0068,0.643332792001653,"Weak"
"Exhaustion","Th2/Th17 EM CD4",4450,0.254,1.77705956986393e-66,0.0234,0.0724,1.6202601960524e-65,"Yes"
"Exhaustion","CD56dim CD122hi NK",9012,0.055,2.09718621324935e-07,0.1587,0.1148,4.71107047903841e-07,"Weak"
"Exhaustion","Classical Monocyte",3044,0.102,1.61981969229961e-08,-0.0674,0.6531,3.92300081728812e-08,"Weak"
"Exhaustion","Naive 1 CD4",17584,0.004,0.557910318880026,-0.0625,0.0103,0.604727968016811,"Weak"
"Exhaustion","Naive 2 CD4",11558,0.008,0.405216968793979,-0.057,0.0067,0.468721120619901,"Weak"
"Exhaustion","CD8+ MAIT cell",1084,0.093,0.00209220579249222,-0.0549,0.0298,0.00341359892459257,"Weak"
"Exhaustion","Transitional Memory CD4",5344,0.013,0.340007427213971,-0.055,0.018,0.39624925727944,"Weak"
"Exhaustion","Treg",2016,0.389,8.24500167322905e-74,0.1893,0.2957,8.51983506233668e-73,"Yes"
"Exhaustion","Tscm CD8",547,0.067,0.117179165679004,-0.0698,0.0164,0.14766480227842,"Weak"
"Exhaustion","pDC",279,0.433,3.50470900635543e-14,-0.1199,0.5903,1.0651566587943e-13,"Weak"
"Exhaustion","Activated B cell",1878,0.224,1.02027601829493e-22,-0.1133,0.5167,3.76530435323128e-22,"Weak"
"Exhaustion","Naive 2 CD8",5824,0.02,0.126145175276865,-0.0633,0.0078,0.156420017343312,"Weak"
"Exhaustion","TEMRA/CTL CD8",7275,0.138,3.15619860314343e-32,0.177,0.0464,1.43885524555068e-31,"Yes"
"Exhaustion","Follicular B cell",7615,0.061,8.28923116735645e-08,-0.1143,0.4615,1.9467133802125e-07,"Weak"
"Exhaustion","ISG+ CD4 T cell",2441,0.007,0.738567222966079,-0.0649,0.0149,0.753144207629883,"Weak"
"Exhaustion","Transitional B cell",3592,0.009,0.59566593141077,-0.1244,0.0916,0.639317995163421,"Weak"
