"Annotation","Timepoint_Group","MS_IFN_Memory","MS_Stress_IFN_Acute","MS_IFN_Signalling","MS_IFN_Negative_Reg","MS_Exhaustion","MS_Stemness_Naive","MS_Cytotoxicity","MS_Inflammatory_Chemokines","MS_Terminal_Differentiation","MS_Activation","MS_Inflammatory_Cytokines","MS_Glycolysis_Hypoxia","MS_OXPHOS","MS_Fatty_Acid_Oxidation","MS_Proliferation","MS_Apoptosis_Survival","MS_Senescence","MS_Tissue_Residency","PS_Exhaustion_Protein","PS_Activation_Protein","PS_Stemness_Protein","PS_Tissue_Residency_Protein","PS_Senescence_Protein","PS_Terminal_Diff_Protein","IFN_Ratio","Metabolic_Ratio","n_cells"
"Activated B cell","PostART_Suppressed",0.191677394502861,0.0171110838851026,-0.0789328150538031,-0.106008692525717,-0.111943564245272,-0.373371846767699,-0.746509649204366,-0.275118111393173,-0.160207759471109,0.897423947675992,0.0137681716218809,0.0159670892819569,0.0131465150042675,-0.00231006069606139,0.0233516067383961,0.197620365292622,0.16960108026333,0.00454797085389656,0.737351876321443,2.09630131918124,0.374636743520683,1.46007600355411,0.03106484125633,0,0.174566310617758,-0.00282057427768948,937
"Activated B cell","PostART_Unsuppressed",-0.0820975392205481,0.0267955176240731,-0.405144803531147,-0.153065247126616,-0.0866722340029873,-0.269346476190026,-0.782121383893996,-0.261391903354657,-0.115145775381406,0.729434399381671,0.00986822701456945,0.0410479950503355,-0.0434526002125368,0.0391989160088071,0.0117076616529734,0.172653852653116,0.053028354367105,-0.0128049204481058,0.773555239428414,2.06650163465862,1.06834946203488,0.849475841923921,0.0844214985312588,0.00115779551981406,-0.108893056844621,-0.0845005952628723,94
"Activated B cell","PreART_Entry",-0.0711222917920187,0.0275288386141629,-0.263779679752948,-0.212183793838321,-0.118049153707732,-0.534084495095212,-0.835652551393473,-0.180518626782088,-0.296448729547263,0.319743047787536,-0.0234627420594532,0.321566365669832,0.183816793852498,0.107390798623824,0.0263212934478631,0.012055964994003,0.0189274874907123,-0.212491821850292,0.193052794708325,1.70239282248968,0.735009086675092,1.01135625278035,0.0131703080406437,0.000843807803584847,-0.0986511304061817,-0.137749571817334,599
"CD4dim Naive T cell","PostART_Suppressed",0.00644207474776314,0.0999369969801054,-0.202712173621455,0.0802584295571062,-0.0403356572607745,0.380151565617581,-0.620441802265302,-0.252115547190322,-0.228779117725526,-0.343357608742909,-0.0233743146573323,-0.0911049660561422,-0.101258301132483,-0.0431283527309855,0.00864477661684769,-0.105746591659402,-0.110987606387768,-0.147941660209092,0.0179247175346272,0.0518063563622429,2.44916683440966,0.0506778779617993,0.0240684936215894,0.000781755741988347,-0.0934949222323422,-0.0101533350763409,317
"CD4dim Naive T cell","PostART_Unsuppressed",0.0407460446460763,0.390243224085194,-0.233045346230422,0.231285702510856,0.0871889846571918,0.245801334000183,-0.314005589113624,0.00594772671376579,-0.108640677827474,-0.12917966310637,0.0228055011112823,-0.0584339479634474,-0.146565695599239,-0.0604349035257107,-0.00636407413557594,-0.0694373111143232,-0.110010691567094,-0.0650088206459516,0.0481391439129532,0.0797565501899916,2.13302943478996,0.0474750627315936,0.162870599309493,0.0189152939087385,-0.349497179439117,-0.088131747635792,53
"CD4dim Naive T cell","PreART_Entry",-0.0312129911121696,-0.0648115126689521,-0.187302309640728,0.134986840911851,-0.0325039836886916,0.374692136512287,-0.668859034450253,-0.308641645347172,-0.288515387734375,-0.382928997246125,-0.0100647523692809,0.430752415474553,-0.0847695503786308,-0.0110119565402412,0.00199857694800208,-0.113102555001156,-0.0975939087338486,-0.180775735331998,0.0116633360584617,0.142871361908728,3.57065114540307,0.028162974928889,0.0183941292416048,0.000350118815646523,0.0335985215567825,-0.515521965853184,746
"CD56bright NK","PostART_Suppressed",-0.0053927331400305,-0.0229353749458577,-0.139199066528172,-0.106303059659542,0.0133145887493747,-0.238890560394903,0.977497358775261,0.262887244875703,-0.0335830856571975,-0.254949633825131,-0.0217003801844887,0.0310973422540837,-0.0561001557718383,-0.0446729781769635,-0.00082050976241571,-0.0612029843650837,-0.113627622723811,-0.0331923606678057,0.0106312786963453,0.0583022801115648,2.26619274632818,0.276066317904098,0.165854822322054,0,0.0175426418058272,-0.087197498025922,179
"CD56bright NK","PostART_Unsuppressed",0.0123019982509389,0.0151700999428685,-0.12879756849955,-0.130155117683941,0.0784585990140845,-0.320286026880236,1.40867142986382,0.184945972693343,0.120021973150102,-0.144466613280969,-0.0316634455852046,0.0389272521379946,-0.0813449326925328,-0.00205428584838299,-0.0131152147379859,-0.116114345765788,-0.126367819366352,0.0733459158838303,0.0840385288277315,0.176217128312906,4.00459125817501,0.353262674187265,0.26085214102114,0.00363649279677148,-0.0028681016919296,-0.120272184830527,111
"CD56bright NK","PreART_Entry",-0.052460810297965,-0.0284956798510777,-0.201485955462186,-0.158927648132481,0.0949944619863575,-0.464212387310346,1.64583473977082,0.537276927127922,0.0994747187980135,-0.197364789303643,0.00421359175476856,0.228042137989636,-0.0518192050726941,0.0213033717071495,0.0351842792453285,-0.0875284445039422,-0.123398596266188,0.0061229961264204,0.0834816502024826,0.276104131476711,2.12972046954646,0.664148164752192,0.0567883395166291,0.00290315133851809,-0.0239651304468873,-0.27986134306233,605
"CD56dim CD122hi NK","PostART_Suppressed",0.261911537798953,0.032123356121707,-0.0309533153900518,-0.125322962528651,0.135957776582986,-0.609726669074489,1.81577600643337,0.499544743347618,0.371288828107186,-0.0921945956643736,-0.00237000224314877,0.0411079292465397,-0.109599478045771,-0.011368020411474,0.0104777763741301,-0.0239703268717043,-0.0844704297171196,0.0752071999910211,0.024749650447901,0.486453085566896,0.706281501427793,0.212289066814971,0.399458231356043,2.49090190284679e-05,0.229788181677246,-0.150707407292311,1276
"CD56dim CD122hi NK","PostART_Unsuppressed",0.118354903725175,0.229816096606785,0.00351422152120857,-0.181364359881426,0.220238882310578,-0.688285539230663,1.84104374967675,0.566930853998244,0.513550250162571,-0.032134164672096,-0.0258332066544455,0.0225892801940252,-0.141170160833419,-0.00620285139858323,-0.00641778269721861,-0.0641051421918593,-0.104112310627101,0.081053893493789,0.0654819619937821,0.460126082656382,1.1906539000266,0.0741996910499315,0.50580536486485,0.000326172067184598,-0.11146119288161,-0.163759441027445,1307
"CD56dim CD122hi NK","PreART_Entry",-0.0064631721312681,-0.00827717148944725,-0.0469726845652654,-0.229014534025156,0.158784869685418,-0.783389797464622,1.86026782290748,0.66665187389624,0.333527932360462,-0.276455361061352,-0.0106808371470676,0.345845339783981,-0.114500745501371,0.0192616120035792,0.00328905395010626,-0.0816451708037078,-0.0835510155212574,-0.00817851789702187,0.0928414488686222,0.836473944184909,0.652229405023513,0.390053316597373,0.143201448834615,0.130928025708763,0.00181399935817915,-0.460346085285352,4122
"CD56dim CD122int NK","PostART_Suppressed",0.218694591840094,0.0200058431021261,-0.0800666203522201,-0.174913350086792,0.160090889844638,-0.717717571879148,2.13114765150597,0.521598860493749,0.465181263173053,-0.140005873366581,-0.0101006172984494,0.0394292201956797,-0.0882646038939504,-0.0249844284605672,-0.00298303605386227,-0.0638357437772293,-0.106276490603193,0.0817873568846679,0.0270078938249815,0.319544026345733,0.739760838752327,0.168578437647726,1.04348527872138,0,0.198688748737967,-0.12769382408963,411
"CD56dim CD122int NK","PostART_Unsuppressed",0.0891949524800079,0.158808959561516,-0.0296920280617213,-0.203884964587866,0.251352852225804,-0.764807936128882,1.99402674432233,0.573580807987184,0.567652280257494,-0.123592979579667,-0.0255217290476464,0.0135899902276111,-0.152594821507098,-0.0148994082435027,-0.00149037403389715,-0.0811981769258305,-0.0883602473964019,0.0771112316575901,0.0473711714856414,0.264680648773705,0.814107778502802,0.0478885183634287,1.25182799002969,0,-0.0696140070815084,-0.166184811734709,417
"CD56dim CD122int NK","PreART_Entry",-0.0156843470164043,-0.02784011969706,-0.0826560973573754,-0.269552816246046,0.178064865627941,-0.80347873060194,2.22473826229929,0.740708570399621,0.483089826732303,-0.261838768302328,-0.0148527325656271,0.249703748389539,-0.110202573392676,0.0258239061324258,-0.00540634989162639,-0.0791627257587953,-0.0957142679370824,-0.0019941160199113,0.0529887808659999,0.590736039957315,0.356075603641114,0.210120891180202,0.29733273837873,0.136154647571304,0.0121557726806557,-0.359906321782214,1375
"CD56dim CD122lo NK","PostART_Suppressed",0.198278206670656,0.102451855790499,-0.00542695980858368,-0.142486298852611,0.165681727248796,-0.625305996485531,1.77277106708874,0.551744438279573,0.417447014322342,-0.235640139915009,-0.0146839651835774,-0.0277392899910739,-0.115530972919067,-0.00320814618211909,0.00302948620539427,-0.0586607573402588,-0.0963959305183901,0.0618908848475757,0.0122773369330325,0.0927194846976688,0.417871863443661,0.0608891937463616,0.368161749050498,8.8932538816508e-05,0.0958263508801568,-0.0877916829279931,791
"CD56dim CD122lo NK","PostART_Unsuppressed",0.0535258309391828,0.265332923763982,-0.069229659354181,-0.144573334636409,0.233014254894376,-0.711220901039311,2.08382137577962,0.621112049274056,0.603604130144872,-0.135748773008359,-0.00929716166316681,0.00650293311415549,-0.142839870214917,0.00223365229010639,-0.00650779151821358,-0.0627508179371161,-0.097254668241195,0.0993697372519291,0.0231618065213643,0.0950925153016081,0.329556906781948,0.0194351510890406,0.7757866045106,0.00594875309349543,-0.211807092824799,-0.149342803329073,418
