"signature","gene","in_CP003","in_CP018"
"Stemness","TCF7",TRUE,TRUE
"Stemness","LEF1",TRUE,TRUE
"Stemness","SELL",TRUE,TRUE
"Stemness","CCR7",TRUE,TRUE
"Stemness","IL7R",TRUE,TRUE
"Stemness","ID3",TRUE,TRUE
"Stemness","BACH2",TRUE,TRUE
"Exhaustion","TOX",TRUE,TRUE
"Exhaustion","PDCD1",TRUE,TRUE
"Exhaustion","HAVCR2",TRUE,TRUE
"Exhaustion","LAG3",TRUE,TRUE
"Exhaustion","TIGIT",TRUE,TRUE
"Exhaustion","CTLA4",TRUE,TRUE
"Exhaustion","ENTPD1",TRUE,TRUE
"Cytotoxicity","GZMB",TRUE,TRUE
"Cytotoxicity","GNLY",TRUE,TRUE
"Cytotoxicity","PRF1",TRUE,TRUE
"Cytotoxicity","NKG7",TRUE,TRUE
"Cytotoxicity","GZMH",TRUE,TRUE
"Cytotoxicity","FGFBP2",TRUE,TRUE
"Cytotoxicity","KLRG1",TRUE,TRUE
"IFN_I","IFIT1",TRUE,TRUE
"IFN_I","IFIT3",TRUE,TRUE
"IFN_I","ISG15",TRUE,TRUE
"IFN_I","MX1",TRUE,TRUE
"IFN_I","OAS1",TRUE,TRUE
"IFN_I","STAT1",TRUE,TRUE
"IFN_I","IFI6",TRUE,TRUE
"Activation","CD38",TRUE,TRUE
"Activation","HLA-DRA",TRUE,TRUE
"Activation","MKI67",TRUE,TRUE
"Activation","TNFRSF9",TRUE,TRUE
"Activation","IL2RA",TRUE,TRUE
