"signature","n_CP003","n_CP018","mean_CP003","mean_CP018","difference","wilcox_p","wilcox_p_BH"
"Activation",1515,311,0.5726,0.4972,-0.0754,0.0011265048029081,0.0011265048029081
"Cytotoxicity",1515,311,1.1452,1.0044,-0.1408,2.60510613381282e-05,3.25638266726602e-05
"Exhaustion",1515,311,0.5849,0.4561,-0.1288,3.06288328033588e-12,7.65720820083970e-12
"IFN_I",1515,311,0.412,0.3062,-0.1058,1.27513080538932e-07,2.12521800898221e-07
"Stemness",1515,311,0.7037,1.046,0.3423,1.33048651758871e-14,6.65243258794355e-14
