"signature","participant","n","mean","median","sd"
"Activation","CP003",4032,0.3256,0.1722,0.3889
"Activation","CP018",5129,0.1439,0,0.2635
"Cytotoxicity","CP003",4032,0.7129,0.3822,0.7034
"Cytotoxicity","CP018",5129,0.3423,0.1116,0.5727
"Exhaustion","CP003",4032,0.3404,0.2335,0.3455
"Exhaustion","CP018",5129,0.1372,0,0.2147
"IFN_I","CP003",4032,0.3286,0.2724,0.2591
"IFN_I","CP018",5129,0.4042,0.386,0.2301
"Stemness","CP003",4032,1.0525,1.1634,0.6016
"Stemness","CP018",5129,1.337,1.4617,0.5121
