gene,avg_log2FC,padj
FP236383.3,-2.80894178603636,0
AC138123.1,-2.90714223885598,0
FP671120.4,-2.7414490219325,0
ENSG00000257322,14.5528773500479,0
LSP1,-1.21104700918519,0
APOO,0.651981039793106,0
GNAS,-1.06766684570303,0
RBFOX2,1.51724821106502,0
MT-CYB,0.749850821687315,0
B2M,-0.58772553154181,0
GAREM1,-3.92778992147409,4.37512499965837e-293
PLAC8,-1.4942056281949,6.29805162001534e-255
UBC,0.872819916768144,7.57640227355505e-251
MT-ND1,0.697102474917035,1.07372536496782e-238
ENSG00000257732,10.228323877995,9.57459343077204e-211
TSC22D3,1.45534784414705,9.536014008540778e-203
CALM2,0.808394405110431,2.8475209460028796e-184
TUBB4B,1.61952139811812,1.16556534926939e-169
PSMB9,-0.927059586273269,5.2577172524390195e-167
DDIT4,-1.48219808070114,5.36434936396394e-165
KLF2,0.631397493136149,1.9181003278351497e-159
STAT1,-0.991903009435646,1.3211458760639799e-145
GBP2,-0.749653141280958,2.1249734407168397e-144
CD96,-0.925812539393023,7.05976877136699e-142
ENSG00000290569,7.58213936384645,9.073459115118851e-142
MT-ND2,0.613284082668598,1.62399616573535e-120
ENSG00000279168,6.76782213594047,1.28487648209476e-119
RHOH,-0.719766790776822,1.0303654095521e-113
ENSG00000289474,7.54628006685848,2.3480148134801797e-112
GIMAP4,-1.00118804786816,1.6288210146447702e-110
GRK2,-1.19705041751302,2.061236450175e-108
GBP5,-2.07638712222072,2.3942611310946393e-107
ENSG00000284977,8.28919132945555,1.22534163123834e-106
PNISR,-0.774270456332322,1.05654214639759e-105
TUBB2A,5.35338116672238,2.26380620589754e-105
HNRNPC,-0.713649243161963,2.0950489480827397e-104
GBP1,-1.21695215773029,2.1461309438363797e-104
BHLHE40,-1.5413715638561,2.5673162125003095e-100
TUBA1A,1.00570965393706,1.46881803320866e-99
PLEKHA7,-2.02450169576189,7.642260056065459e-98
CDC42,0.686560081591452,5.711243941998029e-97
STAMBPL1,-1.89917044693841,2.1439398089998595e-95
SLC2A3,-0.63509683087935,3.0300310411327396e-92
NAMPT,-1.27426208055421,5.23838178931887e-91
RPS10-NUDT3,-2.33816930929421,2.8033475590007096e-89
PSMB8,-0.623740861309276,3.574220897295839e-89
TNFRSF14,-0.709577032894691,5.22016096025776e-88
RNASET2,-1.13813342086356,1.5637691547998697e-87
ENSG00000289603,5.96559710973219,1.6127546836904198e-87
U2AF1L5,-5.53229774435764,2.5918778465239597e-84
ITGB3BP,-2.37797202257731,9.64788494356565e-83
AC093512.2,-3.54529987449497,2.3778683275031e-81
IER2,0.720600303641085,7.36954658912024e-81
MYC,-0.860879402146885,1.3865609567165702e-79
AC089983.1,-3.26974173786246,2.44941600066608e-79
AL137857.1,-6.2612244799422,2.84296757536312e-78
AC105052.4,-3.28904963829431,5.042578678641639e-75
JAK3,-1.14043018178226,2.31727312592769e-73
RARA,1.5267588876651501,8.495781751014149e-71
LFNG,1.23677004147835,2.33596197649244e-69
MT1X,1.45310629775044,2.5675212824761497e-69
NDUFB4,-0.626081054386406,4.82240276679443e-69
ARGLU1,-0.673176943108006,2.8144086298590402e-68
