gene,avg_log2FC,padj
RPL13A,0.619358938998635,4.6286892332045294e-166
ZFP36L2,-0.909899179277879,2.6247097548094e-156
PDCD4,1.26664899824835,1.1891222763511098e-148
ITK,1.51868118688717,1.0099036539940098e-117
FAAH2,1.54674185424767,6.61529470855748e-90
JUNB,1.17387202765354,1.2285198078834099e-82
IKZF1,0.848359433007327,4.07359623472071e-79
SNRPD3,0.616322814281569,1.97468266519265e-74
FKBP5,1.47912805125551,1.84212115194834e-65
ARID5B,1.46498231397322,1.03224111626503e-63
CDC42SE2,0.674901185338435,1.75297498413479e-59
SFMBT2,1.66840483373468,4.5035937713534105e-52
UBXN1,-0.686139429367658,3.26992823248903e-51
STK17B,0.877153540986641,1.03584021384619e-48
SOCS3,1.36947783347988,1.27263576285898e-48
RAPGEF6,0.743638495132243,6.9184518579999805e-46
RPL41,0.87235720104233,3.5421597676793497e-44
ACTB,-0.867433589820261,9.557333227616188e-44
ETV6,1.39505401367998,1.8673997754459897e-43
AFF1,1.42138404724371,3.784673875425259e-43
ADK,0.976544039801834,3.0615696696815697e-42
RPS4X,-0.699834309134338,6.2849164166155e-40
GATD3A,-8.01447943335102,1.78509000832145e-39
NFKBIZ,1.66545309828346,1.80262041802761e-39
HMGB1,0.64637147212675,2.09068199511033e-39
GBP4,0.906622960948009,3.90749231163457e-39
HIF1A-AS3,1.08511958670889,6.23989433525011e-39
C1orf112,0.630867879263617,2.97380848589085e-38
EPSTI1,1.11026575746207,3.87373588029579e-38
BAZ1A,1.20461830344233,1.18340182477087e-37
FOXP1,0.634205488497694,1.53979312075609e-36
CBLB,0.937686712408836,1.72248275366402e-36
HSP90AA1,0.944534581456616,1.7294577126580298e-35
SPTBN1,1.19569151764943,3.4519568399836797e-34
TSPO,-0.954137142819269,7.04872441750725e-33
PRKCQ,0.794169817757081,1.42859708957637e-32
SBNO2,1.38619571750595,1.5671268183739698e-31
PPP6R3,1.03124161604575,1.99341271420592e-29
ASH1L,0.893078561029998,2.53474656983224e-29
PTPRCAP,-2.04105565589989,4.34436971886946e-29
ADAR,0.953167004185144,6.807111743378569e-29
UBE2D2,-0.635484379311702,7.233317377532399e-29
ARHGEF3,0.82376183380276,1.00176141527146e-28
CYTIP,1.03605563121993,1.00611762674276e-28
HERPUD1,-0.741154932725486,1.87860538774878e-28
ANKRD17,1.00394999112577,3.19422233973016e-28
RASA3,0.755595106437563,1.70648705744222e-27
SNHG29,-0.58900538611746,3.13358599368661e-27
CYLD,0.604331669209323,6.80355464258733e-27
ARHGAP25,0.90484153575021,1.56864115284187e-26
PLCL2,0.671956781253764,2.92387284714704e-26
HINT1,-0.581714990472193,5.30606107961639e-26
SRSF2,0.780675253563125,5.66045552542987e-26
TBC1D22A,0.96238441280832,2.9149638826418397e-25
TNIK,0.802780962865478,1.5783896962768e-23
BTG2,1.11535306010782,1.68119974184885e-23
PDE4D,1.11401678533897,1.8194296118557198e-23
EIF5,-1.06669615701582,5.2171685465424894e-23
DDX21,0.777131095667208,6.20519162244997e-23
SERPINB1,1.42088260578811,8.545926035210069e-23
ATP5F1D,-0.660553652108474,9.143524451240049e-23
TLK1,0.899122033871211,9.67107480815489e-23
LY6E,-0.808075501789272,1.83136078480993e-22
DDT,-1.20572536926509,3.01854594187441e-22
GUK1,-0.585355788318327,4.38088935257697e-22
VPS13B,0.894169393597765,1.11801805342273e-21
MYH9,0.912565649415961,1.92144792067281e-21
RASA1,1.25350233278017,3.06835419570723e-21
MED13L,0.912891750164431,3.8466113882392604e-21
RABGAP1L,0.609665917815572,5.74338705444014e-21
NLRC5,0.862384292036774,7.38962497518364e-21
FAS,1.80890710746736,1.02565656700455e-20
TRIP12,1.08060139463115,1.76993072589712e-20
TNRC6B,0.711568776942547,3.37336924340896e-20
MCL1,0.78260698775001,1.10419557634954e-19
CUTA,-0.787374522022319,1.40118687370766e-19
MSN,0.718910358669809,1.70208960543235e-19
TOMM20,-0.582101090369724,3.9841159869477396e-19
VDAC2,-0.596535206921511,6.058330505491319e-19
SS18,1.28959714024597,1.0632814230192001e-18
HIF1A,1.10052930088656,1.12164109202744e-18
PTPN1,0.841349290908816,1.19078435030562e-18
MKLN1,0.707791788130007,1.1989590377631098e-18
LINS1,0.734895644921641,1.6321888853553699e-18
ELMO1,0.600085501688252,4.79610898362508e-18
FTX,0.621033700747194,7.024787060214409e-18
IL6ST,0.652886767045358,1.52367712666138e-17
FAM153CP,-0.898877910786946,1.59630801414579e-17
SERPINB9,1.39640549951033,1.94481991873945e-17
TUT4,0.618342483592939,2.5862008014463502e-17
NEAT1,1.24724890687297,3.56599218162775e-17
SOCS1,1.0946218320396,1.18355534278417e-16
NFAT5,1.02383096293845,1.3339629142600499e-16
HDGFL3,1.37531409262689,1.9999990006087799e-16
TM9SF3,1.0470453228217,2.44925592703126e-16
PCGF5,0.988318897830239,3.33630933916407e-16
ATP9B,0.844502058401799,3.43254597046437e-16
NFKB1,0.902465593038881,3.88547289353195e-16
FBXL17,0.752651136017049,4.39247636315847e-16
SPIDR,0.932914525967952,1.0771938143135202e-15
NOG,-0.692193457321707,1.5964350988290701e-15
KLHL5,0.875855084183644,2.5998661087367e-15
MEF2A,0.730502441265249,4.283910737057541e-15
CCDC144A,-1.82824718146002,5.6967678236585e-15
ID2,0.828208946472222,6.943050252011551e-15
NOP16,0.737813761106666,8.7798077409335e-15
ITGA4,0.610739362278362,1.9248178704791102e-14
UTY,2.42598831727454,2.1225481966024402e-14
VPS54,1.1104229055322,5.62671573047776e-14
ESYT2,0.655420074142781,6.81559560789745e-14
PICALM,0.894857876150701,8.04832119003614e-14
