gene,avg_log2FC_unsup,padj_unsup,avg_log2FC_supp,padj_supp
H3-3B,5.11173321611889,0,4.76990801095262,0
H3-3A,4.64291470376852,0,4.60380115411533,0
H3F3B,-13.4032797340618,0,-3.82649748426412,0
TALAM1,4.7521964070339,0,4.2713994044457,0
H3F3A,-12.8068550986494,0,-3.11627079575777,0
LINC01578,-12.5993515440222,0,-4.4088513747211,0
HIST1H4C,-11.9096107201703,0,-3.79907516830973,0
H1FX,-12.5213259031062,0,-5.23277343558845,0
IGFBP2,-9.23037265045247,0,-10.6464585159476,0
TPI1,-3.71455440850903,0,-3.71791472153246,0
AL138963.4,-11.4791706401082,0,-7.16629089329371,0
ALDOA,-2.62477994039854,0,-2.27970822273889,0
RPS10,3.49994307761683,0,3.77206544115526,0
ENO1,-2.99977179292243,0,-3.12672062359544,0
MTRNR2L12,-13.2809264668077,0,-10.3604982520619,0
GAPDH,-3.14600875347199,0,-3.12053228677662,0
MIF,-2.3478308720623,0,-2.56717227596831,0
GPI,-3.74802643261391,1.47094414080493e-293,-3.80559130665963,0
FTL,-1.37384759471144,2.34964465577332e-293,-0.964160230053083,0
H2AFZ,-11.6380594065291,3.10431563746482e-293,-3.79842868816482,0
PGK1,-2.68786721697353,3.30197072551989e-293,-2.84731500447354,0
ATP5MD,-11.5658251508865,4.83976430100652e-293,-3.76976485313062,0
ENSG00000289901,5.38717077988256,6.74653679208181e-293,4.99770001327443,0
PKM,-2.18118608541263,2.01670389007072e-290,-2.46075410631748,0
CHASERR,4.67781466599372,4.61836973748308e-261,4.8984703871857,0
DARS,-11.4448410789695,7.811960000522189e-249,-4.39069027193901,0
FTH1,1.66721769810483,6.62738469968021e-246,1.58055886587513,0
ENSG00000273149,4.85752862990281,3.1788692587108598e-245,3.00825956531598,1.6950519913387097e-205
SEPTIN9,-2.22905933925797,1.2619431866592198e-226,-2.18555738266737,0
LDHA,-1.78602206476263,1.0087983052941997e-224,-2.03972920875883,0
HIST1H1E,-11.3066507229192,2.00813279704265e-216,-5.01134822894051,0
VEGFB,-2.59716334461084,6.201027347610149e-216,-3.06790136852385,0
PCBP1,-1.30737153991784,1.06935576707354e-214,-0.845406682838804,0
BNIP3L,-2.45622452151959,5.105472359161049e-213,-2.36933435087106,0
BNIP3,-3.2802762497657,8.561895653830209e-210,-3.22614039630393,0
MATR3,4.58109682953932,8.371710775721219e-206,4.36302789431149,0
ATP5MK,4.5492276714015,8.481633324223059e-206,4.33918709129149,0
H2AZ1,5.00331759979541,2.1417342118662798e-204,5.02245045610167,0
H4C3,4.83842147797059,4.694490690949099e-200,4.97323107159403,0
MBNL1,1.23576887381036,1.41033365789297e-192,0.851896762644764,3.4933387805559704e-180
CRIP1,2.36553111729478,1.48960521575137e-189,2.59909786934481,0
ATP5MPL,-10.9804547001679,9.303893727150641e-189,-3.41771602555655,0
RASGEF1B,3.75995929481983,2.0933985686042897e-184,2.26512462058821,7.8050090830114285e-118
SLC9A3R1,-10.8684680810435,4.9973539356899294e-182,-3.6520174157669,0
GYPC,-1.77609088582192,3.6968355138582597e-177,-1.32445357377434,0
H2AFV,-10.6248033545898,5.0990061971447596e-172,-3.59687061970491,2.77247241988276e-293
C9orf16,-10.9047281878879,3.06926694310005e-167,-3.35146757547427,6.42119717050034e-280
U2AF1,3.07572226054751,2.1658054568231798e-159,3.11713450565203,0
BACH2,1.59173982165898,8.234383713024319e-158,1.66243375175019,0
SARS,-10.2763534285057,2.18375983355387e-155,-3.6820624039789,2.3586353535332798e-244
CALHM6,-4.32797676447365,1.23857789329185e-152,-4.0971041654666696,0
PYURF,-10.3515270561477,9.297082380440129e-152,-3.25714606197935,6.998342138965099e-221
SSH2,1.57554190666168,3.3323555731013195e-151,1.14660340136121,2.18665935874062e-187
H2AZ2,4.66403582819674,4.4126657047227893e-150,4.79956541719907,0
AC008105.3,-9.98328995047867,6.052883032984019e-149,-4.03153258398339,1.0181487558172197e-217
RAC2,-0.980533779724462,2.3871220539297897e-148,-0.979204259338336,5.42673800341692e-293
ZNRD1,-10.044382172917,2.77377877435603e-147,-3.28203802640669,2.51727814883879e-202
P4HA1,-3.28298742210371,2.9114707406843096e-146,-3.96696243665918,0
FAM49B,-10.3382418995398,1.0727278037103499e-145,-3.95117894516129,2.47327161816256e-262
MIR210HG,-7.70224797761243,1.33237443403469e-144,-7.25140753774214,0
ARID5A,2.07515860847658,1.4713517676684197e-139,1.28386704943661,4.23579038949996e-143
