"Cluster","PID","Proportion"
"Effector CD8","CP002",0.170772676371781
"KIR+ innate-like CD8","CP002",0.00111982082866741
"MAIT-like Trm","CP002",0.00279955207166853
"Naïve CD8","CP002",0.506718924972004
"Naïve CD8 (innate-like)","CP002",0.055431131019037
"Naïve CD8 (post-ART)","CP002",0.00895856662933931
"Naïve-like TRDV1+ γδ","CP002",0.0173572228443449
"Terminal TEMRA CD8","CP002",0.188689809630459
"Transitional Tem CD8","CP002",0.0257558790593505
"TRDV1+ γδ T cell","CP002",0.0167973124300112
"Vγ9Vδ2 γδ T cell","CP002",0.00559910414333707
"Effector CD8","CP003",0.17240023589542
"KIR+ innate-like CD8","CP003",0.0163160998623943
"MAIT-like Trm","CP003",0.00452132887753096
"Naïve CD8","CP003",0.256929427953607
"Naïve CD8 (innate-like)","CP003",0.052486730882642
"Naïve CD8 (post-ART)","CP003",0.0819736583448005
"Naïve-like TRDV1+ γδ","CP003",0.0165126793788087
"Terminal TEMRA CD8","CP003",0.149597011991351
"Transitional Tem CD8","CP003",0.0342048358561038
"TRDV1+ γδ T cell","CP003",0.200707686259092
"Vγ9Vδ2 γδ T cell","CP003",0.0143503046982504
"Effector CD8","CP006",0.203110492107707
"KIR+ innate-like CD8","CP006",0.08008356545961
"MAIT-like Trm","CP006",0.00394614670380687
"Naïve CD8","CP006",0.153899721448468
"Naïve CD8 (innate-like)","CP006",0.243964716805942
"Naïve CD8 (post-ART)","CP006",0.0276230269266481
"Naïve-like TRDV1+ γδ","CP006",0.0178737233054782
"Terminal TEMRA CD8","CP006",0.107474466109564
"Transitional Tem CD8","CP006",0.0817084493964717
"TRDV1+ γδ T cell","CP006",0.0733519034354689
"Vγ9Vδ2 γδ T cell","CP006",0.00696378830083565
"Effector CD8","CP011",0.271671134941912
"KIR+ innate-like CD8","CP011",0.00446827524575514
"MAIT-like Trm","CP011",0.000893655049151028
"Naïve CD8","CP011",0.425379803395889
"Naïve CD8 (innate-like)","CP011",0.00268096514745308
"Naïve CD8 (post-ART)","CP011",0
"Naïve-like TRDV1+ γδ","CP011",0.00536193029490617
"Terminal TEMRA CD8","CP011",0.194816800714924
"Transitional Tem CD8","CP011",0.0571939231456658
"TRDV1+ γδ T cell","CP011",0.032171581769437
"Vγ9Vδ2 γδ T cell","CP011",0.00536193029490617
"Effector CD8","CP013",0.095609538667261
"KIR+ innate-like CD8","CP013",0.0211722754624471
"MAIT-like Trm","CP013",0.00646311566748384
"Naïve CD8","CP013",0.179184310229552
"Naïve CD8 (innate-like)","CP013",0.329173166926677
"Naïve CD8 (post-ART)","CP013",0.112993091152218
"Naïve-like TRDV1+ γδ","CP013",0.0300869177624248
"Terminal TEMRA CD8","CP013",0.122576331624694
"Transitional Tem CD8","CP013",0.0606195676398485
"TRDV1+ γδ T cell","CP013",0.0381100958324047
"Vγ9Vδ2 γδ T cell","CP013",0.00401158903498997
"Effector CD8","CP016",0.183497536945813
"KIR+ innate-like CD8","CP016",0.00862068965517241
"MAIT-like Trm","CP016",0.0061576354679803
"Naïve CD8","CP016",0.651477832512315
"Naïve CD8 (innate-like)","CP016",0.0541871921182266
"Naïve CD8 (post-ART)","CP016",0.00123152709359606
"Naïve-like TRDV1+ γδ","CP016",0.0123152709359606
"Terminal TEMRA CD8","CP016",0.0135467980295567
"Transitional Tem CD8","CP016",0.0184729064039409
"TRDV1+ γδ T cell","CP016",0.0246305418719212
"Vγ9Vδ2 γδ T cell","CP016",0.0258620689655172
"Effector CD8","CP017",0.183462532299742
"KIR+ innate-like CD8","CP017",0.00775193798449612
"MAIT-like Trm","CP017",0
"Naïve CD8","CP017",0.69250645994832
"Naïve CD8 (innate-like)","CP017",0.00516795865633075
"Naïve CD8 (post-ART)","CP017",0
"Naïve-like TRDV1+ γδ","CP017",0.00258397932816537
"Terminal TEMRA CD8","CP017",0.00775193798449612
"Transitional Tem CD8","CP017",0.0361757105943152
"TRDV1+ γδ T cell","CP017",0.0465116279069767
"Vγ9Vδ2 γδ T cell","CP017",0.0180878552971576
"Effector CD8","CP018",0.106207928197457
"KIR+ innate-like CD8","CP018",0.0403889304412865
"MAIT-like Trm","CP018",0.00411368735976066
"Naïve CD8","CP018",0.217277486910995
"Naïve CD8 (innate-like)","CP018",0.257292445774121
"Naïve CD8 (post-ART)","CP018",0.0946148092744951
"Naïve-like TRDV1+ γδ","CP018",0.0198204936424832
"Terminal TEMRA CD8","CP018",0.0632011967090501
"Transitional Tem CD8","CP018",0.0474943904263276
"TRDV1+ γδ T cell","CP018",0.136499626028422
"Vγ9Vδ2 γδ T cell","CP018",0.0130890052356021
"Effector CD8","CP020",0.325466804979253
"KIR+ innate-like CD8","CP020",0.0230809128630705
"MAIT-like Trm","CP020",0.0129668049792531
"Naïve CD8","CP020",0.140300829875519
"Naïve CD8 (innate-like)","CP020",0.0095954356846473
"Naïve CD8 (post-ART)","CP020",0.0778008298755187
"Naïve-like TRDV1+ γδ","CP020",0.0134854771784232
