"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP020-V1","CP022-entry"
"CD86",0.116673119726195,0.24943041039497,0.079763063699309,0.0403553286573141,0.0240665486843449,2.23919782737371,0.0580334198714114,0.0359741115792199,0.0297075375331533
"CD274",0,0,0,0,0.000988823159118087,0,0,0,0
"TNFRSF14",0.000631255613363372,0.0149162933697919,0.0155451413243622,0,0.00068936871920277,0.0104743117272869,0,0,0
"PVR",0.00212631872165406,0.00149384296467686,0.0173604898398227,0.00403861308788199,0,0,0,0.00639942913606162,0
"NECTIN2",0,0.00725270302828768,0,0,0,0,0,0,0
"CD47",1.2040748459242,0.0525202305842043,0.210240766960256,0.488304055624622,0.132427832377148,0.0586281624362101,0.0700816372408952,0.066846212787937,0.03896871589695
"CD48",1.85180164651687,8.36680431569854,1.62519715277806,3.97189559708792,2.96103705363264,3.31962352289834,1.08750522110021,1.66199838948301,1.27211248295422
"CD40",0.0470574052792981,0.0380996842798384,0.0729615064081814,2.78776891664803,0.0532891122340303,0.00205863151827145,0.0024575411696163,0,0.0020494937356766
"CD40LG",0,0.00810300301651524,0,0,0,0,0,0,0
"CD52",0.0474991260922214,21.2643004290448,0.0255043535648836,0.00731165486770228,0,0.0325397074379828,0,0,0.0135014589202213
"CD3D",3.27453706813954,2.2284172932054,1.68585560076523,10.5872728313634,0.0771518223780743,2.2847165359133,0.299924926408875,0.0749010006791242,2.60736374259142
"CD8A",58146.2219989038,20207.7620058022,304599639.21114,132909371.4067,12443.6383785025,3358.10511797363,276542.295082947,22879.1708270362,4897.75252061582
"NCAM1",479.034083056199,7.74658301035372,4398.15374228063,101.805867121778,1356509.4455913,2131.85635397509,2.48988308561988,2140.60139471117,13.0147720617897
"CD19",1.70663523999218,0.00497591045455009,0.0189072013961341,2.45235133386165,0.972090112450532,5.46030045408623,20.9342593033099,0.00103876546398075,0.537189978858368
"CD33",0.135093778950408,0.291642757907092,1714715424.02101,0.166356512814174,0.14889069112962,0.21829204537545,0.0889217835392535,0.286538493932916,0.178910353096849
"ITGAX",51.5838787081695,3402035.28553159,670.872538476644,3986.62186252651,1273.91102842696,5545.60768501619,754.592989168424,76.6370850310764,4.99373212059937
"HLA-A",4.78468767116871,1.75321794372541,22.9685954671264,0.443661496492388,2.86310878082298,0.130074052527367,0.1629932806317,0.703877263098305,0.711282206490752
"CD45RA",583.562204937594,1307.36076080821,3553.16356765959,38.2093710928006,73.6631782332432,31.7360866456083,28.2653234464612,39.7211490314573,31.1884701304289
"IL3RA",0.0130841270211759,0.127469652754929,0.162668360695376,0.0218805483212428,0.0403850302841188,0.168701530378356,0.0381185326629611,0,0.0073639395692265
"CD7",1477.33117068463,1598.12034165295,328639.051955383,5215.52952810148,1631.99622353194,2875.55049992486,2478.86736404511,310.347842709589,667.338397078014
"ENG",0,0.0219431115601108,0,0,0.000987771878655005,0,0.00695000130735586,0.000443039557883276,0.00175887202187348
"ITGA6",0,0,0,0.137768342325947,0.00284465366740532,0.00403432459766065,0,0.00170531867196946,0
"CCR4",0.0148071489626542,0.0557909764693617,0.0285083847067553,0.0232210995702994,2.06551011901848,0.0389634599395864,0.0246076181866742,0,0.0165611692846554
"CD4",0.0286049498642328,0.0108987402258213,13.1752477550628,0.0438456742684189,6.89779650838792,0.0581826656047191,0.200600811701824,0,14.0769128740396
"CD44",2.71087999004326,6.84543936260374,0.560645259159583,42.8571517963893,5.27413658634357,41.4686107782488,14.27237972517,1.62522769526236,10.3502482406965
"CD14",0.040620864278017,0.0889248814486712,0.204813782644999,0,0.00223241568171202,0.0372447193792631,0,0.0850185912523419,0.00698174993954198
