"","CP002-entry","CP003-entry","CP011-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP022-entry"
"CD86",0.0175287770192997,14.0556112885604,0.128123379975246,0.048056267084019,0.0245770438944892,0.188152839100083,3.0732485398867,2.22875377908037
"CD274",0,0,0,0,0,0.0396442352592333,0,0.00228003909638165
"TNFRSF14",0.0006065407304275,0.00569989862600217,0,0,0,0.101818549105179,0,0
"PVR",0,0.00766939000217586,0.000531041658966919,0,0,0.00596614313921149,0.00125583583540475,0
"NECTIN2",0,0.000416968844904014,0,0,0,0,0,0
"CD47",1.3447433563006,0.0679069685143366,0.798148340568645,0.0117318702699036,0.0642315741348407,0.567952892992289,0.212497046711785,0.389837602076582
"CD48",4.72524720061433,8.49549143521197,5.16862535112686,4.97835534174702,2.66902031889349,7.9439899332955,7.94173808835606,4.44452525829674
"CD40",0.0392598240118783,0.0384085280721672,0.265620357669192,0.0653342261055436,0.0350015675815459,0.178191019961507,0,0.0787018426867974
"CD40LG",0,0.00146767803676063,0,0,0,0,0,0
"CD52",0.170684224525624,4.94082621212782,0.00257933270856847,0.00688943828419275,0,1.16488119461946,0.584668049464409,0.00584088875775417
"CD3D",50.2847458922551,169.21590435238,7.19655354176563,20.6335003589994,6.62257199536535,270.638609780585,54.416076941061,28.4599654595709
"CD8A",5983470230351.79,322630139972.07,2438084971333.79,822121554296.726,76710421632.3833,771284509147954,408253981.705824,51503311204.7089
"NCAM1",0.0417727183936804,0.0133124505985814,0.0436160870173117,0.0355842666995329,0.0615787655476092,0,0.0951165324271027,0.0259597454362964
"CD19",0.261010667227407,0.0252318399236647,0.656380789331829,1.01309269101438,0,0.0802258927358345,0.0974226941036715,1.11154678799335
"CD33",0.0948590009429889,0.111200713343613,6.0640783503798,0.0235791491640982,1.32893441139204,0.307053999590229,0.300900096868769,0.226576177566793
"ITGAX",55.1500429142145,175336.649713634,23695.2572321112,25.3634819888498,0.482421557828461,9.69558058400976,0.706567089289431,337.666240490246
"HLA-A",5.43959338114689,1.01426157313593,0.740441167746654,0.46393104041472,0.504841113907592,1.43764226064502,1.58949677988771,0.834145171136477
"CD45RA",250.914220123182,1641.93513411236,16.4809694713724,6.3061019336723,7.82292633718649,286.609367651679,18.2403110160081,16.5848147013162
"IL3RA",0.00207293874231106,0.00924754819306723,0.0667012625421176,0.0152158738389264,0.042430296174225,0,0.0135842968623221,144.255599422933
"CD7",491.308510540002,1577.07494669657,791.503356023793,3277847.71611592,391.146638940346,3609846.50234818,847.215838346446,2205.15435941834
"ENG",0.00272615829461173,0.000763105996658447,0.00096034221446267,0,0,0,0.0540978683672041,0.00408654390710505
"ITGA6",0.0101343586194849,0,0.0047276512908838,0.000744623329873268,0,0,0.00173832551153486,0.000404573136236533
"CCR4",0.0244922348629909,1.05201142154329,0.025421129700735,0.0627346613825206,0,0,0.0253829135786007,0.0319796610249668
"CD4",0.0281108970209102,7.41407000875607,0.979074073334461,0.112969629032271,0.314026961652965,0.131034483088724,0.0673786286731633,0.830267217444543
