"","CP002-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP020-V1","CP022-entry","CP042-entry"
"CD86",0.279595603234843,0.248809885074805,23.7769361096505,0.0778132062023719,0.446002013240904,0.182616358422228,0.797138592456317,0.191641442800823
"CD274",0,0,0.00376878076168518,0,0,0,0.00302777491191592,0
"TNFRSF14",0,0,0,0,0.00123873034801455,4.17576012507192e-05,0,0
"PVR",0.00439861374262031,0,0,0,0,0.00868901764100352,0.000400051354782043,0
"NECTIN2",0,0,0,0,0,0,0,0
"CD47",6.07581343868386,1.84575600726557,0.707893415902379,0.14691738191282,0.606205195248874,1.02727910416149,0.86027420501789,0.0734109519740609
"CD48",28.393744719057,19.8813419879662,40.7433888068511,18.9624588462066,32.7153508538055,33.8047794523406,26.290236496135,32.0906682382193
"CD40",1020.79260433306,12.9818690621081,169.342222167356,17.7272681517163,3.54359378093116,19.2868381426946,287.511985326957,24.9599704207261
"CD40LG",0,0,0,0,0,0.0221519054169085,0,0
"CD52",0.0885207497827941,0.00277948816573828,0.0809722101113101,0.0629009777764055,0.019395602431724,1.17903287868826,0.0208035674969058,0.00106837006370652
"CD3D",0.0414574282734925,0,0.0148271510759487,0.0997341010689698,0.263212925371189,0.301166062834119,0.0559795516922073,0.50508085463962
"CD8A",0.162895839039022,0.00165813465380599,2178.97021642913,0.0259833834360154,1.74032787091447,0.539469204378778,2.94189906297464,2.61693972014883
"NCAM1",0.0554191816611125,0.00761568091851674,0.122028948089505,0.0128714829681095,0.0510712538419623,0.0135973779334474,0.0653751215499245,0.0874046286819543
"CD19",353.608368832985,253.352666395154,2982706.50801838,404.057932325672,192.546747440583,1263909.35203807,638.372941543475,2635.23648323831
"CD33",0.0171174425295034,0.0372177605777772,3.41769890681749,0.0306916281588406,0.236906368156006,0.167007675923729,0.0581593543237253,1.33259825205378
"ITGAX",0.0243422254204701,3711.99159126854,4.90503929727781,7.91110751871554,0.167601377908402,49.8752132373425,0.0166198426259226,0.472265337165126
"HLA-A",24.9361916250604,2.71409539872551,58.5918878865562,1.50453910548205,0.633671155327971,6.21251869244223,6.97343489104538,0.638215071627639
"CD45RA",63.3422109595401,10.7494076351543,55.1980590159612,24.4422891220387,21.4927913795722,46.0480366109822,14.7474422218833,37.9555328778493
"IL3RA",0.107253190518297,6.41755672254706,1.88169295109469,3.29321990205527,0.766988610075218,0.839456368629225,0.607327751462813,1.99077930954867
"CD7",2.40131928720794,0.0628244877012451,43.0733482712116,27.4177223247608,0.872419734554147,3.19646013278094,0.0136202590954775,1.46834467601895
"ENG",0,0,0,0,0,0.0980111142703077,0,0.00962915026096736
"ITGA6",0,0,0,0.000979791955249805,0,0.000359532312670369,0,0.00160373597417201
"CCR4",0.000462223619616636,0.0772158721973309,0.0264334534525557,0.0315846026033304,0.0310173143843452,0.0726163115831697,0.000338022896053226,0.00908953265352281
"CD4",0.00186241703344168,0,0.00130202733714133,0.393461328984061,0.0126407258320588,0.135920452625232,0,0.0204965142103853
"CD44",221.155709805044,636.544677462829,380.16085481465,75.962938935002,2754.31103077086,374.911074246081,206.653765594902,76731.4561457255
"CD14",0.0313401426736827,0,0.000182738725195779,0.00562753797840882,0,0.0104792353506962,0.0107750156012658,0.00236684675243079
