"","CP006-entry","CP011-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"CD86",305562754534.542,61339987.4919065,11994795362.5658,208499183.529981,254068239886.02,217379666.594728,1225309896555.52,109675.54892349
"CD274",22.6042931176861,0.950371859669061,0.468869307214536,0.996506554988051,0.156161235966432,0.055543329115034,12.8168262715014,0
"TNFRSF14",0.440901324967661,0,0,0.00483414254700206,1.1591713489946,0,0,0.00625938384858379
"PVR",35.9998225316504,0.343630702510937,0.074669728961222,0.072647889963099,9.33632097423087,0.0468230828059043,0,0.179651079352475
"NECTIN2",0.0314733779311032,0,0,0.00464060097007156,0,0,0,0
"CD47",3.08266979022387,81.7222096945618,1.25314097198213,5.63559114321537,16.7620045487861,2.03061659135503,3.3842692381734,0.183341736882156
"CD48",27.1108679812513,63.3619004388898,36.5126707799717,24.7144675365619,69.4798260230332,19.5977194616505,20.1754578365429,17.543178359329
"CD40",224999.044049854,313.851635374141,42.1252293551322,379137.58780773,62.0132100008056,1.87744612176029,26.5503432416042,3.71285174339538
"CD40LG",0,0,0,0,0,0.00240059367297807,0,0
"CD52",1.08393831075187,0,0.0346610266422201,0.0474269240907665,0.173145548514802,0.358795144578986,0,0.148597364229318
"CD3D",0.190615994189491,0.00657203477692844,0.909792968237167,0.0807251299198189,7.77216341453458,2.5547489497065,1.16266771499994,0.822085565262002
"CD8A",0.366533813951519,0.142764302230442,6.86103726139029,63932.2229801618,37.7084490440317,9.35062280082036,0.0503053888299571,3.76922985924688
"NCAM1",12962.8028021407,16.3984997740699,1.84905672261267,2.28314601812557,0.0819348336068962,0.097964838596672,0.079885330201619,0.446063909391259
"CD19",0.215103430879808,0.492245643687547,0.0767420628136433,0.084515418934137,0.473477987086076,1.07918971499267,3.61152147248956,0
"CD33",20391251.2051695,611.039790582874,24.5773051432102,2896.5709891516,99589.4113931806,5777022.47906052,20025.7436218609,34.8588367521385
"ITGAX",3772875599.97527,20165401285865.2,110221837728.142,2873060539.46591,147385099.806808,147396403.394048,64254572.5305221,57988380.9341182
"HLA-A",1529.22651147201,12.6263921693274,9.17706106599636,13.9800302180101,299.422353453447,8.96066971819878,24.1656005040744,1.97135464929349
