"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"CD86",0.0192560838241472,0.0371224924388891,0.0411721321093716,0.0591392558189131,0.0341701813409287,0.0441594025487939,0.0226562057382651,0.742022342093224,0.0797362261538167,0.0098648906164329,5.74017140432897
"CD274",0,0,0,0.00291194379198916,0.0330531412726163,0,0.000544123758135974,0,0,0,0
"TNFRSF14",0,0.000227667833932881,0.051544274012643,0,0,0,0,0.110829854514445,0,0,0
"PVR",0,0.00869404935545557,0.0110042724781461,6.21563281161654e-05,0,0,0.00188895383358985,0.000848223008460638,0.00351094554194821,0,0.00744203309905462
"NECTIN2",0,0.00139889142046842,0.00156272653334176,0,0,0,0,0.000268959339251435,0,0,0
"CD47",5.61480051806462,0.275933590983376,0.972397823265917,2.58842347716984,0.369373799630014,0.172636359168695,0.987539486613008,1.97907981465131,0.456875465374602,0.57414791593354,0.0520302068511167
"CD48",34.1209328569758,90.6367448209396,27.0547123854538,27.0502269098179,30.353167554665,20.5763872119237,22.6974705892267,20.1360368405589,17.8026969839576,19.7471802684424,18.651214691026
"CD40",0.0351838762936222,0.0161635984979989,0.032010833859371,0.00492085191854264,0.00308833489306438,0.00755164447081048,0.0254207002986908,0.0225773880197759,0.0152636605309284,0.00338461767464031,0.0220324516686592
"CD40LG",0,0.00528012689233603,0.00206582935821393,0,0,0.000241659586871393,0,0.00022128947395677,0.000288486749823681,0,0
"CD52",0.209950195191938,3.06986607118382,19.7107894256296,0.0064734854420572,0.0790184547529061,0.110000736877057,0.0485360312544025,1.48378195602779,1.5272641203402,0.0770529131732997,0.0669554117770969
"CD3D",125.30596903054,184.929302342919,27183.6776431861,46.8552732699037,471.391891841214,44.5840588802333,45.1171770250086,262.670940156889,182.419665134062,36.6741462207223,23.4008036322755
"CD8A",0.0814477956670968,0.211695248146735,17744721249.5411,0.0749306031741597,0.0198331422824218,0.489933829546826,0.583630404872625,0.0526382886675238,2.91815301897697,1.55307035633412,0.204645405343339
"NCAM1",0.0189884880409036,0.00647017665069448,0.00168577310750324,0.00316730742439315,0.00193508626631018,0.0173904733435861,0.0145129027386217,0.0280619989661427,0.00780547960243213,0.000390421968643206,0.0132852151680919
"CD19",0.0126924780499318,0.0215609569094866,0.0322788472735731,0.199377871686261,0.305163729662316,0.0584997542503761,0.046041466998458,0.0197742028966858,0.212653856895938,0.275051346185971,0.00942961950809711
"CD33",0.204886297436004,0.18132296086672,1.45283244191125,0.184597650623105,0.0380096242927314,0.15263945798482,0.732019924804707,0.0723392101709415,0.280247255552841,0.252566384835438,0.293228374230977
"ITGAX",0.0128642586084437,0.00366052843293543,0.0546744390038709,0.96397096074718,84.3397838536116,0.386219311127774,15.0055949357606,0.278743075919373,0.727302299237528,0.00433740092028093,0.409679757301386
"HLA-A",4.88588288497172,0.952299285330718,14.9919387523484,0.530408465535117,0.874006621871812,0.367063264288029,0.594213459753032,0.767332640029964,0.571694011363729,0.33541798480947,0.199245906207183
"CD45RA",55.5918708085406,227.581652990148,413.31106279425,26.48849402647,20.4807399196523,15.6667623173403,19.5613403001968,154.245652880184,59.6142204473628,16.3704039386432,16.7261214157725
"IL3RA",0.00430611092365662,0.0159235410225878,0.189368386870282,0.0500740844702024,0.0408006721935893,0.0647347502518284,0.0144678372427641,0.026977861484455,0.00842776739263689,0.00566566998889736,0.0573431307669643
"CD7",357115.337141551,1202167.02849543,5744529.50486668,124316.300339061,639831.216441933,541561.165192327,3253406.26766268,98562.5796479757,2298.3896237169,268648.948964568,6273.70226753384
"ENG",0,0.0163742427687462,0,0.000778161406304745,0.000956674372797823,0,0,0.00348670745965376,0.0290317686079765,0.000400671717178258,0.00264218980494083
"ITGA6",0.00208781802208775,0,0,0.0185319183975268,0.00187429911552968,8.52286625310104e-06,0,0,0.000171033036237361,0.000351941269957243,0
"CCR4",0.00827611072786623,0.0509671081794547,0.639748331069897,0.0101726930434061,0.0156421231829465,0.0210996425568679,0.0210239678562405,0.0457811087561909,0.0447904267370166,0.011238224295422,0.0124820311802831
"CD4",173.872166670527,326.319009909033,22346.1041373881,103.273844300001,598.218252987713,91.2838530162607,14.1369822287521,80.997082891264,262.933985506331,145.236354711983,20.961035633594
"CD44",1220.97272693805,1219.49004821204,39.3542745162142,7762.64934241743,477.431511683992,891.787197103092,1469.33305197898,87.1531662369315,828.625572027148,764.65002907823,3851.40020286139
