"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP018-entry","CP022-entry","CP042-entry"
"CD86",0.0419103354989985,0.0424574775951879,0.451770974272087,0.10778673316544,0.136067515593605,0.0632793834743226,0.0688689286703248,0.0363991940991492,0.0175565052201433,0.05816810440821
"CD274",4.33051575460429e-05,0,0,0,0.00186897895231661,0,0,0.00406037454400926,0,0
"TNFRSF14",0.00161096877731536,0.00816120799426384,0.168029698345379,0,0.00147072471547415,0,0,0.635706896222721,0,0.00515553994625119
"PVR",0.00242095813985242,0.0047350821242463,0.0119502812636226,8.17879874118891e-05,0,0,0,0.0035514970157352,0.0020265885015047,0
"NECTIN2",0,0.00435931011200077,0.00175481950989156,0,0,0,0,0.0010825884806281,0,0
"CD47",11.7319023290528,0.463481123197043,1.3723090462323,5.23863349050774,1.13059340516951,0.423652675720328,0.805525682505569,4.1243212742273,0.893954388881321,0.134121840603987
"CD48",99.6457736324269,162.40886491955,38.172774111608,47.2968196933073,58.9786294370231,29.8590006620967,43.6511682747774,36.4053873241352,27.4035558460018,31.0579662076875
"CD40",0.0867312866429316,0.0652954052693516,0.146032952566173,0.0480621979503567,0.0142940651351938,0.0311354421642267,0.0178927462817651,0.071956185635802,0.00373198137132622,0.0381987578986552
"CD40LG",0.00346526683542794,0.00187145858621495,0.00771693610451034,0,0,0,0,0.0180788395103855,0,0
"CD52",0.622854855547091,10.9223394823917,13.0427861006099,0.0554106714035679,1.2913023782816,0.18284236216921,0.0497976920805385,3.34036883857394,0.161982214737549,0.454089533503516
"CD3D",273.057838789752,425.582716920512,32696.725074177,132.484435334244,2292.56637907404,70.921110213528,64.0996570657905,338.053924579947,67.9917531615813,24.325802219198
"CD8A",21115.6931485279,259.947928947389,13231907.0056612,16068.4601772967,75695.6408110018,2127.48018454873,30116.8255770387,12.7059830433888,19405.0975766346,0.963088951643139
"NCAM1",0.0238450016396061,0.049018788348966,0.0525190221461565,0.0189515125333351,0.0209861612994017,0.0492283012155982,0.00274713845740764,0.0635322641062424,0.0401862569874016,1.63961816834455
"CD19",1.9458844303381,0.0529717423060594,0.0414102310949152,0.566885873683231,0.624607497838325,0.506151812783904,0.281902013240334,0.14564030320106,0.753772976998137,0.0327647146306745
"CD33",0.122340422145072,0.140390660779465,0.863512344372939,0.185600261871456,0.429629366143317,0.169612733129603,0.166143028266025,0.176377375634576,0.0840639437219681,0.599551829273458
"ITGAX",7.8762310318833,0.0275613267531655,0.155350121072964,1.13414273490445,0.0324908722251641,26.1390362858907,2.92905514085306,0.604725476661046,6.29843387660874,0.253129522445203
"HLA-A",27.6624135440902,2.86845609594894,47.980506436623,2.48131274723957,4.56261684200021,0.618290272239268,1.30739032886766,4.24800563002394,1.05827874017538,0.210656254723722
"CD45RA",58.8494968098751,816.353869525852,336.586358795945,21.7379968007719,13.5269336534062,9.64574732140721,15.1156263061175,117.094205205851,9.777189023853,17.058683575989
"IL3RA",0.0177973597689337,0.0193265195173948,0.171536343451219,0.0559815017656686,0.174511136449802,0.0956914463720105,0.0700845079098699,0.136491721044176,17.0029482816859,0.0575811403871519
"CD7",4288275.03984385,629318769.664295,7003320.3775594,2194575.53616951,1284886798.80181,611902.79414082,4533540.17739073,770431.184939192,2653342.1589171,10847.1590388128
"ENG",0.00084505358040588,0.0208629613800337,0,0.00500761551429722,0.000183971277897065,0.000474882721862387,0.00214407251450975,0.000877187485535475,7.04754780401405e-05,0.011765495771357
"ITGA6",0.0155544113603517,0,0,0.0571504936569308,0.00245831682053366,0.00384097692057127,0.0222694259000804,0,0.000989089906380029,0
"CCR4",0.0275189603232506,0.210285641296057,0.175906182854937,0.0408049500735213,0.223286850841443,0.189750413703186,0.0693746521204805,0.462303829038731,0.158210229939937,0.0927168229965904
"CD4",481.736409258862,794.451224180298,73473.919273798,401.224254412653,6586.51198294033,180.048501318505,36.5735861035181,201.706261427454,332.704047290521,52.3667013744195
"CD44",5052.28478036992,4175.92426903509,91.1163485004684,16038.6834890141,1250.52290457453,1626.44311383538,11983.8162719177,213.256614393635,1117.04366310211,43651.1440424938
"CD14",0.0408824843736716,0.0442988323892991,0.0609577372502955,0.0310853733567458,0.00536206863937494,0.00636908251385887,0.00757250689740633,0.0520210687812979,0.0206522030233681,0.0388346653755248
"FCGR3A",0.0054664815014746,0.0678655923675192,0.0419333429218065,0.12542395888099,0.035892418110896,0.0174832461654411,0.0148784266481363,0.0775222456425941,0.0498482383725582,0.067227584095077
"IL2RA",0.0783334485126394,0.00762688745481361,0.248315088779163,0.0214221564133455,4.58223993583929,0.0603220119673902,0,0.0938645970703818,0.0262085334089784,0.00625644528128171
"CD45RO",1.4773040452143,2.49858488629221,4.57570405576131,1.12442946380876,1.63816793849501,1.14624217395293,0.696036742899875,1.14358974652543,1.01276798575369,0.232556388983536
"PDCD1",0.00374040527061136,0.0014964923503551,0,0,0,0,0.00152927364784381,0.000377969742513823,0.00910565968457969,0
"TIGIT",0.119306113241239,0.0623054309836785,0.0938650678617513,0.00191543775206944,0.000346593064383807,0.00211898439977204,0,0.0850239005261072,0.00162574875611853,0.148194507197436
"Mouse-IgG1",0.000626805025035355,0.00617619424786447,0.00331195885014589,0.00243898288194204,0.00687367519621825,0.00108144783511827,0,0.00361225702544913,0.00950516563112326,0.00248042857639103
"Mouse-IgG2a",0.00330170958313623,0.00144000827602894,0.00220081537943614,0.00974730270378052,0.00101115803817494,0.00169905783547645,0,0.00159502650993415,0.00344549908048301,0
"Mouse-IgG2b",0,0.00505853487272306,0,0.00386923662663862,0.00560205730263826,9.831754857944e-05,0,0.00173275481016083,0.00264137111535166,0
"Rat-IgG2b",0,0.00109909771385771,0.00619253103349685,0,0.00413614339631289,0,0.00490640051407192,0.00838120972824774,0.00395809120577871,0
