"","CP002-entry","CP006-entry","CP016-entry","CP018-entry","CP020-V1","CP022-entry"
"CD86",1.06784653437566,145578.01273283,0.106919041718556,18.0698084340937,99.9824185990071,0.0263033393431982
"CD274",0,0,0,0,0,0
"TNFRSF14",0,0.00502890867788619,0,0.047994084310366,0,0
"PVR",0.00657660625024357,0.0416440758190885,0,0,0.00230475955689556,0
"NECTIN2",0,0,0,0,0,0
"CD47",2.37238408749259,0.160377951752682,0.169545838402839,0.334121000315042,0.516165055062117,0.689136212869381
"CD48",16.7870116526625,17.025232289085,6.98846008653117,5.31545381400029,17.1074054756575,15.4597926959448
"CD40",0.0455298136748316,0.00684493911386307,0,0.0305366467795822,0.0219338074379344,1.0849338872044
"CD40LG",0.00273006029740876,0,0,0,0,0
"CD52",0.160833280157934,5.09713092498253,0,0.703683206755964,1.19190255069069,0.115497579084121
"CD3D",62.6828127728566,5760.57444455643,10.8719644347629,77.0235744750657,137.635575296067,56.3411962446237
"CD8A",21961544600615.9,4196604936764770816,352298285059.931,690087528244409,20298158260.9153,283960863300.946
"NCAM1",0.0151194651643899,6.01574744080846,0.0219486300430072,0.0172149827263289,0.129236766512268,0.00223335589497906
"CD19",0.191857430296528,0.00808216345032831,0.00468572096260646,0.0264947040453657,0.168223782283725,0.0358027227148198
"CD33",0.00649784803896214,0.161583458414267,0.155141148711821,0.120976473456943,495.063510125465,1.79599951792525
"ITGAX",0.740204821137711,0.00245063629490328,0.066939119903691,0.00551910717031999,49.9648793588219,47.6595244572004
"HLA-A",5.87152485330482,61.5198964979695,0.264479450997362,1.84088713772766,4.16313646175609,2.0695779186285
"CD45RA",12.7234814421024,341.521134327968,0.00495031957889922,0.486831667813027,2.78657342031222,1.12308866997943
"IL3RA",0.00465109679916992,0.187888298603096,0.0523554426339847,0,0.0458181360450849,0.00258188877864922
"CD7",51487.3246408481,129544707.254187,141.244471493238,48835.785151084,155.450233074249,1436548.07053326
"ENG",0,0,0,0,0.0192856931707661,0
"ITGA6",0.0111722879530549,0.105959815955689,0.0370121222360644,0.00909006582220006,0.465447439653821,0.305603469198533
"CCR4",0,6.30210198746755,0,1.66603099410414,0.0892222755140401,0.041491643155226
"CD4",0.00143333729419371,527.142749311958,0.139209535211294,15.2094683418093,75.2074892492984,13.2719499305019
"CD44",1272.4276473902,224.957950790523,29834.2544793752,142.294398943968,5111.90693969166,1671.76936587948
"CD14",0.0644011859332109,0.053385285544237,0,0.0751765954495823,0.606890800220495,0.00741748279606627
"FCGR3A",0.0138734925888548,1.38316594440551,0.0187354920517821,5.50508964282691,0.204591089226463,670.911061979549
"IL2RA",0.0174153765015161,0,0,0,0.00942531696243903,0.0755850052011371
"CD45RO",36.2343534417786,65.3986513876379,6.74975788080106,17.6027132236908,3.45372195192451,9.55020667326325
"PDCD1",0.294129028919627,5.32142798004066,0.290537481331356,4.41856474690297,0.0863708679083296,0.408903629981931
"TIGIT",5.77763112486585,506.625397872903,0.556633539193699,53.7963137040113,0.44984676454917,0.106172811166949
"Mouse-IgG1",0,0,0.0253474317015261,0,0,0
"Mouse-IgG2a",0,0.00195469023580441,0,0,0,0
"Mouse-IgG2b",0.0515794996146072,0,0.0105514608265993,0,0,0.0025234601950432
"Rat-IgG2b",0,0,0,0,0,0.00282804710750123
"MS4A1",0.21434460066338,0,0.0716565695506941,0,2.39821868271904,0.160331876807065
"NCR1",0.0498097565927341,124.401595882265,0,0.00967350596278923,0.0109805923141047,0.0248028323289348
"PECAM1",2.00490226889333,3.42145606599756,0.316616322175339,1.51571453080108,0.335496323420387,4.32836545920453
"MCAM",0.166763107200401,1197.7556434516,0.00840717015370585,0.0858838382915197,0.654813344679035,0
"IGHM",0.54981317506167,0,0.166903199652198,0.0165582558095304,0.666187964859551,0
"CD5",76.7513175149236,9902.41146038129,14.3456053840567,393.214046167635,568.793532415208,48.4689706959436
"CXCR3",0,0.149693198117283,0.00457817687971715,0.137174409615549,0,0
"CCR5",0.281566774892679,0.778111665955931,0.000514932790838972,0.333899673221059,0.66320824607426,0.00591832823105487
