"","CP002-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP020-V1","CP022-entry","CP042-entry"
"CD86",61.8801784082718,827.145659320411,0.103768370380321,0.00432880309436264,0.00553818218064778,13.9418952088663,0.141889469622513,0.0830479886675054,0.0498324995835887
"CD274",0,0,0,0,0,0,0,0,0
"TNFRSF14",0,0.000191000279603198,0,0,0,0,0,0,0
"PVR",6.60586336114783e-05,0.0149344941257842,0,0,0,0,0,0,0
"NECTIN2",0,0.00409036502291618,0,0,0,0,0,0,0
"CD47",0.486973810375389,0.0538515426548579,0.0563623562861851,0,0,0.0491699339550835,0.00229383613392724,0.0791028261338904,0.00656336601630748
"CD48",0.921128253429777,3.23861922420901,0.342529018235579,1.86358369814492,0.245059165085462,0.851422222356994,0.737168463422155,1.90109351602908,0.736379182902868
"CD40",0.0319533911124599,0.0278702640109483,0.0130749923896887,0.0146686578571891,0,0.0764021963352335,0,0.0126469160888065,0.0129230262586315
"CD40LG",0.00137789800571379,0,0,0,0,0,0.142110715882384,0,0
"CD52",0.0122007020263005,0.0999640198775139,0,0,0,0,0.0171261681225938,0,0
"CD3D",0.937816324081844,0,0.00329757606355487,0,0.127518166446745,0.10322485850827,0.551244627123762,0.0947934536628666,0.0370329459851108
"CD8A",2569.09791726681,204374587241.803,6993087.38366887,94.5467469533033,0.850849222460629,33.5231008219975,2.21045327433406,26420.5221702815,56.1242104246726
"NCAM1",52582.7459864525,2954209281.59687,115234.30228719,312906082507.688,4168640.65339303,8135.23530001794,40569.9924660087,9042.58407574381,7388.53584368179
"CD19",0.535957461885992,10450.211590148,0.0789869082530266,0.839481207363618,0,0.0324972499347825,0.168171733606148,0.0369628089115941,0.00914173113730998
"CD33",0.601070586795582,12.8653136365215,0.0989715193055776,0.100652358041973,0.214277807745966,0.220480983402694,0.87591756872942,0.124312540398423,0.193898986377197
"ITGAX",5.78815452239486,111761.454077784,95.3486804113679,64.0955464122003,31.2683590179831,80.0575956563712,114.361245213446,3.7728375584802,13.3246103520119
"HLA-A",0.934870130583015,20.8734213892398,0.0288241681928994,0.188851886243067,0,0.0993203227473272,0.07142506262693,0.382747001733922,0.0292996140958596
"CD45RA",569.96904372236,11135.8898052137,21.429237131252,72.7005926058655,24.6056717562485,12.9512768149765,46.6767002102769,17.2970008150101,30.2858797182154
"IL3RA",0.00260713330957561,0.357871775954652,0.0203352943389009,0.00307231297061626,0.103121023845312,48.4071219765578,0.0174745577540446,0.145760078990389,0.0265124894924081
"CD7",5839.45392357825,29740551.2667656,3546.40700132593,768.487159771501,526.500858283383,1735.73135103778,3358.36849229277,376953.103634518,5363.49613447313
"ENG",0,0,0,0,0,0,0.0196121211888371,0,0.0191418809908239
"ITGA6",0.0652193057191454,0.0953738582989403,0.0033895513482744,0,0.00616178918177411,0.033399382642445,0.0537306381141513,0,0
"CCR4",0,0.0685074025730652,0,0,0.0131306817394474,0.0020483973960085,0,0.0114679032466476,0.0168992554623613
"CD4",0,0,0,0.00497811457281643,0.0664345907474037,0.0786899989239123,0.00319146988989578,0,0
"CD44",1640.52848684069,71.0459819033145,3812.24241423053,1872.88429602278,2079.270901414,1607.89263661061,2387.50181836571,424.08538576922,789.981486794903
"CD14",0.0890963337999523,0.385038177880855,0.00119743279378688,0,0.00199958660043471,0,1.50611122223593e-05,0.0255643916118673,0.00466007985990331
"FCGR3A",3.30168056626132,3285035.83657954,3.26046045735988,279202.151162704,6.52879766485959,10.718278798867,3.28878841940195,2935832.87541717,18.2629732931554
