"","CP002-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP042-entry"
"CD86",0.0984565678093837,0.0128423465110592,0,0.048397236266862,21.8483744905166,0.0657245765364409,0.0478496857517498,0.0420262442596081,0.31653924689182
"CD274",0,0,0,0.123115709226286,0,0,0,0,0
"TNFRSF14",0,0.113010081240773,0,0,0,0,0.142445947299615,0.000170058930712899,0
"PVR",0,0,0,0,0,0,0.0167063851109509,8.03373500957744e-05,0
"NECTIN2",0,0,0,0,0,0,0,0,0
"CD47",2.94702682888606,0.469883353426369,1.65592011970614,0.19420402557206,0.166166846838077,1.03310610636995,0.877067561948982,0.832024207129319,0.0750523544114285
"CD48",60.7470985457033,35.8270667013933,35.7649640916805,51.4629215658212,20.3452611904915,16.6280382994117,20.1999376101275,25.0951625505256,10.9504707488384
"CD40",0.405100835548213,0.214341863085262,0.00225931366774214,0.011811973831519,0.332338410735766,0.12327096718199,0.0304127973398926,0.122546515058762,0.0155909779390743
"CD40LG",0,0,0,0,0,0,0,0.0137868666385043,0
"CD52",0.102974213248367,7.23341057954209,0,0.206481611388993,0,0,0.31032921900837,0.475678467587281,0.0144129021188351
"CD3D",90.2996400345687,29825.6880025791,64.6869851030597,1620.63432320478,89.2619894680321,62.0965904878875,231.343182140676,358.405625921005,27.9084045447679
"CD8A",882988.867368191,195090044.651912,3566812.00748181,116371963.407648,5024510.71872383,0.719775996921764,1779647237890.59,24761.0545834943,1791971.61561858
"NCAM1",0.00979558911898553,140.404201820343,0.0178048227679331,0,0.0619680783877885,0.932963720962725,0.0157572904114901,1.24691936900345,0.713905360690262
"CD19",0.210153504130889,96.3911364872537,0.0278177332400441,0.825986728811939,0.197472441100873,0.00390568824757052,0.0481532721882693,0.0252471309969555,0.00370154276187682
"CD33",0.0284656438862461,0.335714413661427,0.619444280924322,0.124971416051299,0.0778858478604802,0.0611380175746378,0.00417890108045064,0.150301826927457,0.0957840904694337
"ITGAX",0.290932119274616,1.62250014831635,0.586350924102858,0.0683691014174626,1391.76719397923,186.837955686424,32.2145798022973,1.01470545601155,10.6570520224879
"HLA-A",11.748160526517,68.4046438595908,0.499033142299066,1.62533822941739,0.338763236715226,0.240478141075365,2.80967431290278,1.55722627025525,0.267564516625773
"CD45RA",20.3097160618814,340.729734804291,8.48653238644081,42.6201777415266,4.54289835935358,0.880752207017064,145.364250133161,4.12596502219608,9.11837546208432
"IL3RA",0.0016354443198418,0.120614524837992,0.00520455195553809,1.22538059774677,5.09318121442554,0.00411862911161552,0.501137404281767,0.00279399914492855,0.0451319333111287
"CD7",20338.7202970328,293271031.468933,1820.1587836034,1698229.80571952,11309.4157290157,101876.907346724,44099.2246293159,2472.03382625458,7680.36816555561
"ENG",0,0,0,0,0.00160692184798843,0,0,0.0391233052796924,0
"ITGA6",1.26064211390949,0,0.255719313499321,0.086147661291777,0.10823719113797,0.578093528092211,0.0332541938128589,0.250676219994757,0.0352747890033073
"CCR4",0.0677421396185351,14410.0533147661,0.00128012167125226,0.034833658757584,0,0.0571481595171586,0.0207633529710123,0.0486953061741579,0.0308024655970581
"CD4",9.82623221569237,0,0.850742939048271,42.3235059802825,0.68498224754444,0.542158100798655,0.565972125735664,7.27370565682454,0.407873916096277
"CD44",18625.4707562389,164.841945568421,152443.410079632,7375.12353837954,19852.6814254623,211766.263715743,375.542717146727,1175.25377695138,19434.7201996295
"CD14",0.0221275937810334,0.0207976567063352,0.0075121455547672,0.0153412674619187,0.000343034880498139,0.0189531749573868,0.21760834088626,0.00634382613713634,0
"FCGR3A",0,4221.02021931923,0.0504610650078867,85.2884018248235,20790.3589262238,0.878934989540913,466.136690607304,0.0708141289233969,0.35148825462023
"IL2RA",0.0205296677392765,0.051172196202993,0.000992904683539253,3.30437210365298,0.0189357565260623,0,0.0625269284872218,0.00159711808098471,0
"CD45RO",12.1641666924702,29.07128928824,0.153611850965903,0.175309172188353,0.545695018144303,0.190616156402581,3.05774866248273,0.78320117836927,0.0670537184245924
"PDCD1",0.00385460600468747,0,0,0,0,0,0.0135537047590795,0,0
"TIGIT",0.028827430712712,0.0467375627089137,0,0.00364023838494562,0.0037129549170681,0,0.0860437168502429,0.000341885765254869,0
"Mouse-IgG1",0,0.0104103543414343,0,0.00554397702216591,0.000822843182078887,0.00216542322640653,0,0,0
"Mouse-IgG2a",0.00526733839634705,0.0250161595621528,0,0.00400421823275983,0,0,0,0.00285521851082235,0
"Mouse-IgG2b",0,0.00278818637907167,0,0.0621593136613631,0,0,0,0.00553110954936496,0
"Rat-IgG2b",0.0234936067249795,0.014758186303539,0,0,0,0,0,0.000285545923061905,0
"MS4A1",0.0560827659571817,0.395409814761131,0,0,0.0773116863844406,0,0.487115556560833,0.150801232356964,0.0585449370235645
"NCR1",0,23.3717515427282,0,0,0.107753632132081,0.0302548799319524,0,0.00300404283668284,0
"PECAM1",0.389791517796736,0.0524863555791538,1.88631986486606,0.120234960108559,0.259714419682619,3.29094320745605,0.391466482272204,0.4298015837703,0.130847085708365
"MCAM",0.209084597776107,0.447068399962979,0.0314934602233158,27.6839452471535,0.0509700266638534,0.034321725153255,0.136060913848942,0.0286153675973666,0.165695529977645
"IGHM",0.0182653665958011,3.31933566735204,1.22084886209188,0.00761066970467034,0.436361764094387,0,0,0.00808075561761514,1.53125250980116
