"TRB_Epitope.species","n"
"CMV",1266
"Immunization",856
"M.tuberculosis",572
"SelfAg",372
"HIV",354
"Influenza",233
"EBV",232
"InfluenzaA",169
"Systemic lupus erythematosus",111
"CMV;HIV",109
"Brain Cancer;Celiac disease;CMV;Diabetes Type 1;EBV;Influenza;M.tuberculosis;Rasmussen encephalitis;SARS-CoV-2;SelfAg",106
"CMV;Influenza",105
"Brain Cancer;CMV;EBV",99
"CMV;M.tuberculosis",96
"HCV",79
"CMV;EBV",70
"CMV;HIV;Influenza",63
"SARS-CoV-2",62
"Influenza;SARS-CoV-2",61
"CMV;EBV;M.tuberculosis",56
"CMV;Immunization",56
"CMV;Immunization;Influenza",54
"Multiple sclerosis",54
"CMV;InfluenzaA",52
"CMV;InfluenzaA;SARS-CoV-2",48
"Alzheimer's disease;CMV",45
"Brain Cancer;CMV",45
"Neoantigen",44
"CMV;Rasmussen encephalitis",43
"Narcolepsy",39
"Brain Cancer;M.tuberculosis",38
"Brain Cancer;Diabetes Type 1;EBV;Rasmussen encephalitis",36
"Immunization;SARS-CoV-2",36
"CMV;Immunization;SelfAg",34
"Immunization;Influenza;M.tuberculosis",34
"Brain Cancer;CMV;SARS-CoV-2",33
"Dengue virus;HIV;Immunization",33
"Influenza;InfluenzaA",33
"Brain Cancer;EBV",31
"Brain Cancer;Celiac disease;Chronic inflammatory periodontal disease;EBV;M.tuberculosis",30
"Brain Cancer;CMV;M.tuberculosis",30
"Celiac disease",30
"Necrotizing Vasculitis",30
"HCV;Influenza",27
"M.tuberculosis;SelfAg",26
"Psoriatic Arthritis",26
"CMV;SelfAg",25
"Dengue virus",25
"EBV;M.tuberculosis",24
"Brain Cancer",23
"Ataxia telangiectasia;M.tuberculosis",21
"Brain Cancer;Rasmussen encephalitis",21
"EBV;Immunization",20
"YFV",20
"CMV;M.tuberculosis;SARS-CoV-2;SelfAg;SelfAg",19
"Immunization;M.tuberculosis",18
"Rheumatoid Arthritis",18
"CMV;Inflammatory cranial neuropathy;InfluenzaA;Neurosarcoidosis;SelfAg",17
"CMV;SARS-CoV-2",17
"Influenza;M.tuberculosis",17
"CMV;EBV;Influenza",16
"Brain Cancer;Celiac disease",13
"Dengue virus;Diabetes Type 1",13
"Brain Cancer;Celiac disease;Diabetes Type 1",12
"Pollen",12
"Colorectal cancer",11
"Brain Cancer;CMV;Colorectal cancer;EBV;Immunization",10
"Brain Cancer;Influenza",10
"EBV;HCV",10
"HIV;Influenza;InfluenzaA",10
"M.tuberculosis;Rasmussen encephalitis",10
"Brain Cancer;CMV;EBV;Immunization;Influenza;InfluenzaA",9
"CMV;Influenza;InfluenzaA;M.tuberculosis;Rasmussen encephalitis",9
"HIV;Systemic lupus erythematosus",9
"CMV;HCV;HCV",8
"CMV;Immunization;M.tuberculosis",8
"InfluenzaA;SelfAg",8
"Toxic epidermal necrolysis",8
"Allergy",7
"Allergy;SelfAg;SelfAg",7
"CMV;HIV;SARS-CoV-2",7
"Diabetes Type 1;M.tuberculosis",7
"MCPyV",7
"Thyrotoxicosis with diffuse goitre",7
"Brain Cancer;CMV;HCV;Rasmussen encephalitis",6
"Brain Cancer;Immunization;Inflammatory bowel disease",6
"Celiac disease;CMV;Diabetes Type 1;HCV;Immunization;Influenza;Neoantigen;SARS-CoV-2;Neoantigen",6
"EBV;HIV;SelfAg",6
"EBV;Immunization;M.tuberculosis",6
"HIV;Immunization",6
"M.tuberculosis;YFV",6
"Brain Cancer;Neoantigen;CMV;EBV;Neoantigen",5
"Celiac disease;CMV;SelfAg",5
"CMV;Diabetes Type 1;EBV;Influenza;Rasmussen encephalitis",5
"CMV;EBV;Immunization",5
"Necrotizing Vasculitis;Neoantigen;Neoantigen",5
"SARS-CoV-2;YFV;YFV",5
"Sézary disease",5
"Allergy;HIV;M.tuberculosis",4
"Brain Cancer;Clear cell renal carcinoma;CMV;Ulcerative Colitis",4
"Brain Cancer;M.tuberculosis;Celiac disease;CMV;Inflammatory bowel disease;M.tuberculosis",4
"Celiac disease;CMV;EBV;HCV;M.tuberculosis;SelfAg",4
"CMV;HCV;InfluenzaA",4
"CMV;Influenza;SARS-CoV-2",4
"Immunization;Neoantigen;Neoantigen",4
"Influenza;M.tuberculosis;Neoantigen;Neoantigen",4
"Brain Cancer;Celiac disease;Colorectal cancer;Diabetes Type 1;Immunization;Inflammatory bowel disease;Influenza;M.tuberculosis;Rasmussen encephalitis;SARS-CoV-2",3
"Brain Cancer;EBV;Rasmussen encephalitis",3
"Celiac disease;EBV;M.tuberculosis",3
"CMV;Diabetes Type 1;SelfAg",3
"CMV;EBV;HIV;Immunization",3
"CMV;EBV;SelfAg",3
"CMV;HCV",3
"CMV;YFV",3
"Diabetes Type 1",3
"EBV;Influenza",3
"HIV;M.tuberculosis",3
"HTLV-1",3
"Immunization;Influenza",3
"Immunization;Sézary disease",3
"M.tuberculosis;SARS-CoV-2",3
"Neoantigen;YFV",3
"Brain Cancer;Celiac disease;CMV;Diabetes Type 1;Rasmussen encephalitis;SelfAg",2
"Clear cell renal carcinoma",2
"CMV;Dengue virus",2
"CMV;Dengue virus;SelfAg",2
"CMV;Diabetes Type 1;Influenza;M.tuberculosis",2
"CMV;HIV;M.tuberculosis",2
"CMV;M.tuberculosis;SelfAg",2
"Diabetes Type 1;EBV;Influenza;M.tuberculosis",2
"Diabetes Type 1;Immunization;SelfAg",2
"EBV;HCV;Influenza;InfluenzaA",2
"Multiple sclerosis;SelfAg",2
"Narcolepsy;Psoriatic Arthritis",2
"Parkinson disease",2
"Celiac disease;M.tuberculosis;Rheumatoid Arthritis",1
"CMV;SelfAg;SelfAg",1
"EBV;SelfAg",1
"Influenza;Systemic lupus erythematosus",1
"InfluenzaA;M.tuberculosis",1
"OMDT-occupational medicamentosa-like dermatitis ",1
