".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","p.signif","y.position","groups","xmin","xmax"
"pct_Tscm","HUU","HEU",2,3,0,0.2,0.2,"ns","ns",8.47512,"HUU;HEU",1,2
"pct_Tscm","HUU","PreART_Entry",2,9,4.5,0.335,0.335,"ns","ns",9.47858666666667,"HUU;PreART_Entry",1,3
"pct_Tscm","HUU","PostART_Suppressed",2,4,5,0.806,0.806,"ns","ns",10.4820533333333,"HUU;PostART_Suppressed",1,4
"pct_Tscm","HUU","PostART_Unsuppressed",2,2,0,0.333,0.333,"ns","ns",11.48552,"HUU;PostART_Unsuppressed",1,5
"pct_Tscm","HEU","PreART_Entry",3,9,27,0.016,0.016,"*","*",12.4889866666667,"HEU;PreART_Entry",2,3
"pct_Tscm","HEU","PostART_Suppressed",3,4,12,0.05,0.05,"*","*",13.4924533333333,"HEU;PostART_Suppressed",2,4
"pct_Tscm","HEU","PostART_Unsuppressed",3,2,6,0.2,0.2,"ns","ns",14.49592,"HEU;PostART_Unsuppressed",2,5
"pct_Tscm","PreART_Entry","PostART_Suppressed",9,4,27,0.177,0.177,"ns","ns",15.4993866666667,"PreART_Entry;PostART_Suppressed",3,4
"pct_Tscm","PreART_Entry","PostART_Unsuppressed",9,2,6,0.552,0.552,"ns","ns",16.5028533333333,"PreART_Entry;PostART_Unsuppressed",3,5
"pct_Tscm","PostART_Suppressed","PostART_Unsuppressed",4,2,0,0.1,0.1,"ns","ns",17.50632,"PostART_Suppressed;PostART_Unsuppressed",4,5
