"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"CD7",1.92228962405862e-10,-17.7860790109778,0.64,0.743,2.63353678496031e-08,"27: GZMK+ CD8 T cell"
"CD28",2.88352965069491e-09,-6.01763333873826,0.184,0.35,3.95043562145203e-07,"27: GZMK+ CD8 T cell"
"CD38",1.37514066352741e-08,-1.01186814654487,0.945,0.815,1.88394270903256e-06,"27: GZMK+ CD8 T cell"
"IL7R",6.0787897018651e-08,-6.75970273332328,0.022,0.118,8.32794189155518e-06,"27: GZMK+ CD8 T cell"
"NT5E",2.63123663042715e-07,-7.12458314398715,0.044,0.133,3.6047941836852e-05,"27: GZMK+ CD8 T cell"
"CD52",2.78039336235968e-07,-1.46973184628387,0.243,0.418,3.80913890643276e-05,"27: GZMK+ CD8 T cell"
"CD48",5.42937942071608e-07,-1.06571637511717,0.993,0.973,7.43824980638103e-05,"27: GZMK+ CD8 T cell"
"SELP",1.10263499126147e-05,4.30059385207503,0.206,0.092,0.00151060993802822,"27: GZMK+ CD8 T cell"
"CD45RA",1.42481310381979e-05,2.32988177855805,0.096,0.202,0.00195199395223312,"27: GZMK+ CD8 T cell"
"CD45RO",5.85127750856985e-05,-0.525213189701168,0.842,0.857,0.00801625018674069,"27: GZMK+ CD8 T cell"
"CD45",8.14746141449042e-05,-1.18373975454472,1,0.994,0.0111620221378519,"27: GZMK+ CD8 T cell"
"CD244",0.000220502948399784,0.542468482055895,0.618,0.481,0.0302089039307704,"27: GZMK+ CD8 T cell"
"SLAMF6",0.000365320248690847,-0.334299751722527,0.717,0.798,0.0500488740706461,"27: GZMK+ CD8 T cell"
"CR2",0.000379667107340175,-16.6632161366506,0.062,0.124,0.0520143937056039,"27: GZMK+ CD8 T cell"
"CD8A",0.000522886146556365,4.73810753429886,0.963,0.909,0.071635402078222,"27: GZMK+ CD8 T cell"
"BTLA",0.000567131221210418,0.0362677789026575,0.029,0.076,0.0776969773058273,"27: GZMK+ CD8 T cell"
"HLA-DRA",0.000909170071687693,1.36774913622224,0.379,0.281,0.124556299821214,"27: GZMK+ CD8 T cell"
"DPP4",0.00109691953259663,-1.33625253120966,0.066,0.139,0.150277975965738,"27: GZMK+ CD8 T cell"
"SELL",0.00173099557532578,-1.90757507244288,0.412,0.519,0.237146393819632,"27: GZMK+ CD8 T cell"
"HLA-A",0.0020596516683726,-2.40645449312653,0.548,0.586,0.282172278567046,"27: GZMK+ CD8 T cell"
"ITGA2",0.00369437507775107,3.56943141263401,0.121,0.059,0.506129385651896,"27: GZMK+ CD8 T cell"
"ENTPD1",0.00515826028994991,-10.6242356204434,0.257,0.178,0.706681659723138,"27: GZMK+ CD8 T cell"
"TNFRSF9",0.00562771345082659,-0.679818701109653,0.029,0.076,0.770996742763242,"27: GZMK+ CD8 T cell"
"ANPEP",0.490803508340695,22.1948740709081,0.085,0.086,1,"27: GZMK+ CD8 T cell"
"TCR-vD2",0.120067858966661,21.0540382541663,0.037,0.041,1,"27: GZMK+ CD8 T cell"
"CD69",0.180518306472403,-20.3289981646026,0.14,0.103,1,"27: GZMK+ CD8 T cell"
"MCAM",0.271322544354097,-18.4920327379255,0.048,0.069,1,"27: GZMK+ CD8 T cell"
"IL2RA",0.229685360683541,-17.3513576057148,0.018,0.034,1,"27: GZMK+ CD8 T cell"
"TCR-vA7.2",0.119101385807622,-14.6529717041924,0.099,0.097,1,"27: GZMK+ CD8 T cell"
"GP1BB",0.0423682881475528,11.7510053257808,0.074,0.043,1,"27: GZMK+ CD8 T cell"
"CCR4",0.45626726080096,-11.1844827557578,0.055,0.056,1,"27: GZMK+ CD8 T cell"
"TNFRSF4",0.792397485342103,-11.0686003617538,0.011,0.01,1,"27: GZMK+ CD8 T cell"
"CD86",0.0711418157008191,10.2869014721286,0.173,0.155,1,"27: GZMK+ CD8 T cell"
"ITGA1",0.547092927102331,-8.69181698224355,0.324,0.289,1,"27: GZMK+ CD8 T cell"
"FCGR3A",0.802096914535952,-8.67150925497959,0.055,0.065,1,"27: GZMK+ CD8 T cell"
"CR1",0.0113517658581674,-8.23060528877352,0.092,0.15,1,"27: GZMK+ CD8 T cell"
"ITGAX",0.568439056099382,8.03828761195946,0.14,0.145,1,"27: GZMK+ CD8 T cell"
"NCR1",0.753854602299572,-7.67929647013123,0.04,0.041,1,"27: GZMK+ CD8 T cell"
"B3GAT1",0.63405075248299,-7.62120451722781,0.202,0.204,1,"27: GZMK+ CD8 T cell"
"Human-Ig",0.0803480522751484,-6.93811909910062,0.007,0.027,1,"27: GZMK+ CD8 T cell"
"ITGB7",0.150485057221897,-6.47002135924721,0.423,0.36,1,"27: GZMK+ CD8 T cell"
"IGKC",0.401568547450883,-6.0325346296303,0.004,0.012,1,"27: GZMK+ CD8 T cell"
"CLEC12A",0.214727285337794,-5.90072049206918,0.158,0.167,1,"27: GZMK+ CD8 T cell"
"CD33",0.768354777931655,-5.39832152507211,0.173,0.158,1,"27: GZMK+ CD8 T cell"
"IGHD",0.199374298305841,-5.14657248136155,0.026,0.035,1,"27: GZMK+ CD8 T cell"
"TNFRSF13C",0.161211754145384,-4.93122920323404,0.018,0.04,1,"27: GZMK+ CD8 T cell"
"PECAM1",0.0266833142574227,4.1683712248507,0.165,0.221,1,"27: GZMK+ CD8 T cell"
"CD82",0.0232243049778511,-4.1469440507424,0.004,0.027,1,"27: GZMK+ CD8 T cell"
"NCAM1",0.865986050023583,-3.61564367904975,0.037,0.041,1,"27: GZMK+ CD8 T cell"
"KIR2DL1",0.339741784505587,3.54093336817663,0.007,0.01,1,"27: GZMK+ CD8 T cell"
"KIR3DL1",0.974584721349161,3.48126349726337,0.055,0.057,1,"27: GZMK+ CD8 T cell"
"IGHM",0.427840422722387,-3.3907925266877,0.007,0.016,1,"27: GZMK+ CD8 T cell"
"ITGA6",0.301525575793642,3.18690326722082,0.048,0.028,1,"27: GZMK+ CD8 T cell"
"CD36",0.0546013780129861,3.10703619106858,0.059,0.027,1,"27: GZMK+ CD8 T cell"
"CD101",0.887577233423223,-3.09011289818951,0.419,0.435,1,"27: GZMK+ CD8 T cell"
"CD99",0.0156223875572167,-2.78288712504176,0.989,0.958,1,"27: GZMK+ CD8 T cell"
"CD14",0.1616000706255,-2.69759860004288,0.015,0.035,1,"27: GZMK+ CD8 T cell"
