"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"SLAMF6",7.05237853196919e-07,-0.922337391069846,0.81,0.741,9.66175858879779e-05,"21: Gamma Delta 2 T cells"
"IL7R",1.74536963829066e-06,-1.87436439159799,0.218,0.313,0.00023911564044582,"21: Gamma Delta 2 T cells"
"ITGA4",8.13233536161678e-06,0.395480127935935,0.822,0.733,0.0011141299445415,"21: Gamma Delta 2 T cells"
"KLRD1",4.99941326967308e-05,1.29588944869791,0.519,0.423,0.00684919617945212,"21: Gamma Delta 2 T cells"
"KLRG1",0.000111932058086787,0.720706525425639,0.923,0.867,0.0153346919578898,"21: Gamma Delta 2 T cells"
"ITGAL",0.000300499141609725,0.780034329551421,0.99,0.978,0.0411683824005323,"21: Gamma Delta 2 T cells"
"HLA-A",0.000560739947750988,-2.76151393465813,0.458,0.496,0.0768213728418854,"21: Gamma Delta 2 T cells"
"C5AR1",0.000574047693466901,-2.3751787254112,0.004,0.027,0.0786445340049655,"21: Gamma Delta 2 T cells"
"ITGB7",0.000609722017530887,-0.317205685931595,0.339,0.257,0.0835319164017315,"21: Gamma Delta 2 T cells"
"CD45RA",0.000646147570255428,-3.01742377338565,0.294,0.353,0.0885222171249936,"21: Gamma Delta 2 T cells"
"KLRB1",0.000700963664764077,1.58436452770529,0.686,0.646,0.0960320220726785,"21: Gamma Delta 2 T cells"
"CD28",0.000917485951337606,-1.94137001140543,0.429,0.421,0.125695575333252,"21: Gamma Delta 2 T cells"
"CD5",0.00116496400739825,-3.98483304338226,0.535,0.567,0.159600069013561,"21: Gamma Delta 2 T cells"
"ITGB2",0.00204384381899612,-0.910883657869373,0.981,0.967,0.280006603202468,"21: Gamma Delta 2 T cells"
"CD7",0.00287064421743925,-8.4092322031953,0.897,0.86,0.393278257789177,"21: Gamma Delta 2 T cells"
"CD45",0.00346399087148876,0.651419616021863,0.984,0.962,0.47456674939396,"21: Gamma Delta 2 T cells"
"CD99",0.0035316760808471,1.13187511080106,0.917,0.911,0.483839623076053,"21: Gamma Delta 2 T cells"
"ITGB1",0.00384111635834785,0.667120289267207,0.302,0.356,0.526232941093656,"21: Gamma Delta 2 T cells"
"CD4",0.00407398420852759,-4.09835581165036,0.045,0.073,0.558135836568279,"21: Gamma Delta 2 T cells"
"HLA-E",0.00415769430654119,-2.58401437252221,0.046,0.072,0.569604119996143,"21: Gamma Delta 2 T cells"
"NCAM1",0.00501370137402284,-3.21532613158594,0.113,0.071,0.686877088241129,"21: Gamma Delta 2 T cells"
"SELL",0.00557601821222037,-4.58636733009842,0.438,0.513,0.76391449507419,"21: Gamma Delta 2 T cells"
"KIR3DL1",0.112013003207773,-21.419170432696,0.049,0.07,1,"21: Gamma Delta 2 T cells"
"CD52",0.0112641455607876,9.42453144961525,0.224,0.267,1,"21: Gamma Delta 2 T cells"
"TCR-vA7.2",0.214532544407852,-9.41971113581253,0.12,0.105,1,"21: Gamma Delta 2 T cells"
"CD8A",0.0158529064009044,-9.35844972623782,0.284,0.266,1,"21: Gamma Delta 2 T cells"
"ITGAE",0.292587319845993,-8.6800365031316,0.059,0.072,1,"21: Gamma Delta 2 T cells"
"SIGLEC7",0.629005055854302,-7.9154374418133,0.117,0.106,1,"21: Gamma Delta 2 T cells"
"CCR4",0.0160125775801703,-7.79274575744797,0.039,0.069,1,"21: Gamma Delta 2 T cells"
"NCR1",0.326607047790603,-7.58508117516143,0.013,0.019,1,"21: Gamma Delta 2 T cells"
"CR1",0.357775143363682,-7.35514668146529,0.086,0.089,1,"21: Gamma Delta 2 T cells"
"FCGR3A",0.858172497653066,-6.31421786277017,0.094,0.095,1,"21: Gamma Delta 2 T cells"
"PECAM1",0.22767521796057,-6.29944947635576,0.085,0.086,1,"21: Gamma Delta 2 T cells"
"ICOS",0.0713419691137603,6.21406153819926,0.15,0.179,1,"21: Gamma Delta 2 T cells"
"CCR6",0.083485503713328,-5.24713112212598,0.094,0.122,1,"21: Gamma Delta 2 T cells"
"CD36",0.35089304697864,-5.06983415085688,0.062,0.056,1,"21: Gamma Delta 2 T cells"
"IL3RA",0.0390805164760339,-5.01263698875394,0.028,0.044,1,"21: Gamma Delta 2 T cells"
"CD19",0.884499263783945,-4.89258925039105,0.051,0.055,1,"21: Gamma Delta 2 T cells"
"DPP4",0.399101643168759,-4.58179920162968,0.519,0.5,1,"21: Gamma Delta 2 T cells"
"TCR-vD2",0.041207930556532,4.49476590674242,0.831,0.791,1,"21: Gamma Delta 2 T cells"
"ITGAX",0.2109789609194,-4.10127622477289,0.143,0.158,1,"21: Gamma Delta 2 T cells"
"CR2",0.0558729930987612,-4.09667399245792,0.076,0.09,1,"21: Gamma Delta 2 T cells"
"ITGA1",0.737031821046219,3.09701739116671,0.181,0.182,1,"21: Gamma Delta 2 T cells"
"MS4A1",0.0395218294680646,-2.9977901601384,0.006,0.019,1,"21: Gamma Delta 2 T cells"
"TFRC",0.763801341716251,-2.9644990339422,0.042,0.046,1,"21: Gamma Delta 2 T cells"
"IGHM",0.267551536352511,-2.5620140101969,0.01,0.019,1,"21: Gamma Delta 2 T cells"
"KLRK1",0.0681881143555847,-2.52367239215887,0.024,0.04,1,"21: Gamma Delta 2 T cells"
