"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"ITGA4",1.56909430769124e-09,0.567985805424854,0.836,0.762,2.149659201537e-07,"9: TRDV1+ CTL-like"
"CD244",5.26673403748084e-08,-0.403350495327705,0.758,0.676,7.21542563134875e-06,"9: TRDV1+ CTL-like"
"ITGB2",2.41686442097404e-07,-3.22321069336544,0.972,0.95,3.31110425673443e-05,"9: TRDV1+ CTL-like"
"ITGAL",2.04976748536285e-06,-8.8425851085008,0.988,0.977,0.00028081814549471,"9: TRDV1+ CTL-like"
"B3GAT1",3.28126996086979e-06,-0.956462314180353,0.648,0.578,0.000449533984639162,"9: TRDV1+ CTL-like"
"ADGRG1",4.30965161669062e-06,-3.67930046911178,0.847,0.786,0.000590422271486615,"9: TRDV1+ CTL-like"
"CD27",8.37476502956363e-06,1.28432659371742,0.086,0.13,0.00114734280905022,"9: TRDV1+ CTL-like"
"FCGR3A",2.53156940543716e-05,-5.18748673352793,0.378,0.307,0.00346825008544891,"9: TRDV1+ CTL-like"
"CD3D",2.53381147793957e-05,1.36955692525828,0.882,0.849,0.00347132172477721,"9: TRDV1+ CTL-like"
"KIR2DL3",4.70934245561418e-05,-11.3356842240041,0.225,0.256,0.00645179916419142,"9: TRDV1+ CTL-like"
"SELL",0.000383260369058959,-3.33341020443582,0.33,0.386,0.0525066705610774,"9: TRDV1+ CTL-like"
"CD58",0.00059376592532026,1.34069117075287,0.114,0.079,0.0813459317688756,"9: TRDV1+ CTL-like"
"ITGB7",0.00143217792513657,-0.607080300891445,0.093,0.071,0.196208375743711,"9: TRDV1+ CTL-like"
"TIGIT",0.00152521211470245,-3.25901325469233,0.157,0.194,0.208954059714236,"9: TRDV1+ CTL-like"
"CD4",0.00419022859097264,1.10178748502525,0.038,0.062,0.574061316963252,"9: TRDV1+ CTL-like"
"KLRD1",0.00420610710158479,-1.20627349692691,0.573,0.524,0.576236672917116,"9: TRDV1+ CTL-like"
"CD28",0.00430277563824006,-5.18478823779207,0.022,0.034,0.589480262438889,"9: TRDV1+ CTL-like"
"CD7",0.00484317112967889,-15.4665511492837,0.763,0.722,0.663514444766008,"9: TRDV1+ CTL-like"
"LAG3",0.00530833998882625,0.243461286597154,0.054,0.035,0.727242578469197,"9: TRDV1+ CTL-like"
"CD101",0.00653631273343832,0.520804350550938,0.183,0.149,0.89547484448105,"9: TRDV1+ CTL-like"
"TCR-vD2",0.908710331216364,29.1231159338169,0.069,0.069,1,"9: TRDV1+ CTL-like"
"CD33",0.233317425079265,-12.4754635493095,0.161,0.142,1,"9: TRDV1+ CTL-like"
"CD22",0.0392025980411565,-11.547897090486,0.065,0.047,1,"9: TRDV1+ CTL-like"
"ITGAE",0.0216816763561401,10.1446295399317,0.054,0.036,1,"9: TRDV1+ CTL-like"
"FCER1A",0.355644137519915,9.70147394949393,0.01,0.008,1,"9: TRDV1+ CTL-like"
"ENTPD1",0.866590670713304,-9.2023680948474,0.089,0.085,1,"9: TRDV1+ CTL-like"
"CR2",0.0640992408918447,-9.01450789272691,0.07,0.082,1,"9: TRDV1+ CTL-like"
"CD86",0.193915850137627,-8.61614520122298,0.086,0.076,1,"9: TRDV1+ CTL-like"
"CLEC12A",0.0661645017952396,-8.26357730327658,0.166,0.14,1,"9: TRDV1+ CTL-like"
"KIR3DL1",0.345856379357161,-7.11688632475264,0.204,0.187,1,"9: TRDV1+ CTL-like"
"ICAM1",0.254300792276071,-5.82676929848624,0.238,0.224,1,"9: TRDV1+ CTL-like"
"SIGLEC7",0.988645492545746,-5.80558748976829,0.158,0.158,1,"9: TRDV1+ CTL-like"
"CCR6",0.257237236024771,-4.71160162123417,0.011,0.017,1,"9: TRDV1+ CTL-like"
"NCAM1",0.0968222496499307,-4.41017343374473,0.11,0.09,1,"9: TRDV1+ CTL-like"
"ICOS",0.0545496353943617,-4.35486391252691,0.025,0.039,1,"9: TRDV1+ CTL-like"
"CR1",0.8439118642914,4.3328791264295,0.112,0.106,1,"9: TRDV1+ CTL-like"
"TCR-vA7.2",0.621946453318663,-3.88170549339724,0.045,0.052,1,"9: TRDV1+ CTL-like"
