"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"ITGA4",1.28191059049782e-11,1.06665942048602,0.841,0.754,1.75621750898201e-09,"8: CTL-like"
"ITGB2",3.53217728344984e-06,-5.5452512683369,0.981,0.964,0.000483908287832628,"8: CTL-like"
"CD244",7.17874828019204e-06,0.211025277815384,0.58,0.507,0.000983488514386309,"8: CTL-like"
"ADGRG1",7.99315302133279e-06,-0.204161644943992,0.802,0.739,0.00109506196392259,"8: CTL-like"
"CD3D",1.73408059769472e-05,-2.65135135947273,0.95,0.932,0.00237569041884177,"8: CTL-like"
"CD7",2.32523019571426e-05,-12.2266695893104,0.571,0.552,0.00318556536812854,"8: CTL-like"
"TIGIT",0.000279202836756664,3.45554786315209,0.094,0.134,0.0382507886356629,"8: CTL-like"
"CD52",0.000951198082045043,-0.371185648271062,0.185,0.229,0.130314137240171,"8: CTL-like"
"B3GAT1",0.00100548914161788,-7.6759822808729,0.697,0.643,0.137752012401649,"8: CTL-like"
"CD47",0.00133624957432716,-1.42323347933111,0.128,0.157,0.18306619168282,"8: CTL-like"
"ITGAL",0.00257755572083108,-0.490891350369841,0.984,0.98,0.353125133753858,"8: CTL-like"
"PECAM1",0.00400383749775921,-7.29988215497931,0.033,0.05,0.548525737193012,"8: CTL-like"
"CD99",0.00431136096595847,-4.52470348546389,0.943,0.926,0.59065645233631,"8: CTL-like"
"CD38",0.0045765700046114,-0.546064477384863,0.495,0.452,0.626990090631762,"8: CTL-like"
"ICOS",0.00630703138093828,-1.71988249868698,0.1,0.073,0.864063299188545,"8: CTL-like"
"MCAM",0.497124405128423,-21.5079447121331,0.056,0.049,1,"8: CTL-like"
"KIR3DL1",0.844145823617667,-17.5182116957189,0.075,0.072,1,"8: CTL-like"
"SIGLEC7",0.717489001318764,-15.8298158452465,0.098,0.104,1,"8: CTL-like"
"IGHD",0.393183481157774,-14.9703683506238,0.034,0.042,1,"8: CTL-like"
"ITGA1",0.108155463637905,-14.3579895446771,0.134,0.136,1,"8: CTL-like"
"FCGR3A",0.0189063227153973,-13.1357231609989,0.146,0.118,1,"8: CTL-like"
"CD33",0.391606174434969,-12.8473997582695,0.119,0.107,1,"8: CTL-like"
"CD44",0.876985549603736,-12.2456643082493,0.916,0.912,1,"8: CTL-like"
"CLEC12A",0.158023875213771,-12.2282366782987,0.124,0.106,1,"8: CTL-like"
"Mouse-IgG2b",0.409837847110519,9.77115476445531,0.012,0.012,1,"8: CTL-like"
