"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"ENTPD1",0.000390634828348479,-0.470096512036158,0.127,0.05,0.0535169714837416,"30: DN T cell_6"
"KIR2DL1",0.00282287742273345,-7.73623693544833,0.171,0.222,0.386734206914482,"30: DN T cell_6"
"CD28",0.00364765006131464,-2.83772932652248,0.02,0.077,0.499728058400106,"30: DN T cell_6"
"CX3CR1",0.0045388088916545,-2.85290543045814,0.041,0.097,0.621816818156667,"30: DN T cell_6"
"CR1",0.0056279902005907,-4.63301376434864,0.139,0.083,0.771034657480926,"30: DN T cell_6"
"B3GAT1",0.123411441921478,-17.3497877278111,0.188,0.22,1,"30: DN T cell_6"
"FCGR2A",0.219220858724377,17.149954082441,0.086,0.095,1,"30: DN T cell_6"
"TCR-vD2",0.443775681139737,-12.7128246620731,0.053,0.046,1,"30: DN T cell_6"
"CD4",0.335223614276824,-10.9202594532402,0.037,0.03,1,"30: DN T cell_6"
"NCAM1",0.641224597921166,-9.62203607124346,0.527,0.49,1,"30: DN T cell_6"
"CD27",0.728338055421522,-9.58986320496105,0.065,0.073,1,"30: DN T cell_6"
"KLRD1",0.307265623042736,-7.52957217845946,0.731,0.679,1,"30: DN T cell_6"
"CD7",0.900355657395694,-6.96671696576897,0.792,0.798,1,"30: DN T cell_6"
"DPP4",0.233732143175372,-6.35960462851118,0.045,0.056,1,"30: DN T cell_6"
"ITGA6",0.155183584886577,-5.69398247268389,0.424,0.45,1,"30: DN T cell_6"
"CD22",0.84082074246188,-5.66404699346081,0.033,0.036,1,"30: DN T cell_6"
"IGHM",0.327305777905616,-5.21408347937622,0.004,0.014,1,"30: DN T cell_6"
"MS4A1",0.196698990112935,-4.77811422367222,0.004,0.014,1,"30: DN T cell_6"
"ITGAM",0.637283787425741,-4.77714342221063,0.249,0.218,1,"30: DN T cell_6"
"ITGAE",0.379009442679833,-4.59467328697058,0.11,0.141,1,"30: DN T cell_6"
"CD79B",0.127679330770079,4.44056259785385,0.012,0.002,1,"30: DN T cell_6"
"CD5",0.466276033357314,-4.41360208892322,0.057,0.077,1,"30: DN T cell_6"
"CTLA4",0.684638395314067,-4.29528626354406,0.008,0.01,1,"30: DN T cell_6"
"CD2",0.72556943599217,-3.99864646468706,0.437,0.466,1,"30: DN T cell_6"
"C5AR1",0.400944850296947,-3.93534041894387,0.037,0.046,1,"30: DN T cell_6"
"Mouse-IgG2b",0.619521575044868,3.67138007949376,0.024,0.02,1,"30: DN T cell_6"
"IL3RA",0.519574063890319,-3.61007870615062,0.073,0.081,1,"30: DN T cell_6"
"CD8A",0.572803713919024,-3.60907123662703,0.347,0.308,1,"30: DN T cell_6"
"CXCR3",0.0166707090588992,3.54005941173845,0.012,0,1,"30: DN T cell_6"
"SELL",0.0519333250512794,-3.38358500325525,0.269,0.29,1,"30: DN T cell_6"
"CCR4",0.254910411014809,-3.12908719618142,0.094,0.135,1,"30: DN T cell_6"
"SELP",0.149443415981493,-2.99937610372051,0.584,0.51,1,"30: DN T cell_6"
"IGHD",0.270915144652528,-2.96313583769832,0.024,0.04,1,"30: DN T cell_6"
