"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"CX3CR1",2.38955689371181e-29,-1.06465818054614,0.079,0.161,3.27369294438518e-27,"3: IL2RB+ NK cell"
"CD5",5.63271678888467e-22,-2.69285152505588,0.034,0.078,7.71682200077199e-20,"3: IL2RB+ NK cell"
"CD4",3.70288897804385e-21,-4.71266166387677,0.021,0.054,5.07295789992007e-19,"3: IL2RB+ NK cell"
"CD28",1.05723915551754e-20,-3.29607482316069,0.016,0.052,1.44841764305903e-18,"3: IL2RB+ NK cell"
"CD45",8.34195262026578e-19,-0.925540003391843,0.861,0.893,1.14284750897641e-16,"3: IL2RB+ NK cell"
"CD27",1.5196044946268e-15,-9.55916236447777,0.047,0.082,2.08185815763872e-13,"3: IL2RB+ NK cell"
"NCR1",4.13389753417696e-15,0.160419126289968,0.789,0.742,5.66343962182243e-13,"3: IL2RB+ NK cell"
"FCGR3A",7.75695917671955e-15,3.34209722287139,0.896,0.879,1.06270340721058e-12,"3: IL2RB+ NK cell"
"CD45RA",3.07822618173308e-14,-0.397675601594596,0.974,0.967,4.21716986897431e-12,"3: IL2RB+ NK cell"
"DPP4",7.47413076458022e-14,-4.74323058817228,0.018,0.043,1.02395591474749e-11,"3: IL2RB+ NK cell"
"TCR-AB",1.25881759176645e-13,-1.38532623948535,0.03,0.059,1.72458010072003e-11,"3: IL2RB+ NK cell"
"ADGRG1",2.2824253975171e-13,-1.20174151029147,0.742,0.718,3.12692279459843e-11,"3: IL2RB+ NK cell"
"ICOS",1.25202961920231e-12,-3.84604424173248,0.025,0.052,1.71528057830716e-10,"3: IL2RB+ NK cell"
"CD3D",5.61517259785846e-12,-0.545444989593292,0.07,0.115,7.69278645906609e-10,"3: IL2RB+ NK cell"
"Human-Ig",1.5806060284959e-11,-1.33992817961356,0.019,0.047,2.16543025903938e-09,"3: IL2RB+ NK cell"
"IL7R",7.68145379335919e-11,-0.116812061479929,0.014,0.035,1.05235916969021e-08,"3: IL2RB+ NK cell"
"CD8A",1.06521776931876e-10,-9.53173705277829,0.286,0.328,1.45934834396671e-08,"3: IL2RB+ NK cell"
"CD99",1.1394605864101e-10,0.203063258998249,0.856,0.88,1.56106100338183e-08,"3: IL2RB+ NK cell"
"CD45RO",4.76287816630874e-10,-1.99953934252768,0.009,0.029,6.52514308784297e-08,"3: IL2RB+ NK cell"
"HLA-A",1.46772063727788e-09,0.29534968645355,0.508,0.575,2.0107772730707e-07,"3: IL2RB+ NK cell"
