"","Suppressed","Unsuppressed","Pre-ART"
"Naïve CD8",0.201248622842453,0.186884458323325,0.314814814814815
"Naïve CD8 2",0.0235034887991186,0.0509248138361758,0.167208143816331
"Naïve CD8 3",0.126882115313992,0.0987268796540956,0.0239332900151614
"Naïve CD8 4",0.0602276900477415,0.0156137400912803,0.0232835174355642
"Tscm CD8",0.00238707308116048,0.00840739851068941,0.0422352176738142
"Naïve Intermediate CD8",0.036907822254866,0.00336295940427576,0.216157678145982
"TEM CD8",0.139001101726037,0.168388181599808,0.0477582846003899
"TEMRA CD8",0.274880646345942,0.344463127552246,0.153346328784925
"CD16+ Effector CD8",0.0758354755784062,0.0857554648090319,0.00974658869395711
"KIR+ innate-like CD8",0.0591259640102828,0.0374729762190728,0.00151613601906
