"","Naïve CD8","Naïve CD8 2","Naïve CD8 3","Naïve CD8 4","Tscm CD8","Naïve Intermediate CD8","TEM CD8","TEMRA CD8","CD16+ Effector CD8","KIR+ innate-like CD8"
"CD45RA",0.718277511935267,0.760765144676608,0.834982353934153,0.45289094407622,1,0.881746507431219,0,0.158279314030006,0.313832205304923,0.302301420883937
"SELL",1,0.479590052594619,0.146337629892136,0.671967173117625,0.612839241641793,0.89353143033995,0.304007354867931,0,0.000380918691992257,0.210257475009446
"CD7",0.727468670125435,0.813992353141367,0.589216613974239,0.416366348606837,1,0.961296608489496,0.365564763184138,0,0.0803468913712565,0.157536449736648
"IL7R",0.514044477981399,0.482682605415096,0.223315540998386,0.298842091925243,0.646943606049691,1,0.0657841410538488,0,0.00619879246905671,0.00287739982544928
"CD45RO",0,0,0,0,0,1,0.788652549736743,0.206648818666418,0.157365955932609,0.0864308997334303
"CD44",0.74115390896161,0.371863915400979,0.717287402000364,0.206537373250795,0.592711026435851,0.827188076013035,1,0.27818666578119,0.0140089159933383,0
"CD27",1,0.611484504081716,0.92218170306371,0.620498056762514,0.689393457282798,0.901345821431709,0.624976848702192,0.0158101146617064,0.00138010158276874,0
"CD28",0.08389880724861,0.275748852390432,0.0877743504469627,0.168426595441483,1,0.719018576674803,0.182053544470143,0,0.0370473152432748,0.00240381850400622
"ICOS",0.166616251394503,0.437885276460591,0.182673538630743,0.170886649527498,1,0.93060865853281,0.351386354484333,0.0219362308461878,0.0793845710350276,0
"ITGB7",0.477986630025664,0.379081646956966,1,0.384264984614575,0.281476795578907,0.80869227198666,0.7964873502097,0.0338093345763873,0.0100262691194516,0
"B3GAT1",0.00177676657342121,0,0.00286732832321691,0.0035372490619133,0.00386289791528352,0.00163173536147247,0.0482679655783144,1,0.960119860429223,0.905772315281858
"KLRG1",0,0.00484242499827266,0.0168357608379882,0.0742524897182508,0.148720261623929,0.0355728902028632,1,0.68961583719285,0.830273689936607,0.722609662957563
"CX3CR1",0.00689223545970377,0.12103600813579,0,0.0613787233199531,0.609622938588999,0,0.0613776227400818,1,0.33130344623865,0.0880928927581358
"TIGIT",0.00712814444263278,0.0219686582990771,0,0.0289939926084135,0.0629427915522154,0.0485994855301578,1,0.429138809031111,0.341103386675639,0.2663015621903
"PDCD1",0.00399648569998932,0.000599888321097073,0,0.0205712152650996,0.00718768743993454,0.0397008943184043,1,0.241258337219683,0.264369224607426,0.131156348978366
"LAG3",0.0216215236510143,0,0.10547065143789,0.0339841522130063,0.119783399597067,0.081837800188802,1,0.200731022886752,0.29864957517785,0.600536695249859
"ENTPD1",0.0323003989849094,0.0501126496035421,0.112119325825063,0.086345014753519,0,0.0472022569408599,1,0.196222514833099,0.379527181321895,0.133905502604889
"NT5E",0.525027961979363,0.781209734816065,0.679717139616208,0.397984176223441,0.932330368476766,1,0.0894729078551921,0.00315967984791164,0,0.0121163505925237
"CD38",0.163945658471432,0.769922346053242,0.208457918575308,0,0.831750927011779,0.986830722411255,1,0.267841566989374,0.301258368465385,0.400574679961832
"CD69",0,0.0716528017879695,0.679496303484925,0.327820052492461,0.72131401361455,0.0311156097162633,1,0.383902714117944,0.645748980530366,0.42023133375898
"FAS",0,0,0,0,1,0.357303303246795,0.596245326330308,0.151947795839435,0.202618660257117,0.169170597379861
"CXCR3",0.043910975632901,0.416971452706496,0.0141695064348564,0.302460551691887,1,0.484059697802805,0.451621689637994,0.0914449864627771,0,0.144844959137869
"ITGA1",0,0.0133762606388091,0.11187881889254,0.244249563470539,0.578015349179503,0.377299507199512,1,0.288485330291246,0.135715076234641,0.303604393509864
"KIR3DL1",0,0.000123652811728169,0.00172796731377857,0.00478799860642822,0.00183899547023,0.000547808969727463,0.0114752702279151,0.0086481778768091,0.0196492415147805,1
"NCAM1",0.0031074739878165,0.0373486061583396,0.000125562855514725,0.251442518897939,0.199719290815685,0,0.206019130835981,0.0506746367401108,1,0.895736988986635
"FCGR3A",0,0.00583710929865364,0.00349323838828462,0.0275681189915502,0.0612812365251509,0.00379885456816978,0.0577001888316143,0.174499456276608,1,0.896035541330293
"SIGLEC7",0.0374974014823555,0,0.0432158339562767,0.249190700740706,0.389448355166591,0.016347117203793,0.190033758785995,0.171564208428112,1,0.195808110407494
"KLRD1",0.00150299277906411,0.00869974959781399,0.00801141973641251,0.0390427604295245,0.0293704624510918,0,0.355245870882157,0.359869652660808,0.652103855413464,1
"KLRB1",0.0148106688741012,0.128859008715625,0,0.0839286791160489,1,0.164479419411567,0.155377848951941,0.0457165908874681,0.205990121541124,0.00635853200871933
"TCR-AB",0.178030408046506,0.230308405582892,0.261066062998203,0,1,0.826178554065723,0.324184249992498,0.806517811755786,0.119345409534288,0.406253801049563
