"","Suppressed","Unsuppressed","Pre-ART"
"Naïve CD8",0.229240744614097,0.162727462873876,0.608031792512027
"Naïve CD8 2",0.0679405520169851,0.112526539278132,0.819532908704883
"Naïve CD8 3",0.522297808012094,0.310657596371882,0.167044595616024
"Naïve CD8 4",0.539473684210526,0.106907894736842,0.353618421052632
"Tscm CD8",0.0296803652968037,0.0799086757990868,0.89041095890411
"Naïve Intermediate CD8",0.0909090909090909,0.00633197648123021,0.902758932609679
"TEM CD8",0.398630858346498,0.369141653501843,0.232227488151659
"TEMRA CD8",0.344375431331953,0.329882677708765,0.325741890959282
"CD16+ Effector CD8",0.480232558139535,0.415116279069767,0.104651162790698
"KIR+ innate-like CD8",0.654471544715447,0.317073170731707,0.0284552845528455
