"","CP018_2m_A","CP018_2m_B","CP018_90m_A","CP018_90m_B"
"CP018_2m_A",1,0.991326615098827,0.982132144460211,0.978885212222334
"CP018_2m_B",0.991326615098827,1,0.980295213487794,0.973090052095267
"CP018_90m_A",0.982132144460211,0.980295213487794,1,0.993370235948456
"CP018_90m_B",0.978885212222334,0.973090052095267,0.993370235948456,1
