"","CP018_2m_A","CP018_2m_B","CP018_90m_A","CP018_90m_B"
"CP018_2m_A",1,0.992370202387545,0.983735860825708,0.980625230052693
"CP018_2m_B",0.992370202387545,1,0.982232492404776,0.97564358962529
"CP018_90m_A",0.983735860825708,0.982232492404776,1,0.99405268374385
"CP018_90m_B",0.980625230052693,0.97564358962529,0.99405268374385,1
