"Timepoint","Replicate","Category","n","pct"
"2m","A","G1",646,68.9434364994664
"2m","A","G2M",136,14.5144076840982
"2m","A","S",155,16.5421558164354
"2m","B","G1",1331,65.2450980392157
"2m","B","G2M",272,13.3333333333333
"2m","B","S",437,21.421568627451
"90m","A","G1",1002,64.5202833226014
"90m","A","G2M",243,15.6471345782357
"90m","A","S",308,19.8325820991629
"90m","B","G1",385,64.0599001663894
"90m","B","G2M",95,15.8069883527454
"90m","B","S",121,20.1331114808652
