"Timepoint","Replicate","Category","n","pct"
"2m","A","B intermediate",2,0.213447171824973
"2m","A","CD4 Naive",3,0.32017075773746
"2m","A","CD4 Proliferating",10,1.06723585912487
"2m","A","CD4 TCM",45,4.8025613660619
"2m","A","CD8 Naive",633,67.5560298826041
"2m","A","CD8 Proliferating",26,2.77481323372465
"2m","A","CD8 TCM",8,0.853788687299893
"2m","A","CD8 TEM",123,13.1270010672359
"2m","A","HSPC",1,0.106723585912487
"2m","A","MAIT",27,2.88153681963714
"2m","A","NK",1,0.106723585912487
"2m","A","NK Proliferating",44,4.69583778014941
"2m","A","Treg",2,0.213447171824973
"2m","A","dnT",2,0.213447171824973
"2m","A","gdT",10,1.06723585912487
"2m","B","B intermediate",4,0.196078431372549
"2m","B","CD4 Naive",22,1.07843137254902
"2m","B","CD4 Proliferating",9,0.441176470588235
"2m","B","CD4 TCM",67,3.2843137254902
"2m","B","CD8 Naive",1616,79.2156862745098
"2m","B","CD8 Proliferating",24,1.17647058823529
"2m","B","CD8 TCM",16,0.784313725490196
"2m","B","CD8 TEM",181,8.87254901960784
"2m","B","HSPC",1,0.0490196078431373
"2m","B","MAIT",25,1.22549019607843
"2m","B","NK",1,0.0490196078431373
"2m","B","NK Proliferating",40,1.96078431372549
"2m","B","Plasmablast",1,0.0490196078431373
"2m","B","dnT",11,0.53921568627451
"2m","B","gdT",22,1.07843137254902
"90m","A","B intermediate",1,0.0643915003219575
"90m","A","CD14 Mono",3,0.193174500965872
"90m","A","CD4 Naive",6,0.386349001931745
"90m","A","CD4 Proliferating",39,2.51126851255634
"90m","A","CD4 TCM",20,1.28783000643915
"90m","A","CD8 Naive",880,56.6645202833226
"90m","A","CD8 Proliferating",35,2.25370251126851
"90m","A","CD8 TCM",105,6.76110753380554
"90m","A","CD8 TEM",370,23.8248551191243
"90m","A","MAIT",47,3.026400515132
"90m","A","NK Proliferating",42,2.70444301352222
"90m","A","dnT",1,0.0643915003219575
"90m","A","gdT",4,0.25756600128783
"90m","B","B intermediate",2,0.332778702163062
"90m","B","CD14 Mono",1,0.166389351081531
"90m","B","CD4 Proliferating",25,4.15973377703827
"90m","B","CD4 TCM",8,1.33111480865225
"90m","B","CD8 Naive",294,48.91846921797
"90m","B","CD8 Proliferating",30,4.99168053244592
"90m","B","CD8 TCM",26,4.3261231281198
"90m","B","CD8 TEM",162,26.955074875208
"90m","B","MAIT",17,2.82861896838602
"90m","B","NK",1,0.166389351081531
"90m","B","NK Proliferating",33,5.49084858569052
"90m","B","dnT",1,0.166389351081531
"90m","B","gdT",1,0.166389351081531
