"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20","g21","g22","g23","g24","g25","g26","g27","g28","g29","g30","g31","g32","g33"
"CD86",0.167863948136909,0.0344065321707202,0.0491418351215195,0.0495826580431617,1.28596251126784,0.166823005551958,0.129564884644338,43259.7048378272,3276.19020767991,0.0874380045905531,0.0606580791604301,13.3975513088038,0.115226409515019,0.0273078401522717,0.688384044233899,0.0391620092252835,10495286.510061,0.0628373568776248,4.13090375425054,28270.8346571297,0.0293370048235726,0.0168688617293979,0.0948303423621566,0.0253785766131893,11694.6445607375,0.0205558562778362,0.014540085824412,0.192043382149701,0.286721942482094,2294.25058952374,21623926619.1789,2.09172785788427,0.0308048122493044,3.26347187028149
"CD274",3.06678611740061e-05,0.000281654492271681,0.0255220970644,0.0398649992583575,0.000257069612297242,3.98833274112977e-05,0.000509998044721489,0.0100160800581828,0.250755335150789,0,0,0.00180848387239905,0.000169085874796748,0.000386058865198675,0.00363505414582536,0.00320597017719172,0.385535091006633,0,0.00192249623643247,0.159889366575356,0,0.000148001159583027,0,0.000428315767236789,0.0133671412597006,0.000177509291196233,0,0.00331632083672069,0,0.0236536455272819,0.277123397506499,0,0,0
"TNFRSF14",0.00324836818490232,7.86671467947532e-05,0.00115800711208712,0.000776939072373626,0.00538893024356093,0.000412780536537261,0.00206310606143779,0.00528354298898665,0.00211523605397947,0.000391190620974474,0.00171215804257328,0.00680113039301811,0.00152888546862623,9.315548457699e-05,0.00233244289217754,0,0.00577341971770732,0.0050326228688502,0.00284980689753572,0.0059513571707744,0.000219583233270492,0.00074702106322158,0.00130254192685235,0,0.00524440219810661,0.000260537820122487,0.000118681245474501,0.00259062369284436,0,0,0,0.0090122993711732,0.000157904483812118,0
"PVR",0.00540565187762236,0.00386795542820086,0.00464170187889889,0.0056245550364162,0.00395198091351148,0.00402873623513456,0.00384296247492584,0.00484139841857835,0.194228002793264,0.0050950478199025,0.00254733432418881,0.00970403683654051,0.00432905628688045,0.000580103636802603,0.0133891917722168,0.00176067538735991,0.0383344369003252,0.00275214505008181,0.00728201829023318,0.00568988451764011,0.00203182760289526,0.00613748993005916,0.00915210577034634,0.00500051523359918,0.00521392356364457,0.0174813320313688,0.00357309128118566,0.0262914658480116,0.0243819119141592,0.0190855650503072,0.220247689409011,0.0174261232582205,0.000926453429779791,0
"NECTIN2",0.000311361767480718,0.000154283013321004,0.000137279686254431,0.000111465834087845,0.00020823555517709,0.00036256125757263,0.000130098720219835,0.000102524235232391,0.00117858057199921,7.63803443399007e-05,0,8.69672823180311e-05,0,0,0.000208363136630573,0,0.00258920227205963,0,0,0,0.000182266629307612,0,0,0,0.000162369287088626,0,0.000484131281782009,0.00137220260045793,0,0,0.000263920851858252,5.66186677017593e-06,0,0
"CD47",26.8868555207393,1.93890973568598,7.84713855364526,7.38674596533266,155.120964008495,1.0776696095496,16.5236942320111,9.47829811583474,17.6823458778056,1.83336318598478,5.22889344332708,28.7979171169511,14.49253299003,1.65354001147327,32.4840321209315,0.114201778524732,15.0792760279186,6.4250804046891,4.61224009211184,13.8467724384902,9.7737258568637,3.1920282716605,3.09699097458297,2.85534012918498,21.8339686120887,2.03718223225767,0.593481855653445,20.5662582390614,22.1674287554937,3.55940088460003,6.58893827097572,49.802064494914,11.3820144099852,5.21320124430705
"CD48",234.96403442616,43.6100059412181,246.262298927586,85.3333157676004,265.260918103442,47.5293484843968,300.043288607357,149.861717893008,66.0739614572025,12.9411211718795,478.925261284989,261.666873856506,153.712750614199,62.7558277278944,99.1964285884106,2.23711286597564,61.6434060160871,279.736108493662,291.361847426166,155.104025520228,198.346823347815,326.034423662383,176.276549319671,176.368285538288,323.003517661668,17.1325108730899,23.8321557428627,205.103592584807,8.86917657003666,24.1899600958119,61.1430762363916,112.323111242593,95.212211102379,70.003786937707
"CD40",0.0571411263009387,0.012188092965079,0.0420821070875669,0.0174457538653135,243.342539694856,0.034888385062298,0.0518842437699242,132.362290442512,69.0119259493741,0.0227802771795667,0.0183505392169353,156.815226439916,0.012911100080095,0.0112528236849378,0.112986673086688,0.0223370863584615,49.2930479437751,0.0765262804324214,0.0394867811886594,128.017189418857,0.0162538297643968,0.0742517076165142,0.0303450871091066,0.0132727149291223,18.0510893424008,0.0141543538266681,1.87611111900729,3.34505200390643,1.52284470825245,0.300429511796768,4958.09507494585,115.723343210877,0.000719702114834375,0.0435038506370726
"CD40LG",0.00409248712068079,0.00358036218284524,0.000478605516698696,0.00110727179339057,0.00231074246437295,0.000142323273362634,0.00206399057333575,0.00249360698471404,0.0135503259757309,0.00255072237046303,0.00034705069614523,0.00630646017590075,0.00376772389197978,0.00221792608022907,0.000614900044820314,0.00407864482276547,0.025250799945184,0.00932126205910865,0.00186073855344424,0.00824566405223586,8.12294205555891e-05,0,0.0101141714916195,0,0.0127930293568245,0.0104185347779293,0,0.0523767954953274,0.00439969246958109,0.0183516352339239,0.14776350929641,0.0018853123919587,0,0
"CD52",5.6417121890887,0.430575894270401,2.79622363935349,1.23480061443345,3.11017387082042,0.378816882917064,6.24458780780844,3.98126537996668,0.487298260957051,0.0783966441520728,4.07709169602316,3.13673613324874,3.90857955497667,0.460018202082622,1.76788697587123,0.0112577009221122,0.594157119959558,0.466983957258291,1.62558055378725,1.81907912924572,1.52120199878057,1.84467051972427,1.46267207334782,0.863820784165858,8.5742227422048,0.475569112708053,0.101388980014857,23.5575854659498,0.109475574151509,0.18308604796929,2.44528612228861,2.01104935790325,2.3154152143692,3.29982207102499
"CD3D",2713.64111884327,119.624159645109,516.335069141899,755.860439257466,10.0827530096899,977.614543150777,706.718510514989,10.7650413885113,22.0441739952496,16.5872074010606,628.355636033751,49.0036801984291,634.059217437577,72.5306967039895,561.505476729737,2.95396280772505,1.91812499021745,1248.15150281837,671.839455630731,5.9568897501029,231.224703874991,267.558656571242,420.524837164107,110.694454986588,1.44447667005814,41.993557187226,0.241077635566363,720.084884555224,396.811029016005,42.3907322991103,2.61111998878609,5.54784641281507,763.525530840511,232.158072186651
"CD8A",35517.2234704718,676.770621140991,49894860976738.6,42.4966322302627,3026862.69544667,4393544827550.87,33562520.0256942,139982.868515265,24705018.038039,902758.385626054,7392953883271257,45458997.625535,915149623.476783,9016771134962.93,715774622978.813,10108.4699836773,27676.1563302692,4724531758.15958,42866257134562.9,35.8415862619225,3.0712863364268,1999900118899.6,45684843.4777484,2787677420273.43,16.6187737688187,32044.3613755671,116.598989261502,6372808819.32205,1975.67675416244,67263.5242611724,24.0491437599314,0.456689918590309,2219420186.83696,4214898.6040664
"NCAM1",0.0287341162835053,0.0239086070300068,0.0380476280297514,0.0399517831353382,0.0300743348318777,213.913108703005,0.147173339970667,0.0315445624669673,1.36892860940932,2139608.12615858,0.932787797911158,0.126293770432788,0.102551046323257,0.0114577267610155,1.94893592589841,0.0693435335840473,0.187815530157152,255.493178495072,0.0475800313648661,0.0497323907526827,0.0156870422091427,0.0748252697157386,0.0317826480816383,0.0992754129891795,0.0234747068387717,0.0430381021431857,0.0106924165955185,0.118635764881881,0.0255605317210739,98.5408450283093,3300.49633135406,0.0829020045300598,0.00769220232007505,0.0362596939613126
"CD19",0.742327522929205,0.0573055997737433,0.605331512162935,0.120502742128106,77079.4178349412,2.09758926265195,0.442628749142734,2324312.89345603,7.92935365453644,0.496022838102831,0.37634873931866,326664.453305404,0.0499911832115074,0.13315083994971,2.95388326202107,0.756416839970136,3.31169608533532,1.69694476149897,0.340231046297013,115690.996616276,0.06157245118766,0.693409654123553,0.859860761648126,0.0945584058773901,605027025.794233,0.494026483860683,768.299135763535,199.218876163915,0.583233088217227,310.970139094882,7.67016415999011,232932.634459182,0.0249346001038166,0.0325614724889473
"CD33",3.65665335167804,0.194628338847468,5.05829596443784,0.406892425342295,1.25354911119578,0.418984866134745,3.54841253035713,1.07608340407884,172745042197.055,876.889610099345,0.619148260132524,731.286338966732,4.03879905357162,0.100527368237617,649.609540225602,23.2170328180243,118622754.902737,410.507208315527,0.419395819851347,3.50181040551903,0.191234622886988,0.234909045095086,9.67833838115321,0.358648072677662,16.3820479964174,2.67390217458665,0.109449065162256,1.00145797921886,16.8585789830157,2707.32747065576,2920504848.34477,0.189100500304042,0.238261635810619,0.0932164327509658
"ITGAX",334.940192900352,3.53258982544533,42.7739245619312,63.5799091441014,482542.658042879,111568.882225793,0.848226793154037,1108400449804.82,3174401782714274,15711568934.7188,3989884.62756085,2186758457399.11,54.3845029425933,2.25815728853352,34989.9567492804,1.82710343215258,2438998253695102976,98.6990393467414,241.833291301548,158523081.394441,0.13669699444295,0.213848302396957,23.6333491805201,1.58435717302414,440916125419401,1.10946166341945,0.902473308720787,11.411335510876,410.503317376325,68315286262948.5,136592726352.538,52096375.5454739,0.0457937138318729,0
"HLA-A",8.56048817976997,0.657625231109236,9.45945553029667,1.22296537307795,142.751852641498,12.83126627677,23.559840155646,5458.68393532147,78.9771919981848,5.4600302045142,23.2686436456102,310.755952498047,11.5039388185072,1.34519126042833,20.0757995667282,0.102950734239751,116.432327777428,19.789697673033,16.0341833066727,366.758382742246,4.39909586818645,6.02499419999185,1.0585230570983,77.9293633003544,7555.85122670365,0.954757702961756,1.94578788535594,90.6337044458744,133.229326988701,3.99360342713951,12.6084838573593,299.736871755932,9.82372178489889,14.176213272093
