"Sample_Subfolder","n_cells","n_with_TCR","pct_with_TCR"
"CP018_2m_A",935,828,88.6
"CP018_2m_B",2040,1897,93
"CP018_90m_A",1553,1405,90.5
"CP018_90m_B",601,515,85.7
