"Module","CD8_Annotation","Comparison","p_value","p_adj","star"
"Inflammatory_Chemokines","Effector CD8","Suppressed vs Pre-ART",1.33025243848516e-37,9.31176706939614e-37,"***"
"Inflammatory_Chemokines","Terminal TEMRA CD8","Suppressed vs Unsuppressed",4.06330414566031e-06,1.06661733823583e-05,"***"
"Inflammatory_Chemokines","Terminal TEMRA CD8","Pre-ART vs Unsuppressed",5.39432277158154e-22,3.77602594010707e-21,"***"
"Inflammatory_Chemokines","Terminal TEMRA CD8","Suppressed vs Pre-ART",2.32561699226904e-73,4.88379568376498e-72,"***"
"Inflammatory_Chemokines","Transitional Tem CD8","Suppressed vs Unsuppressed",0.152435455353222,0.188302621318685,""
"Inflammatory_Chemokines","Transitional Tem CD8","Pre-ART vs Unsuppressed",0.0114013513414327,0.0159618918780058,"*"
"Inflammatory_Chemokines","Transitional Tem CD8","Suppressed vs Pre-ART",1.58145763044394e-07,2.76755085327689e-07,"***"
"Terminal_Differentiation","Effector CD8","Suppressed vs Unsuppressed",3.4369697945955e-05,7.21763656865054e-05,"***"
"Terminal_Differentiation","Effector CD8","Pre-ART vs Unsuppressed",1.49146194588798e-24,1.56603504318238e-23,"***"
"Terminal_Differentiation","Effector CD8","Suppressed vs Pre-ART",4.66561468823558e-16,1.39968440647067e-15,"***"
"Terminal_Differentiation","Terminal TEMRA CD8","Suppressed vs Unsuppressed",6.62733756640172e-09,2.3195681482406e-08,"***"
"Terminal_Differentiation","Terminal TEMRA CD8","Pre-ART vs Unsuppressed",3.35755161907895e-06,7.05085840006579e-06,"***"
"Terminal_Differentiation","Terminal TEMRA CD8","Suppressed vs Pre-ART",0.310012458634052,0.342645349016583,""
"Terminal_Differentiation","Transitional Tem CD8","Suppressed vs Unsuppressed",0.206404836900534,0.240805643050623,""
"Terminal_Differentiation","Transitional Tem CD8","Pre-ART vs Unsuppressed",0.124848077440657,0.131090481312689,""
"Terminal_Differentiation","Transitional Tem CD8","Suppressed vs Pre-ART",0.556804496674042,0.584644721507744,""
