gene,set_membership,padj_unsup,padj_supp,avg_log2FC_unsup,avg_log2FC_supp,sig_unsup,sig_supp
H3F3B,Overlap,4.98441831326821e-20,6.065726493328259e-151,-11.6756699066746,-4.07288153501606,TRUE,TRUE
MTRNR2L12,Overlap,5.23717220720177e-20,1.17036486325637e-50,-10.0626513491863,-9.51566955540732,TRUE,TRUE
H3-3B,Overlap,7.581204892525699e-17,2.9958562678868595e-152,1.89378240364561,1.68105540227156,TRUE,TRUE
HIST1H4C,Overlap,3.5211082737724897e-16,5.72507531885953e-54,-9.41516197345575,-3.85943826324957,TRUE,TRUE
LINC01578,Overlap,6.50657612396283e-16,1.91688250024654e-88,-9.40836150589579,-4.00887239836635,TRUE,TRUE
H3F3A,Overlap,1.2712650668445701e-15,4.73504783566677e-127,-10.8668418912231,-3.7082927309203,TRUE,TRUE
SLC9A3R1,Overlap,3.6642685555002197e-13,1.33935586388241e-58,-9.11391816686762,-4.19074829777486,TRUE,TRUE
H2AFZ,Overlap,4.06024556468946e-12,4.709708026237349e-44,-8.7805275848723,-3.21113776863497,TRUE,TRUE
DARS,Overlap,5.0282281670572494e-12,1.5352668687035699e-56,-8.39841183854569,-4.48934683140213,TRUE,TRUE
HIST1H1E,Overlap,1.57009049663365e-10,6.52812391166049e-76,-10.1363386701733,-4.70474800658442,TRUE,TRUE
AL138963.4,Overlap,2.28684793831891e-10,1.6641068142778099e-28,-7.26383123557986,-5.54934288206617,TRUE,TRUE
H1FX,Overlap,7.35116336989067e-10,1.04454836540654e-74,-10.1233380032646,-5.23054153303507,TRUE,TRUE
H3-3A,Overlap,1.4472472095971e-9,2.94133427792341e-122,1.64826979153995,1.59077877309651,TRUE,TRUE
ATP5MD,Overlap,5.28553609543728e-9,4.05055481218242e-79,-9.3166404116131,-4.03935294854202,TRUE,TRUE
PYURF,Overlap,2.45514797659448e-8,1.26804831142725e-38,-8.30197574738449,-3.245781774398,TRUE,TRUE
C5orf56,Overlap,6.20878792350225e-8,2.42941908592987e-47,-8.93897781176027,-3.91507205676827,TRUE,TRUE
C9orf16,Overlap,1.4426298161188e-7,1.38033114019063e-52,-8.84653745355881,-3.8864263495765,TRUE,TRUE
RPS10,Overlap,1.77367878635729e-7,1.4465390894446798e-144,1.45689433425684,1.89041591026489,TRUE,TRUE
GNLY,Overlap,1.95095473838173e-7,1.80769444765735e-34,0.581396863491063,0.654925295722423,TRUE,TRUE
FEZ1,Overlap,2.10173689657149e-7,5.5301880214427405e-14,2.80355556753549,3.48513681121881,TRUE,TRUE
H2AFV,Overlap,7.76123517897459e-7,3.96268318599407e-63,-8.82612451977682,-3.70931481678923,TRUE,TRUE
YARS,Overlap,8.42001958128611e-7,1.41059974361388e-29,-7.65186489165836,-4.07251350972442,TRUE,TRUE
KLRB1,Overlap,3.49953753205766e-6,3.68381539248057e-34,-1.76644641823314,-1.18352219829001,TRUE,TRUE
ATP5MPL,Overlap,1.72219527778971e-5,1.9953975976967402e-47,-8.74025163565875,-3.48290755753932,TRUE,TRUE
