"match_status","Phase","n","prop"
"No CP003 match","G1",731,0.272354694485842
"No CP003 match","G2M",975,0.363263785394933
"No CP003 match","S",978,0.364381520119225
"CP003 match (non-HIV)","G1",39,0.181395348837209
"CP003 match (non-HIV)","G2M",89,0.413953488372093
"CP003 match (non-HIV)","S",87,0.404651162790698
"HIV-Specific (validated)","G1",20,0.15748031496063
"HIV-Specific (validated)","G2M",57,0.448818897637795
"HIV-Specific (validated)","S",50,0.393700787401575
