"match_status","CD8_Annotation","n","prop"
"No CP003 match","Effector CD8",569,0.211997019374069
"No CP003 match","KIR+ innate-like CD8",13,0.00484351713859911
"No CP003 match","MAIT-like Trm",15,0.00558867362146051
"No CP003 match","Naïve CD8",1148,0.427719821162444
"No CP003 match","Naïve CD8 (innate-like)",240,0.0894187779433681
"No CP003 match","Naïve CD8 (post-ART)",259,0.0964977645305514
"No CP003 match","Terminal TEMRA CD8",328,0.12220566318927
"No CP003 match","Transitional Tem CD8",108,0.0402384500745156
"No CP003 match","Vγ9Vδ2 γδ T cell",4,0.0014903129657228
"CP003 match (non-HIV)","Effector CD8",79,0.367441860465116
"CP003 match (non-HIV)","KIR+ innate-like CD8",11,0.0511627906976744
"CP003 match (non-HIV)","Naïve CD8",1,0.00465116279069767
"CP003 match (non-HIV)","Naïve CD8 (post-ART)",1,0.00465116279069767
"CP003 match (non-HIV)","Terminal TEMRA CD8",119,0.553488372093023
"CP003 match (non-HIV)","Transitional Tem CD8",4,0.0186046511627907
"HIV-Specific (validated)","Effector CD8",26,0.204724409448819
"HIV-Specific (validated)","KIR+ innate-like CD8",1,0.0078740157480315
"HIV-Specific (validated)","Terminal TEMRA CD8",97,0.763779527559055
"HIV-Specific (validated)","Transitional Tem CD8",3,0.0236220472440945
