"sample","threshold","method","rationale"
"CP003_V12",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP003_V24",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP006_12m",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP006_V24",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP011_entry",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP013_12m",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP013_1m",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP013_24m",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP013_entry",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP016_entry",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP017_entry",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP018_42m",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP018_V24",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP020_V1",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP020_V12",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP020_V44",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP022_entry",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CP042_entry",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CS005_entry",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
"CS015_entry",0.1,"fixed_0.1","low blood clonality; avoid VL-correlated pooling confound"
