cluster,n_up,n_down,n_sig
0_CD4_T_cell_HighvsLowVL_ALL,767,825,1592
10_Memory_CD4_T_helper_HighvsLowVL_ALL,569,275,844
11_Na_ve_B_cell_HighvsLowVL_ALL,77,20,97
12_DNAM1_CD4_T_cell_HighvsLowVL_ALL,183,135,318
13_Transitional_B_cell_HighvsLowVL_ALL,173,60,233
14_CD14hi_CD16_Monocyte_HighvsLowVL_ALL,304,144,448
15_NK_cell_1_HighvsLowVL_ALL,59,32,91
16_Gamma_Delta_1_T_cells_HighvsLowVL_ALL,255,41,296
17_NK_cell_2_HighvsLowVL_ALL,198,111,309
18_DN_T_cell_1_HighvsLowVL_ALL,158,40,198
19_CD14_CD16hi_Monocyte_HighvsLowVL_ALL,188,45,233
1_Memory_CD8_T_cell_HighvsLowVL_ALL,847,503,1350
20_T_reg_HighvsLowVL_ALL,208,155,363
21_Gamma_Delta_2_T_cells_HighvsLowVL_ALL,211,37,248
22_CD69_B_cell_HighvsLowVL_ALL,60,52,112
23_DN_T_cell_2_HighvsLowVL_ALL,83,37,120
24_CD14lo_CD16lo_Monocyte_HighvsLowVL_ALL,68,17,85
25_CD56bright_NK_HighvsLowVL_ALL,22,18,40
26_DN_T_cell_3_HighvsLowVL_ALL,106,49,155
27_GZMK_CD8_T_cell_HighvsLowVL_ALL,100,59,159
28_DN_T_cell_4_HighvsLowVL_ALL,20,8,28
29_DN_T_cell_5_HighvsLowVL_ALL,202,98,300
2_Na_ve_CD4_T_cell_1_HighvsLowVL_ALL,406,325,731
30_DN_T_cell_6_HighvsLowVL_ALL,34,16,50
31_B_cell_HighvsLowVL_ALL,3,0,3
32_Plasmablast_HighvsLowVL_ALL,7,3,10
33_pDC_HighvsLowVL_ALL,20,8,28
34_APC_HighvsLowVL_ALL,1,4,5
35_TNF_B_cell_HighvsLowVL_ALL,0,0,0
3_IL2RB_NK_cell_HighvsLowVL_ALL,433,323,756
4_IgD_IgM_B_cell_HighvsLowVL_ALL,324,68,392
5_Na_ve_CD4_T_cell_2_HighvsLowVL_ALL,611,311,922
6_Na_ve_CD8_T_cell_HighvsLowVL_ALL,205,57,262
7_Memory_CD4_T_cell_HighvsLowVL_ALL,307,589,896
8_CTL-like_HighvsLowVL_ALL,79,23,102
9_TRDV1_CTL-like_HighvsLowVL_ALL,79,15,94
