cluster,direction,gene,avg_log2FC,padj
0_CD4_T_cell_HighvsLowVL_ALL,Up,MTRNR2L12,7.72940176537596,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,AL138963.4,3.6902809655606,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,GAREM1,2.42877680492114,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,VEGFB,1.6447615177391,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,GPI,1.52396646885209,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,CALHM6,1.49715815879004,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,LINC01578,1.42268074215105,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,IGFBP2,1.38463997524493,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,P4HA1,1.25983803070515,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,H3F3B,1.24590321780902,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,GAPDH,1.20567634944722,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,BNIP3,1.19704867544411,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,MIR210HG,1.1429104981619,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,PKM,1.1422871010032,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,LDHA,1.13500011677098,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,H1FX,1.10491811883762,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,SEPTIN9,1.01755557135342,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,TPI1,1.01268273259077,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,PGK1,1.00022043271847,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,H2AFZ,0.989745820023407,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,ALDOA,0.986577022899757,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,GNAS,0.945358976237101,0
0_CD4_T_cell_HighvsLowVL_ALL,Up,BNIP3L,0.901746031814429,0
