"participant","clone_id","clone_size"
"CP003","100",1
"CP003","10009",1
"CP003","10031",1
"CP003","10041",1
"CP003","10061",1
"CP003","10072",1
"CP003","10083",1
"CP003","10098",1
"CP003","10099",1
"CP003","10100",1
"CP003","10197",1
"CP003","10206",1
"CP003","10213",1
"CP003","10217",1
"CP003","10252",1
"CP003","10253",1
"CP003","10254",1
"CP003","10255",1
"CP003","10259",1
"CP003","10260",1
"CP003","10262",1
"CP003","10265",1
"CP003","10267",1
"CP003","10268",1
"CP003","10269",1
"CP003","10270",1
"CP003","10271",1
"CP003","10273",1
"CP003","10276",1
"CP003","10277",1
"CP003","10281",1
"CP003","10291",1
"CP003","10292",1
"CP003","10293",1
"CP003","10295",1
"CP003","10296",1
"CP003","10297",1
"CP003","103",1
"CP003","10304",1
"CP003","10306",1
"CP003","10313",1
"CP003","10314",1
"CP003","10315",1
"CP003","10322",1
"CP003","10333",1
"CP003","10342",1
"CP003","10349",1
"CP003","10367",1
"CP003","10392",2
"CP003","10436",1
"CP003","10442",1
"CP003","10449",1
"CP003","10451",1
"CP003","10456",1
"CP003","1047",1
"CP003","10473",1
"CP003","10474",1
"CP003","10475",1
"CP003","10484",1
"CP003","10487",1
"CP003","10488",1
"CP003","10499",1
"CP003","10501",1
"CP003","10504",1
"CP003","10507",2
"CP003","10520",1
"CP003","10550",1
"CP003","10561",1
"CP003","10672",1
"CP003","10683",1
"CP003","10690",1
"CP003","10694",1
"CP003","10705",1
"CP003","10712",1
"CP003","10761",1
"CP003","10772",1
"CP003","10783",1
"CP003","10796",1
"CP003","10872",1
"CP003","10914",1
"CP003","10915",1
"CP003","10917",1
"CP003","10918",1
"CP003","10938",1
"CP003","10963",1
"CP003","10964",1
"CP003","10976",1
"CP003","10977",1
"CP003","10982",1
"CP003","10996",1
"CP003","10997",1
"CP003","10998",1
"CP003","11023",1
"CP003","11032",1
"CP003","11040",1
"CP003","11043",1
"CP003","11044",1
"CP003","11045",1
"CP003","11046",1
"CP003","11047",1
"CP003","11055",1
"CP003","11056",1
"CP003","11060",1
"CP003","11061",1
"CP003","11062",1
"CP003","11064",1
"CP003","11065",1
"CP003","11075",1
"CP003","11088",1
"CP003","11089",1
"CP003","11090",1
"CP003","11095",1
"CP003","11103",1
"CP003","11113",1
"CP003","11121",1
"CP003","11148",1
"CP003","1115",1
"CP003","11188",1
"CP003","11191",1
"CP003","11211",1
"CP003","11218",1
"CP003","11253",1
"CP003","11289",1
"CP003","11290",1
"CP003","11302",1
"CP003","11313",1
"CP003","11322",1
"CP003","11334",1
"CP003","11335",1
"CP003","11441",1
"CP003","11442",1
"CP003","11573",1
"CP003","11576",1
"CP003","11578",1
"CP003","11616",1
"CP003","1162",1
"CP003","11622",1
"CP003","11630",1
"CP003","11640",1
"CP003","11739",1
"CP003","11751",1
"CP003","1181",1
"CP003","11891",1
"CP003","11916",1
"CP003","1192",1
"CP003","11927",1
"CP003","11937",1
"CP003","11938",1
"CP003","12000",1
"CP003","12005",1
"CP003","12075",1
"CP003","12099",1
"CP003","12100",1
"CP003","12101",1
"CP003","12111",1
"CP003","12112",1
"CP003","12121",1
"CP003","12141",1
"CP003","12164",1
"CP003","12165",1
"CP003","12184",1
"CP003","12198",1
"CP003","12199",1
"CP003","12209",1
"CP003","12210",1
"CP003","12211",1
"CP003","12221",1
"CP003","12222",1
"CP003","12234",1
"CP003","12235",1
"CP003","12236",2
"CP003","12263",1
"CP003","12264",1
"CP003","12286",1
"CP003","12287",1
"CP003","1232",1
"CP003","12324",1
"CP003","12325",1
"CP003","1233",1
"CP003","12336",1
"CP003","12348",1
"CP003","12358",1
"CP003","12359",1
"CP003","12363",1
"CP003","12368",1
"CP003","1237",1
"CP003","12387",1
"CP003","12400",1
"CP003","12401",1
"CP003","12410",1
"CP003","12411",1
"CP003","12415",1
"CP003","12423",1
"CP003","12460",1
"CP003","12474",1
"CP003","12475",1
"CP003","1248",1
"CP003","12497",1
"CP003","12505",1
"CP003","12508",1
"CP003","12509",1
"CP003","1254",1
"CP003","12542",1
"CP003","12555",1
"CP003","12575",1
"CP003","1259",1
"CP003","1270",1
"CP003","12705",1
"CP003","12711",1
"CP003","1272",1
"CP003","12721",1
"CP003","12760",1
"CP003","12763",1
"CP003","128",1
"CP003","12816",1
"CP003","1285",1
"CP003","1292",1
"CP003","12922",1
"CP003","1303",1
"CP003","1314",1
"CP003","13227",1
"CP003","13238",1
"CP003","13247",1
"CP003","13249",1
"CP003","13260",1
"CP003","13271",1
"CP003","13328",1
"CP003","1336",1
"CP003","13394",1
"CP003","1340",1
"CP003","13405",1
"CP003","13416",1
"CP003","13424",1
"CP003","13430",1
"CP003","13434",1
"CP003","13435",1
"CP003","13436",1
"CP003","1344",1
"CP003","13443",1
"CP003","13444",1
"CP003","13445",1
"CP003","13446",1
"CP003","1345",1
"CP003","13456",1
"CP003","1346",1
"CP003","1354",1
"CP003","1356",1
"CP003","1357",1
"CP003","1358",1
"CP003","1360",1
"CP003","1361",1
"CP003","1369",1
"CP003","1375",1
"CP003","1376",1
"CP003","13789",1
"CP003","13796",1
"CP003","13809",1
"CP003","13814",1
"CP003","1383",1
"CP003","13842",1
"CP003","1386",1
"CP003","13860",1
"CP003","13861",1
"CP003","1387",1
"CP003","13936",1
"CP003","13947",1
"CP003","13986",1
"CP003","14043",1
"CP003","14050",1
"CP003","14051",1
"CP003","14057",1
"CP003","14058",1
"CP003","14059",1
"CP003","14078",1
"CP003","1408",1
"CP003","14083",1
"CP003","1409",1
"CP003","14115",1
"CP003","14124",1
"CP003","14125",1
"CP003","14140",1
"CP003","14165",1
"CP003","14183",1
"CP003","14191",1
"CP003","14201",1
"CP003","14202",1
"CP003","14223",1
"CP003","1425",1
"CP003","1426",1
"CP003","14263",1
"CP003","1427",1
"CP003","14275",1
"CP003","14319",1
"CP003","14322",1
"CP003","14349",1
"CP003","1436",1
"CP003","1439",1
"CP003","14402",1
"CP003","14409",1
"CP003","14428",1
"CP003","14436",1
"CP003","14440",1
"CP003","14444",1
"CP003","14448",1
"CP003","14455",1
"CP003","14462",1
"CP003","14466",1
"CP003","1447",1
"CP003","14479",1
"CP003","14480",1
"CP003","14489",1
"CP003","1449",1
"CP003","14496",1
"CP003","14498",1
"CP003","14500",1
"CP003","14501",1
"CP003","14503",1
"CP003","14504",1
"CP003","14508",1
"CP003","14509",1
"CP003","14510",1
"CP003","14511",1
"CP003","14517",1
"CP003","14518",1
"CP003","14519",1
"CP003","14520",1
"CP003","14521",1
"CP003","14522",1
"CP003","14531",1
"CP003","14532",1
"CP003","14533",1
"CP003","14534",1
"CP003","14544",1
"CP003","14548",1
"CP003","14549",1
"CP003","14552",1
"CP003","14553",1
"CP003","14554",1
"CP003","14563",1
"CP003","14566",1
"CP003","14567",1
"CP003","14568",1
"CP003","14646",1
"CP003","14650",1
"CP003","14679",1
"CP003","14689",1
"CP003","14693",1
"CP003","14726",1
"CP003","14742",1
"CP003","14768",1
"CP003","14769",1
"CP003","14804",1
"CP003","14806",1
"CP003","14820",1
"CP003","14821",1
"CP003","14845",1
"CP003","14846",1
"CP003","14847",1
"CP003","14852",1
"CP003","14930",1
"CP003","14981",1
"CP003","15007",1
"CP003","15031",1
"CP003","15057",1
"CP003","15080",1
"CP003","1514",1
"CP003","15163",1
"CP003","15177",1
"CP003","15245",1
"CP003","1525",1
"CP003","15299",1
"CP003","15309",1
"CP003","15310",1
"CP003","15322",1
"CP003","15330",1
"CP003","15340",1
"CP003","15342",1
"CP003","15343",1
"CP003","1536",1
"CP003","15391",1
"CP003","15415",1
"CP003","15458",1
"CP003","15459",1
"CP003","15461",1
"CP003","1547",1
"CP003","1550",1
"CP003","15500",1
"CP003","1551",1
"CP003","15531",1
"CP003","15532",1
"CP003","15533",1
"CP003","15727",1
"CP003","15814",1
"CP003","15815",1
"CP003","15860",1
"CP003","15928",1
"CP003","15929",1
"CP003","15947",1
"CP003","15983",1
"CP003","15994",1
"CP003","1602",1
"CP003","1604",1
"CP003","1605",1
"CP003","16080",1
"CP003","16094",1
"CP003","162",1
"CP003","1623",1
"CP003","16238",1
"CP003","1624",1
"CP003","16261",1
"CP003","16282",1
"CP003","1631",1
"CP003","1632",1
"CP003","16323",1
"CP003","16360",1
"CP003","16364",1
"CP003","16365",1
"CP003","16374",1
"CP003","16389",1
"CP003","16390",1
"CP003","16391",1
"CP003","1641",1
"CP003","16426",1
"CP003","16449",1
"CP003","1646",1
"CP003","16490",1
"CP003","16491",1
"CP003","16496",1
"CP003","16501",1
"CP003","16507",1
"CP003","16508",1
"CP003","16513",1
"CP003","16519",1
"CP003","16520",1
"CP003","16521",1
"CP003","16551",1
"CP003","16552",1
"CP003","16553",1
"CP003","16554",1
"CP003","16564",1
"CP003","1657",1
"CP003","16588",1
"CP003","1659",1
"CP003","16618",1
"CP003","1663",1
"CP003","1664",1
"CP003","1667",1
"CP003","16676",1
"CP003","16687",1
"CP003","16690",1
"CP003","16702",1
"CP003","16728",1
"CP003","16729",1
"CP003","16730",1
"CP003","16748",1
"CP003","16776",1
"CP003","16777",1
"CP003","16799",1
"CP003","1680",1
"CP003","16800",1
"CP003","16801",1
"CP003","1681",1
"CP003","16821",1
"CP003","16822",1
"CP003","16823",1
"CP003","16824",1
"CP003","16825",1
"CP003","16826",1
"CP003","16828",1
"CP003","16829",1
"CP003","16830",1
"CP003","16831",1
"CP003","16859",1
"CP003","1689",1
"CP003","16894",1
"CP003","16905",1
"CP003","16907",1
"CP003","16908",1
"CP003","16909",1
"CP003","1692",2
"CP003","16929",1
"CP003","16930",1
"CP003","1694",1
"CP003","1695",1
"CP003","16950",1
"CP003","16951",1
"CP003","16953",1
"CP003","16976",1
"CP003","16990",1
"CP003","1701",1
"CP003","1702",1
"CP003","17023",1
"CP003","17038",1
"CP003","1704",1
"CP003","1705",1
"CP003","1706",1
"CP003","17062",1
"CP003","1707",1
"CP003","17070",1
"CP003","17074",1
"CP003","17075",1
"CP003","17076",1
"CP003","17077",1
"CP003","17078",1
"CP003","17089",1
"CP003","17109",1
"CP003","17114",1
"CP003","17115",1
"CP003","17117",1
"CP003","17119",1
"CP003","17120",1
"CP003","17125",1
"CP003","17126",1
"CP003","17132",1
"CP003","17135",1
"CP003","17136",1
"CP003","17144",1
"CP003","1716",1
"CP003","1717",1
"CP003","1718",1
"CP003","17187",1
"CP003","17202",1
"CP003","17220",1
"CP003","17247",1
"CP003","1728",1
"CP003","17280",1
"CP003","1729",1
"CP003","1730",1
"CP003","1731",1
"CP003","1732",1
"CP003","1733",1
"CP003","17336",1
"CP003","17362",1
"CP003","17375",1
"CP003","17394",1
"CP003","17395",1
"CP003","17418",1
"CP003","17426",1
"CP003","17428",1
"CP003","1743",1
"CP003","17434",1
"CP003","17436",1
"CP003","17438",1
"CP003","1744",1
"CP003","17441",2
"CP003","17444",1
"CP003","1745",1
"CP003","17501",1
"CP003","17515",1
"CP003","17520",1
"CP003","17530",1
"CP003","17537",1
"CP003","1754",1
"CP003","1755",1
"CP003","1756",1
"CP003","17577",1
"CP003","17578",1
"CP003","17589",1
"CP003","17637",1
"CP003","1769",1
"CP003","17696",1
"CP003","1774",1
"CP003","17742",1
"CP003","17748",1
"CP003","1775",1
"CP003","17750",1
"CP003","17756",1
"CP003","17757",1
"CP003","17758",1
"CP003","1778",1
"CP003","1779",1
"CP003","1781",1
"CP003","1790",1
"CP003","1791",1
"CP003","1792",1
"CP003","1793",1
"CP003","1794",1
"CP003","1821",1
"CP003","1822",1
"CP003","1829",1
"CP003","185",1
"CP003","1862",2
"CP003","1869",1
"CP003","1871",1
"CP003","1880",1
"CP003","1892",1
"CP003","1903",1
"CP003","1914",1
"CP003","1921",1
"CP003","1922",1
"CP003","1925",1
"CP003","1936",1
"CP003","1945",1
"CP003","1947",1
"CP003","1955",1
"CP003","1957",1
"CP003","196",1
"CP003","1984",1
"CP003","1985",1
"CP003","2069",1
"CP003","208",1
"CP003","2080",1
"CP003","209",3
"CP003","2092",1
"CP003","2093",1
"CP003","2134",1
"CP003","2154",1
"CP003","218",1
"CP003","2187",1
"CP003","219",1
"CP003","2198",1
"CP003","2213",1
"CP003","2218",1
"CP003","2226",1
"CP003","2237",1
"CP003","2238",1
"CP003","224",1
"CP003","2265",1
"CP003","2266",1
"CP003","227",1
"CP003","228",1
"CP003","2293",1
"CP003","2294",1
"CP003","2295",1
"CP003","2296",1
"CP003","2322",1
"CP003","2323",1
"CP003","2324",1
"CP003","235",1
"CP003","2368",1
"CP003","2391",1
"CP003","2392",1
"CP003","2403",1
"CP003","2410",1
"CP003","2417",1
"CP003","2418",1
"CP003","2428",1
"CP003","2429",1
"CP003","2430",1
"CP003","2439",1
"CP003","244",1
"CP003","2440",1
"CP003","2454",1
"CP003","2455",1
"CP003","2456",1
"CP003","2457",1
"CP003","2458",1
"CP003","2460",1
"CP003","2485",1
"CP003","2486",1
"CP003","2487",1
"CP003","2488",1
"CP003","2489",1
"CP003","2490",1
